,SEMA4C (54910)
ACH-000004,-0.051217015303230105
ACH-000005,-0.04582731015935964
ACH-000007,-0.20730793929473168
ACH-000009,-0.2034152021130524
ACH-000011,-0.0385061102597293
ACH-000012,-0.18293414868764826
ACH-000013,-0.16915821861706126
ACH-000014,-0.14695004059565586
ACH-000015,-0.17543527342519455
ACH-000017,-0.13599822140467238
ACH-000018,-0.14600313600614165
ACH-000019,-0.23400089414987266
ACH-000021,-0.04075509754403387
ACH-000022,-0.20612105260475613
ACH-000025,0.07070795202806207
ACH-000028,-0.11501527840068718
ACH-000030,-0.24163457486844764
ACH-000035,-0.2793724523295472
ACH-000036,-0.1680794543926737
ACH-000037,-0.2349524181829992
ACH-000039,-0.3355256291174316
ACH-000040,-0.03548884489503619
ACH-000041,-0.03884579909643057
ACH-000042,-0.11742252013242915
ACH-000045,-0.13442055934719924
ACH-000047,-0.16720274071397045
ACH-000052,-0.2337313733585773
ACH-000053,-0.1739045034762234
ACH-000054,-0.12943411066865515
ACH-000055,-0.2682997239616609
ACH-000060,-0.2368594252117521
ACH-000067,0.14965577607459887
ACH-000070,-0.07425864758706571
ACH-000075,-0.20503175062154508
ACH-000078,-0.137031664740641
ACH-000082,-0.20047328692528485
ACH-000085,-0.23007808758724946
ACH-000086,-0.2891695094417285
ACH-000087,0.030127690495113667
ACH-000092,-0.3854939338260872
ACH-000095,-0.17773141355335506
ACH-000097,-0.21478055971751814
ACH-000098,-0.26753276960005273
ACH-000099,0.02683911719832278
ACH-000108,-0.2631227867969729
ACH-000113,-0.1808864451110672
ACH-000116,-0.07510829617997299
ACH-000118,-0.14333974982121092
ACH-000120,-0.05507018474721262
ACH-000123,-0.20277818618402255
ACH-000127,-0.12467798044889195
ACH-000128,-0.20000797272222387
ACH-000132,-0.12323568844827043
ACH-000133,-0.219535153171246
ACH-000137,-0.24168363120017075
ACH-000138,-0.09847042097579854
ACH-000142,0.03669885065794281
ACH-000143,-0.41860838937185135
ACH-000146,-0.03976270717335526
ACH-000148,-0.11248983325048666
ACH-000150,0.05855980410227705
ACH-000152,-0.14591988077806506
ACH-000153,-0.13761228305035064
ACH-000159,-0.15143297988603466
ACH-000160,-0.12330297229901445
ACH-000163,-0.16382321118214044
ACH-000167,-0.09257464603792843
ACH-000168,-0.0679977261797546
ACH-000169,-0.15463065963037018
ACH-000178,0.025910520836714912
ACH-000183,-0.06866388702129894
ACH-000188,-0.12267439164711835
ACH-000189,-0.2235105874203826
ACH-000190,-0.005291520237712774
ACH-000198,-0.16800793374525844
ACH-000203,-0.05446262392378003
ACH-000204,-0.07190633899810557
ACH-000206,-0.2482154054799426
ACH-000207,-0.044901808133201764
ACH-000208,-0.13973133008259606
ACH-000210,-0.17733298073424772
ACH-000211,-0.24797508159685103
ACH-000215,-0.1101507993351108
ACH-000221,-0.3179989428720096
ACH-000222,-0.0414234308960989
ACH-000223,-0.1579737067877381
