,GLRX5 (51218)
ACH-000004,-0.7088396244900771
ACH-000005,-0.6295868441944211
ACH-000007,-0.4844384282501427
ACH-000009,-0.2918247859281965
ACH-000011,-0.2968186659674728
ACH-000012,-0.6700100662736242
ACH-000013,-0.6196944326919147
ACH-000014,-0.5381152451840651
ACH-000015,-0.5597899417593848
ACH-000017,-0.3390531773156162
ACH-000018,-0.5086612016646483
ACH-000019,-0.5218541866329478
ACH-000021,-0.4496091086776223
ACH-000022,-0.3379182149923497
ACH-000025,-0.7076343856809053
ACH-000028,-0.6184521802449297
ACH-000030,-0.4942866586733623
ACH-000035,-0.35511727081526684
ACH-000036,-0.3730697603910688
ACH-000037,-0.5729682030769007
ACH-000039,-0.5249383806527471
ACH-000040,-0.383679929439599
ACH-000041,-0.4956762077568476
ACH-000042,-0.4563722270225501
ACH-000045,-0.3811224568230308
ACH-000047,-0.6282994583948435
ACH-000052,-0.22856213212440815
ACH-000053,-0.20498172107541865
ACH-000054,-0.657795207824416
ACH-000055,-0.4372685223780496
ACH-000060,-0.5657337922910785
ACH-000067,-0.2674036832328596
ACH-000070,-0.6287562518250306
ACH-000075,-0.5475381264152226
ACH-000078,-0.5393408057298573
ACH-000082,-0.4591658755989477
ACH-000085,-0.3924495429079684
ACH-000086,-0.5394200415010197
ACH-000087,-0.6620745159567877
ACH-000092,-0.5408214360634758
ACH-000095,-0.23847831308374884
ACH-000097,-0.3183746561951353
ACH-000098,-0.43021944901536907
ACH-000099,-0.2895239825980305
ACH-000108,-0.5137862621410753
ACH-000113,-0.45032813269987293
ACH-000116,-0.5357398661698277
ACH-000118,-0.7817380843699154
ACH-000120,-0.466739835585889
ACH-000123,-0.19153538219962174
ACH-000127,-0.6200049821455972
ACH-000128,-0.7250035277921907
ACH-000132,-0.617293611935398
ACH-000133,-0.5196916749680951
ACH-000137,-0.268016454073076
ACH-000138,-0.5266264102491147
ACH-000142,-0.2449611016992954
ACH-000143,-0.5464793177304833
ACH-000146,-0.5620535837254665
ACH-000148,-0.4996996930638624
ACH-000150,-0.3190984240555625
ACH-000152,-0.6610508824130125
ACH-000153,-0.4498365482249001
ACH-000159,-0.5498123827205867
ACH-000160,-0.5670057238620967
ACH-000163,-0.2761399658092137
ACH-000167,-0.3748508713611568
ACH-000168,-0.41459063816922537
ACH-000169,-0.5476444262025328
ACH-000178,-0.4430550114767445
ACH-000183,-0.2422930771573621
ACH-000188,-0.343049029483187
ACH-000189,-0.2541123603622212
ACH-000190,-0.5463827405271702
ACH-000198,-0.6184399122622619
ACH-000203,-0.3468488856568956
ACH-000204,-0.36620866763939625
ACH-000206,-0.3047239489393271
ACH-000207,-0.4814412014086452
ACH-000208,-0.3472930401128445
ACH-000210,0.10800152277874693
ACH-000211,-0.4434474235202742
ACH-000215,-0.5873113866639352
ACH-000221,-0.7824805704806175
ACH-000222,-0.4621593458178282
ACH-000223,-0.4250320618176849
ACH-000226,-0.6005429641690617
ACH-000227,-0.516573624041633
ACH-000228,-0.3412316968897913
ACH-000231,-0.5326374820598031
ACH-000232,-0.3702508602067053
ACH-000233,-0.012011516579143323
ACH-000234,-0.32126431910867553
ACH-000235,-0.6948748058114987
ACH-000237,-0.12509307592232058
ACH-000238,-0.37273922140907795
ACH-000242,-0.5222303305597904
ACH-000243,-0.5448620160228732
ACH-000244,-0.6850575400375482
ACH-000246,-0.6879162067575486
ACH-000248,-0.6241755277434287
ACH-000250,-0.2887111054795065
ACH-000251,-0.3416740542643848
ACH-000252,-0.4220340887194597
ACH-000253,-0.4717420460569016
ACH-000255,-0.5638060941685142
ACH-000256,-0.4020133726426761
ACH-000257,-0.6025828022567236
ACH-000258,-0.16361455784874898
ACH-000259,-1.1009271472726063
ACH-000260,-0.1296872558523705
ACH-000261,-0.6106109044109352
ACH-000262,-0.35688480544561585
ACH-000263,-0.2578431857315937
ACH-000264,-0.4600066563403129
ACH-000265,-0.6793282007596176
ACH-000266,-0.4411364958558342
ACH-000272,-0.5211305150737898
ACH-000274,-0.5378192654241628
ACH-000277,-0.8035655332600571
ACH-000278,-0.2144213190623072
ACH-000279,-0.5509827468081876
ACH-000280,-0.40168686185321495
ACH-000281,-0.5411421399045236
ACH-000288,-0.23100444737764814
ACH-000291,-0.32029517448226336
ACH-000293,-0.5808100701106989
ACH-000294,-0.07240770599093628
ACH-000295,-0.488869400892277
ACH-000296,0.13746227415159573
ACH-000302,-0.35762369493895874
ACH-000304,-0.6719693832538057
ACH-000307,-0.3191893217260859
ACH-000308,-0.3465324784069581
ACH-000310,-0.4317569627568115
ACH-000311,-0.5002357506896183
ACH-000312,-0.6552204668167418
ACH-000315,-0.2728006921884337
ACH-000316,-0.43338934025123105
ACH-000317,-0.9238670865834476
ACH-000318,-0.4007512685945292
ACH-000319,-0.3945624353697165
ACH-000320,-0.5722301350038487
ACH-000322,-0.8104035491244742
ACH-000323,-0.3577402020180873
ACH-000324,-0.3078600449754236
ACH-000329,-0.8076668207167208
ACH-000330,-0.6716646329249576
ACH-000331,-0.4044224894993498
ACH-000332,-0.44917408501826794
