,SUGP2 (10147)
ACH-000004,-0.1641624683216213
ACH-000005,-0.1830997184979289
ACH-000007,-0.2329313530219068
ACH-000009,-0.1533978630115365
ACH-000011,-0.12032876041235055
ACH-000012,-0.19103776313323528
ACH-000013,-0.259177757117147
ACH-000014,-0.3099429947950885
ACH-000015,-0.33918477953612997
ACH-000017,-0.3959442293077373
ACH-000018,-0.33162994808912233
ACH-000019,-0.277636116996271
ACH-000021,-0.4261850228298087
ACH-000022,-0.1742143976782995
ACH-000025,-0.10871041804709727
ACH-000028,-0.2412396361950557
ACH-000030,-0.3253144401749106
ACH-000035,-0.19520178424646253
ACH-000036,-0.2534441434416298
ACH-000037,-0.235497997479642
ACH-000039,-0.33011868974864983
ACH-000040,-0.27557714613976864
ACH-000041,-0.15570544416371307
ACH-000042,-0.40449875979738303
ACH-000045,-0.3361178973396648
ACH-000047,-0.2790151144616948
ACH-000052,-0.010541601132160345
ACH-000053,-0.1478406147033856
ACH-000054,-0.23959495089055424
ACH-000055,-0.3699401918274539
ACH-000060,-0.16634920984561732
ACH-000067,-0.03790097172612383
ACH-000070,-0.25402847769797443
ACH-000075,-0.2069898726971868
ACH-000078,-0.21193433562680367
ACH-000082,-0.20076759683958825
ACH-000085,-0.3310223937813154
ACH-000086,-0.10278958145171714
ACH-000087,-0.1746904656645531
ACH-000092,-0.2837198665361691
ACH-000095,-0.22354754056871806
ACH-000097,-0.29239822812599203
ACH-000098,-0.3088105788538911
ACH-000099,-0.2561568375979774
ACH-000108,-0.1964939254237877
ACH-000113,-0.2897438084069216
ACH-000116,-0.19506418839173767
ACH-000118,-0.2676847907100239
ACH-000120,-0.2812337356863362
ACH-000123,-0.12276385579834295
ACH-000127,-0.3579368459981726
ACH-000128,-0.5101848845382028
ACH-000132,-0.2640478672721179
ACH-000133,-0.006003093662814667
ACH-000137,-0.32906810144000137
ACH-000138,-0.2860431184865335
ACH-000142,-0.27280292645841325
ACH-000143,-0.3639170447442662
ACH-000146,-0.2618757996028325
ACH-000148,-0.264050245988999
ACH-000150,-0.43808940469124297
ACH-000152,-0.05331409628733422
ACH-000153,0.025051209408398684
ACH-000159,-0.23130484807085805
ACH-000160,-0.1693053710810326
ACH-000163,-0.1754355543610257
ACH-000167,-0.15613240714851806
ACH-000168,-0.3883865891716279
ACH-000169,-0.1545554085651252
ACH-000178,-0.16113092635839482
ACH-000183,-0.2493686464151537
ACH-000188,-0.13703782365170858
ACH-000189,-0.2948752644886071
ACH-000190,-0.3406229903814154
ACH-000198,-0.10825097366241447
ACH-000203,0.09064821007246544
ACH-000204,-0.1846430032660208
ACH-000206,-0.10588407318865233
ACH-000207,-0.11259540447238145
ACH-000208,-0.15222496252792972
ACH-000210,-0.496461445163529
ACH-000211,-0.3141437460398629
ACH-000215,-0.20442157771474556
ACH-000221,-0.3241122764090821
ACH-000222,0.0398181598457369
ACH-000223,-0.16727825593998494
ACH-000226,-0.03385515279091394
ACH-000227,-0.26908431212942074
ACH-000228,-0.38872375443930296
ACH-000231,-0.2210107594713511
ACH-000232,-0.2902725112744021
ACH-000233,-0.35592668234698194
ACH-000234,-0.3897944597930026
ACH-000235,-0.2482640981141444
ACH-000237,-0.29352322624472743
ACH-000238,-0.10053239062080334
ACH-000242,-0.38885412717669854
ACH-000243,-0.2818312199136789
ACH-000244,-0.013298981450897949
ACH-000246,-0.07578449448228503
ACH-000248,-0.42870725679933225
ACH-000250,-0.2329857959333181
ACH-000251,-0.34843418308855223
ACH-000252,-0.1315697368324225
ACH-000253,-0.21515829692796876
ACH-000255,-0.3480847762277536
ACH-000256,0.007499254398208491
ACH-000257,0.2655675565142743
ACH-000258,-0.2062409312474211
ACH-000259,-0.12941205680800674
ACH-000260,-0.23219550221742594
ACH-000261,-0.2696558274260781
ACH-000262,-0.15013589486634546
ACH-000263,-0.4340283217345941
ACH-000264,-0.12508954442211875
ACH-000265,-0.23609313825943476
ACH-000266,-0.21278401751286127
ACH-000272,-0.23399596039936266
ACH-000274,-0.14203443455128642
ACH-000277,-0.0004377592101814524
ACH-000278,-0.3063567370286944
ACH-000279,-0.13308513240936332
ACH-000280,-0.06894368743088783
ACH-000281,-0.1052859728120725
ACH-000288,-0.2008166130156407
ACH-000291,-0.16522768240891586
ACH-000293,-0.19005322361055293
ACH-000294,-0.4477396342764033
ACH-000295,-0.1676678818438307
ACH-000296,-0.2800240016397317
ACH-000302,-0.310838988811028
ACH-000304,0.03190046286685177
ACH-000307,-0.20195226047167228
ACH-000308,-0.1707257331874195
ACH-000310,-0.3355616136115356
ACH-000311,0.09501974704723623
ACH-000312,-0.127251077604087
ACH-000315,-0.254413626434406
ACH-000316,-0.11450765472396965
ACH-000317,-0.3851177720781794
ACH-000318,-0.3392485618373785
ACH-000319,-0.09170151306845756
ACH-000320,-0.020513166759945904
ACH-000322,-0.15545706008475008
ACH-000323,-0.34942584888003303
ACH-000324,-0.025305396760606638
ACH-000329,-0.1617390255030015
ACH-000330,-0.2147709141815552
ACH-000331,-0.2379255936482628
