,LIG3 (3980)
ACH-000004,-0.3674008663580087
ACH-000005,-0.3804978405043615
ACH-000007,-0.3813054343025201
ACH-000009,-0.3935180689771663
ACH-000011,-0.2369867444152748
ACH-000012,-0.4783859993611085
ACH-000013,-0.3087858043556914
ACH-000014,-0.37591794834852704
ACH-000015,-0.2989595056601703
ACH-000017,-0.2928024162585185
ACH-000018,-0.394200930739216
ACH-000019,-0.34595386810242185
ACH-000021,-0.2828820439441333
ACH-000022,-0.3671010155170544
ACH-000025,-0.3106284722528825
ACH-000028,-0.4841490097609652
ACH-000030,-0.3184019487028601
ACH-000035,-0.4521073983379078
ACH-000036,-0.2472212378504593
ACH-000037,-0.2436745253646962
ACH-000039,-0.34683626110045884
ACH-000040,-0.2707315055546864
ACH-000041,-0.31268616608956346
ACH-000042,-0.2609572421449784
ACH-000045,-0.34758112687512005
ACH-000047,-0.4356284611633674
ACH-000052,-0.3789588894089077
ACH-000053,-0.23699865555025745
ACH-000054,-0.18704046559407508
ACH-000055,-0.14098463714492968
ACH-000060,-0.2860215984274275
ACH-000067,-0.27039504055116603
ACH-000070,-0.03705926223530387
ACH-000075,-0.2187306494198506
ACH-000078,-0.1539872347704491
ACH-000082,-0.3709806992079991
ACH-000085,-0.29135793634902624
ACH-000086,-0.5173295884606584
ACH-000087,-0.2729055778905275
ACH-000092,-0.21481876622262264
ACH-000095,-0.1821252176627163
ACH-000097,-0.2380184412518445
ACH-000098,-0.3294160765913133
ACH-000099,-0.19361233249345972
ACH-000108,-0.20590195736202851
ACH-000113,-0.4607116918313672
ACH-000116,-0.2471990439088358
ACH-000118,-0.6599734287542053
ACH-000120,-0.19820656558469368
ACH-000123,-0.3303497572688032
ACH-000127,-0.3912754940609451
ACH-000128,-0.3626393224008566
ACH-000132,-0.3772728620291663
ACH-000133,-0.2745461278605597
ACH-000137,-0.2557763764360513
ACH-000138,-0.3821132249378021
ACH-000142,-0.3413097884347905
ACH-000143,-0.24183036712760095
ACH-000146,-0.3928055014712912
ACH-000148,-0.41765109729455335
ACH-000150,-0.4747446042991039
ACH-000152,-0.4407620036260968
ACH-000153,-0.5045524571653146
ACH-000159,-0.21967062784378769
ACH-000160,-0.4985294303675595
ACH-000163,-0.32434716008403464
ACH-000167,-0.17863460145226615
ACH-000168,-0.467221328922742
ACH-000169,-0.2722059109874637
ACH-000178,-0.4426744920267748
ACH-000183,-0.24990269862965156
ACH-000188,-0.3937257463000916
ACH-000189,-0.3547599585669253
ACH-000190,-0.3441848469554339
ACH-000198,-0.41701814192065023
ACH-000203,-0.4224765806094306
ACH-000204,-0.3469871306061011
ACH-000206,-0.4005865375176152
ACH-000207,-0.4427240892677151
ACH-000208,-0.1911970718967816
ACH-000210,-0.7187854243120697
ACH-000211,-0.31234532884802674
ACH-000215,-0.27884119679082703
ACH-000221,-0.6242996785605611
ACH-000222,-0.40091029166949216
ACH-000223,-0.5235883720006566
ACH-000226,-0.4371623128297847
ACH-000227,-0.277866933430522
ACH-000228,-0.418853864389238
ACH-000231,-0.2893991107781047
ACH-000232,-0.3654161909737909
ACH-000233,-0.3264583677570556
ACH-000234,-0.5254328527671749
ACH-000235,-0.3494012773106213
ACH-000237,-0.24465326510668475
ACH-000238,-0.4353700913757273
ACH-000242,-0.025668105178293328
ACH-000243,-0.34241940319041697
ACH-000244,-0.3476611557824221
ACH-000246,-0.22932920069727386
ACH-000248,-0.4819066376660205
ACH-000250,-0.23911066349598314
ACH-000251,-0.2217658627220003
ACH-000252,-0.3579147978390849
ACH-000253,-0.18862116425553255
ACH-000255,-0.3005099535737541
ACH-000256,-0.2679859274752033
ACH-000257,-0.30798503372287683
ACH-000258,-0.3981205804195455
ACH-000259,-0.3543661018831588
ACH-000260,-0.2126280201941844
ACH-000261,-0.26910948687087954
ACH-000262,-0.2490698250691525
ACH-000263,-0.30164983830232106
ACH-000264,-0.2357184142489862
ACH-000265,-0.4108051216304641
ACH-000266,-0.2092597361471552
ACH-000272,-0.2530758138881805
ACH-000274,-0.2843387635975267
ACH-000277,-0.2570136757477591
ACH-000278,-0.4249653317716167
ACH-000279,-0.6091538404901607
ACH-000280,-0.2180113050453635
ACH-000281,-0.4055049504961101
ACH-000288,-0.33892357139423623
ACH-000291,-0.4082684139968233
ACH-000293,-0.2729608497722837
ACH-000294,-0.444598401108502
ACH-000295,-0.3947632266168407
ACH-000296,-0.2726191031537752
ACH-000302,-0.28931728301001197
ACH-000304,-0.07045571120204727
ACH-000307,-0.31199919854821023
ACH-000308,-0.25252090179745673
ACH-000310,-0.20456976759693596
ACH-000311,-0.321505030214389
ACH-000312,-0.17312630369080856
ACH-000315,-0.1563598165514821
ACH-000316,-0.4716916139586701
ACH-000317,-0.4458754518132373
ACH-000318,-0.5399957758991022
ACH-000319,-0.3131867579838307
ACH-000320,-0.14518331859837014
ACH-000322,-0.2537851147110028
ACH-000323,-0.28049160261015843
ACH-000324,-0.3594509484208728
ACH-000329,-0.3052161042252419
ACH-000330,-0.4558667714495307
ACH-000331,-0.4127826333805377
ACH-000332,-0.2525248106452785
