,ACTL7B (10880)
ACH-000242,-0.056137224445096
ACH-000243,-0.06669593737280592
ACH-000244,-0.2185794195341204
ACH-000246,0.04520374983571468
ACH-000248,-0.08911466642477485
ACH-000250,-0.08539209881524858
ACH-000251,0.02553894986955782
ACH-000252,0.04822087115058419
ACH-000253,-0.1879489640096611
ACH-000255,-0.1482425547864096
ACH-000256,0.01533002043068328
ACH-000257,-0.015999895244279715
ACH-000258,-0.08453486453145896
ACH-000259,-0.12257852388238888
ACH-000260,-0.016917052963132274
ACH-000261,0.007185518941347865
ACH-000262,-0.31493295462473936
ACH-000263,0.08159145462623009
ACH-000264,0.03020505955293216
ACH-000265,0.2102909579220606
ACH-000266,-0.05361523156573027
ACH-000272,0.08553617425881453
ACH-000274,0.01929021928473644
ACH-000277,-0.16988686251094753
ACH-000278,-0.02039683497605417
ACH-000279,0.03916108187176525
ACH-000280,-0.2618546754427064
ACH-000281,-0.010052137745512809
ACH-000288,0.040490777273319095
ACH-000291,0.08022196582359799
ACH-000293,-0.0675074163924814
ACH-000294,-0.007213120360213452
ACH-000295,0.03849904999912298
ACH-000296,0.12812829689217564
ACH-000302,-0.06612213285183187
ACH-000304,-0.4967385562502631
ACH-000307,-0.009431308038992591
ACH-000308,0.012206766698033692
ACH-000310,-0.1265996073525532
ACH-000311,-0.0807833763430682
ACH-000312,-0.028310063425023436
ACH-000315,-0.06571053763297599
ACH-000316,-0.15242819079962225
ACH-000317,-0.08039710861590957
ACH-000318,-0.012332591962463512
ACH-000319,0.0315212940745269
ACH-000320,-0.10568324205545114
ACH-000322,-0.25802584915726323
ACH-000323,-0.2278872813379893
ACH-000324,-0.09688988551307956
ACH-000329,-0.09568771619951524
ACH-000330,0.10729764435636574
ACH-000331,-0.016013957245662163
ACH-000332,0.07578166220474243
ACH-000334,-0.3295590012748276
ACH-000335,-0.21702839493679926
ACH-000336,-0.019483749186758777
ACH-000337,-0.02392508723568169
ACH-000338,-0.18925454890627333
ACH-000339,0.050891676480618035
ACH-000341,0.18416191603220905
ACH-000348,-0.18974096816183408
ACH-000350,0.014567596291975897
ACH-000352,0.16297041217884742
ACH-000356,0.06354381549070312
ACH-000361,0.1148629228295955
ACH-000362,0.012663919997886157
ACH-000363,0.004335927666802714
ACH-000364,-0.06635294530678824
ACH-000365,0.0494437989877426
ACH-000366,-0.0849221961764125
ACH-000368,-0.0713852232253642
ACH-000374,0.0547110120930696
ACH-000375,-0.10354851816079146
ACH-000376,-0.13553853891833506
ACH-000381,-0.014105825697400006
ACH-000383,-0.1644114490031334
ACH-000387,-0.05271528122172233
ACH-000389,-0.0376621531735994
ACH-000390,-0.1935005144129235
ACH-000393,-0.008862910184222673
ACH-000395,-0.09656279515114534
ACH-000396,0.007684499350877533
ACH-000397,0.11506179683106114
ACH-000401,-0.12249741783983426
ACH-000402,0.19989353382833205
ACH-000403,-0.07551076840934727
ACH-000404,0.11986596899377
ACH-000406,-0.0393605532216374
ACH-000407,0.13314316753994745
ACH-000408,-0.12501766357774466
ACH-000410,0.0848949210048907
ACH-000411,-0.02728137928209035
ACH-000414,0.0
ACH-000415,-0.12555391100542793
ACH-000416,-0.05202811353622955
ACH-000420,0.1982153442695808
ACH-000421,0.11476180428815383
ACH-000424,-0.04361912737380587
ACH-000425,0.09821360609269957
ACH-000426,0.1238286778574723
ACH-000427,-0.04416528456334706
ACH-000433,0.31790445732289097
ACH-000435,-0.0731893370734153
ACH-000436,0.08614345196600905
ACH-000444,0.03861537834335788
ACH-000445,-0.3115382127471091
ACH-000448,0.0402924454752468
ACH-000450,-0.08137008357454642
ACH-000452,0.02715612734608996
ACH-000454,-0.08317324437311918
ACH-000458,-0.09405380654017403
ACH-000459,0.08326299033706637
ACH-000460,0.0629881681182262
ACH-000461,0.06395270459190909
ACH-000463,0.06872169508515898
ACH-000464,-0.033184019964332415
ACH-000466,-0.1055450009365306
ACH-000467,-0.05491790514369976
ACH-000468,0.11738825718743855
ACH-000469,-0.06972948678037773
ACH-000470,-0.11844372695553752
ACH-000471,0.019798570345121287
ACH-000472,0.028744600395921523
ACH-000473,0.019172783888818608
ACH-000475,-0.0022634323718010987
ACH-000476,-0.0815075856334059
ACH-000477,-0.1741382401273204
ACH-000479,-0.5285749115145273
ACH-000480,-0.07087552531273222
ACH-000481,-0.13216106823659535
ACH-000483,0.013458337190835678
ACH-000484,0.2659266857511952
ACH-000485,-0.2410657863302895
ACH-000486,0.03437643896476044
ACH-000487,-0.21226359224120986
ACH-000488,-0.0956574131635181
ACH-000490,0.068683890533128
ACH-000491,-0.19045026816208488
ACH-000495,-0.07491518401990123
ACH-000496,0.11322847950328548
ACH-000499,0.137466229729725
ACH-000500,0.4301721135750753
ACH-000502,0.001257085382285611
ACH-000503,0.051764259310030265
ACH-000505,-0.043636719389275824
ACH-000507,0.14645177101205634
ACH-000510,-0.024784616146097973
ACH-000511,-0.018851421031452074
ACH-000512,0.1612571776930269
ACH-000516,-0.1436691539129687
ACH-000517,-0.06502496024089316
ACH-000518,0.0970952463586589
ACH-000520,-0.0031828978747990397
ACH-000521,-0.05837888652926498
ACH-000522,0.003505995807649803
ACH-000524,-0.08030406592645292
ACH-000527,-0.04979521238925362
ACH-000528,-0.09792288749630787
ACH-000537,-0.13222371273012884
ACH-000541,-0.3946549586883717
ACH-000542,-0.03375248570219325
ACH-000544,-0.20392645967194864
ACH-000545,0.06828966487569584
ACH-000547,0.030332812052529818
ACH-000548,0.004536728973991573
ACH-000549,-0.17499060728358684
ACH-000550,-0.07225845781133268
ACH-000552,0.04247348386903401
ACH-000556,0.06749010005745062
ACH-000557,0.015053363359866288
ACH-000569,0.026621912462595914
ACH-000570,-0.16258955620144522
ACH-000571,-0.13020265870589934
ACH-000573,-0.113817633687865
ACH-000576,-0.06177828874050083
ACH-000579,-0.18705640209439112
ACH-000580,-0.014653750826228553
ACH-000584,-0.03864008260395591
ACH-000585,0.012245056839514112
ACH-000588,-0.2732601792783501
ACH-000589,-0.1346334153402571
ACH-000591,-0.04686720506500228
ACH-000593,-0.12652582449767694
ACH-000600,-0.16284704499656724
ACH-000601,-0.02885663691683843
ACH-000605,-0.18788693114368554
ACH-000606,-0.035269029953106566
ACH-000608,-0.07707213307081813
ACH-000614,-0.025142406607772068
ACH-000616,0.034268379181130466
ACH-000618,-0.01244377250541158
ACH-000619,-0.2191060265125769
ACH-000620,-0.004437753898910207
ACH-000621,-0.09210236502533738
ACH-000622,-0.13636557419522935
ACH-000623,0.008721339815972064
ACH-000624,-0.13761475655865513
ACH-000627,-0.09348567135252804
ACH-000630,-0.1302348783995734
ACH-000631,-0.2328652122362191
ACH-000632,-0.15609193859812154
ACH-000633,-0.0587308619369585
ACH-000637,0.14088619284731535
ACH-000638,0.041654592463656964
ACH-000646,0.13267577868363492
ACH-000647,-0.027837757219965658
ACH-000648,-0.0221687456203756
ACH-000649,-0.08731971642641301
ACH-000651,-0.030358965462101505
ACH-000652,-0.005019706956051364
ACH-000653,-0.12367053924258255
ACH-000657,0.06864594796718393
ACH-000658,-0.10065220431536592
ACH-000661,-0.21618374359884676
ACH-000662,0.02294367083350754
ACH-000663,0.07985564333879358
ACH-000665,-0.0702516756771484
ACH-000671,-0.09833124293858014
ACH-000672,0.12876125192466606
ACH-000673,-0.1046744840818922
ACH-000676,0.1483453616249695
ACH-000677,0.07015009015234154
ACH-000681,-0.114743876171771
ACH-000683,-0.18965770710650628
ACH-000684,-0.21122923218214013
ACH-000688,-0.20565174109081352
ACH-000693,-0.11485263060977945
ACH-000694,-0.14095073696031946
ACH-000695,-0.16822293612831518
ACH-000696,-0.07230609988501407
ACH-000697,-0.006278900552469151
ACH-000699,-0.1304110060677658
ACH-000701,0.09886899483089293
ACH-000706,0.01131086124600204
ACH-000711,0.004676365933642508
ACH-000713,-0.18628840778234707
ACH-000714,-0.08214560394556313
ACH-000718,-0.04584385082686465
ACH-000720,-0.024511367315585068
ACH-000721,-0.004953905394219286
ACH-000724,0.015605975875595325
ACH-000725,-0.188312742734776
ACH-000732,0.1708063840820199
ACH-000734,0.02579888378076436
ACH-000735,0.060408578393176524
ACH-000736,-0.0511820105501198
ACH-000738,-0.07138865633724377
ACH-000746,-0.16678576012487198
ACH-000747,-0.14597269742932936
ACH-000748,0.08080032260573441
ACH-000753,-0.04878612973367075
ACH-000756,-0.13444277431916948
ACH-000757,-0.025248802385884537
ACH-000758,-0.09336672783997724
ACH-000760,0.01439576651898452
ACH-000762,-0.07078861108064126
ACH-000763,-0.22432327155932386
ACH-000764,-0.2578207567029598
ACH-000765,-0.0033056371052019233
ACH-000766,-0.032782960525936496
ACH-000767,-0.0766801954905326
ACH-000768,-0.0564875353036079
ACH-000769,-0.1610492192962156
ACH-000770,-0.0872487752969039
ACH-000771,-0.004346974619715112
ACH-000773,0.15977526998990454
ACH-000776,-0.29241378163518783
ACH-000777,-0.07791102557728237
ACH-000778,-0.12815037287944167
ACH-000781,-0.054170991609482536
ACH-000782,-0.027932686300115042
ACH-000783,-0.18381217643522627
ACH-000784,-0.02056540717560973
ACH-000785,0.032098396301595084
ACH-000787,-0.023035550551095685
ACH-000788,-0.07719749481077663
ACH-000791,-0.020615319478134626
ACH-000792,0.02109844931354504
ACH-000794,-0.0004423206530030363
ACH-000796,-0.012739297995778984
ACH-000798,0.1990711626634173
ACH-000799,0.09345817970504586
ACH-000800,-0.0070519313615462235
ACH-000802,0.10428958720049374
ACH-000804,0.01858467153092904
ACH-000805,-0.2739920948867171
ACH-000809,-0.04145668220901656
ACH-000810,-0.2163133958764468
ACH-000811,-0.055978307905309214
ACH-000817,0.031772280747144964
ACH-000819,-0.1368570003685387
ACH-000820,-0.2669081489731164
ACH-000821,0.16380054371045613
ACH-000822,-0.022370131016400962
ACH-000823,-0.10916841980390436
ACH-000824,0.01779363974879527
ACH-000827,-0.08091662711537029
ACH-000829,-0.12754976096027787
ACH-000831,-0.07316550053002152
ACH-000832,0.060102731631200536
ACH-000833,0.2645476305711489
ACH-000834,0.14270185609050662
ACH-000835,-0.0065148087035874795
ACH-000836,-0.03068455368619405
ACH-000837,-0.038832975784363545
ACH-000838,-0.12807720878150652
ACH-000839,-0.19656479606979785
ACH-000840,-0.02456124959671677
ACH-000841,-0.0211775532010309
ACH-000843,0.056080243122815385
ACH-000846,-0.08829507622609317
ACH-000847,-0.12144027798431045
ACH-000848,0.006530181462043698
ACH-000849,0.039412159512361385
ACH-000851,0.06018776649643814
ACH-000855,-0.13461453828128758
ACH-000856,-0.20837823781076248
ACH-000858,-0.242277891556021
ACH-000859,0.0033452825185661425
ACH-000861,-0.02761618303910903
ACH-000862,-0.2141374275511746
ACH-000865,-0.13700044512712298
ACH-000866,-0.0077131222848095355
ACH-000867,0.018090199527184745
ACH-000869,0.07789795690437001
ACH-000872,-0.2384875370900577
ACH-000873,-0.07628846032278264
ACH-000876,0.03961248820011473
ACH-000878,-0.030320695267924986
ACH-000880,0.010399877043133792
ACH-000881,0.12172367785918572
ACH-000882,-0.04750391647744
ACH-000884,-0.1630407517859012
ACH-000885,-0.0744343163414712
ACH-000887,-0.13255447712782972
ACH-000889,0.02327920747050786
ACH-000896,0.04604771862775711
ACH-000898,-0.025978516460211026
ACH-000900,0.0006398035148495257
ACH-000901,-0.10326495610775054
ACH-000905,0.00280306234641095
ACH-000906,-0.13736194721893094
ACH-000907,-0.09862215276302606
ACH-000910,-0.08371760858225187
ACH-000911,-0.1188606559244306
ACH-000912,-0.04542859924426482
ACH-000913,-0.09814513036607488
ACH-000915,0.011281045320084315
ACH-000916,0.223664882196356
ACH-000917,0.1696646854314574
ACH-000920,0.06966948767074732
ACH-000921,-0.08742117945290888
ACH-000924,-0.14102773139440805
ACH-000926,-0.11080377319977816
ACH-000928,0.25599494556493324
ACH-000929,-0.05363448372643476
ACH-000932,-0.020887204076226427
ACH-000935,0.12892715128388788
ACH-000936,-0.08515451297430225
ACH-000937,-0.07239009511813205
ACH-000938,-0.11484831242754047
ACH-000939,-0.07551213540690871
ACH-000941,-0.016333841945321833
ACH-000943,-0.10538057817364352
ACH-000946,-0.014533467065292316
ACH-000947,-0.04667280007425815
ACH-000948,-0.039493541335134136
ACH-000950,0.007007243049500448
ACH-000953,-0.04938315139396015
ACH-000954,0.038267862782755666
ACH-000957,-0.20421963219385827
ACH-000958,0.15943986228271542
ACH-000960,0.016715177969614938
ACH-000963,0.17158972734967748
ACH-000968,-0.037437847218415234
ACH-000969,-0.1341333973379012
ACH-000972,-0.07955669702730105
ACH-000973,-0.015800823392360618
ACH-000974,0.03964739474313146
ACH-000978,0.2263053236133181
ACH-000984,-0.16634299401848252
ACH-000986,-0.07164975967334689
ACH-000988,0.14048468571556688
ACH-000993,0.1082360078217231
ACH-000994,0.026525802889404343
ACH-000996,-0.14280819707891818
ACH-001001,-0.08533686012745548
ACH-001020,-0.21603957479975844
ACH-001028,-0.1734678803651451
ACH-001031,-0.027428656725083225
ACH-001038,0.034907346291590806
ACH-001048,0.02129322514603645
ACH-001050,-0.06029009112812081
ACH-001053,-0.06985134029126239
ACH-001054,0.0707174977801478
ACH-001061,-0.05524359677739955
ACH-001067,-0.009623011465780996
ACH-001075,0.12081217482417304
ACH-001096,-0.04030209027640375
ACH-001111,0.051156003909149816
ACH-001119,0.07648878267171334
ACH-001128,0.009763040919649245
ACH-001134,-0.08566853369086247
ACH-001151,-0.0010981384552897972
ACH-001163,-0.1963276908118909
ACH-001164,0.03670690639913853
ACH-001183,-0.09343864681385408
ACH-001192,-0.2310094980346252
ACH-001193,0.1786711215085352
ACH-001196,-0.10634396085871192
ACH-001197,0.0883381528246187
ACH-001205,0.06530116720313874
ACH-001211,-0.03568726176901519
ACH-001212,-0.08984658769535024
ACH-001228,-0.20928913752481
ACH-001232,-0.029799953036231074
ACH-001239,-0.023627290600950417
ACH-001270,-0.2413692747717684
ACH-001274,0.023034863904231585
ACH-001275,-0.2488026194863796
ACH-001277,-0.019044362233384887
ACH-001278,-0.0377381729149219
ACH-001280,-1.6530835413473113e-05
ACH-001283,0.2220686905494864
ACH-001289,0.11562444520458565
ACH-001300,-0.03666083542752013
ACH-001301,0.1127459479276446
ACH-001302,0.017450248569491008
ACH-001306,-0.09505296238971676
ACH-001318,-0.07718273051572055
ACH-001322,-0.02374131424364364
ACH-001328,-0.05995342261049773
ACH-001332,-0.06909126984409371
ACH-001336,0.0329781023818092
ACH-001346,0.07577638869238452
ACH-001353,0.00878334300207968
ACH-001354,0.1156095983499335
ACH-001367,-0.1766142958746644
ACH-001368,0.005822468780445268
