,DBT (1629)
ACH-000004,-0.05264949359861402
ACH-000005,-0.3783852715584057
ACH-000007,-0.18006436768266185
ACH-000009,-0.12272881480185735
ACH-000011,-0.15952545932281958
ACH-000012,-0.1514372973852115
ACH-000013,-0.04750979573171453
ACH-000014,-0.002616945897011912
ACH-000015,-0.10418051940462683
ACH-000017,-0.12505420688529165
ACH-000018,-0.13664838332654464
ACH-000019,-0.17415405981762067
ACH-000021,-0.08047171246420215
ACH-000022,-0.10678326908529807
ACH-000025,-0.22969120766195186
ACH-000028,-0.11236936550564897
ACH-000030,-0.14906135486365588
ACH-000035,-0.15288564291482026
ACH-000036,-0.2964955210419679
ACH-000037,-0.028281499128882993
ACH-000039,-0.009592317320723388
ACH-000040,-0.043128791731729836
ACH-000041,-0.18886177062498935
ACH-000042,-0.06366794202642659
ACH-000045,-0.27900449046120684
ACH-000047,0.007115898774306324
ACH-000052,-0.16510433434103314
ACH-000053,-0.09005668119019848
ACH-000054,-0.1893146407089722
ACH-000055,-0.31947720237675703
ACH-000060,-0.1911388567630036
ACH-000067,-0.19765656614091792
ACH-000070,-0.217762576838096
ACH-000075,-0.35813117266008354
ACH-000078,-0.16211028787682405
ACH-000082,-0.13279983548016386
ACH-000085,-0.16336528641898782
ACH-000086,-0.22377691119669896
ACH-000087,-0.0846188703385894
ACH-000092,-0.20530798830172825
ACH-000095,-0.0983823190495886
ACH-000097,-0.09062991752955532
ACH-000098,-0.14617778251848287
ACH-000099,-0.16786545384698476
ACH-000108,-0.09013373303874504
ACH-000113,-0.22409991858104766
ACH-000116,-0.11486417075000067
ACH-000118,-0.08700100341290402
ACH-000120,0.03660224604295385
ACH-000123,-0.06736943205205863
ACH-000127,-0.1640324963078872
ACH-000128,-0.14067230438601402
ACH-000132,-0.08484932713220224
ACH-000133,-0.25222614405147203
ACH-000137,-0.16284227478011692
ACH-000138,-0.024821295462646033
ACH-000142,-0.1892848835042555
ACH-000143,-0.05114157582890482
ACH-000146,-0.1131831182663558
ACH-000148,-0.06846141256142313
ACH-000150,-0.02304690348840002
ACH-000152,-0.24569405467771985
ACH-000153,0.002036113181056284
ACH-000159,-0.1355966929886674
ACH-000160,-0.028301201536663094
ACH-000163,-0.06737552811637021
ACH-000167,-0.4007304742587609
ACH-000168,-0.08060064774736214
ACH-000169,-0.09223057193577547
ACH-000178,0.023773448928902843
ACH-000183,-0.14125777292150754
ACH-000188,-0.15422478440350978
ACH-000189,-0.1629405570664788
ACH-000190,-0.14280826729952611
ACH-000198,-0.22653477558542
ACH-000203,-0.12895555972232714
ACH-000204,-0.22765121587924905
ACH-000206,-0.15439272228389064
ACH-000207,-0.15745891980071866
ACH-000208,-0.12548831951352654
ACH-000210,0.08318159655410616
ACH-000211,-0.15386920771977006
ACH-000215,-0.11541488296664372
ACH-000221,-0.214385344026048
ACH-000222,-0.05013997581763265
ACH-000223,-0.2639252521104157
ACH-000226,-0.12627174094271582
ACH-000227,-0.1444164349420165
ACH-000228,-0.14494131825021234
ACH-000231,-0.1520811762879259
ACH-000232,-0.07345166883386339
ACH-000233,-0.03555635909023814
ACH-000234,-0.02546354091837777
ACH-000235,-0.09045157051085484
ACH-000237,-0.11973708358159445
ACH-000238,-0.11879724603420085
ACH-000242,-0.20905631707630812
ACH-000243,-0.06744817823862853
