,NOTO (344022)
ACH-000004,-0.17121578396525655
ACH-000005,0.2263548424370258
ACH-000007,0.06592150771917653
ACH-000009,-0.034245058176497166
ACH-000011,-0.05958639421893438
ACH-000012,-0.21368738749143373
ACH-000013,-0.15367725764917256
ACH-000014,-0.18846421912467828
ACH-000015,-0.2365588337888226
ACH-000017,-0.2679458176361741
ACH-000018,-0.19460727366518926
ACH-000019,-0.09494529443833624
ACH-000021,-0.30316246262656305
ACH-000022,-0.16292023114376675
ACH-000025,-0.19799179315231
ACH-000028,-0.2617971319001859
ACH-000030,-0.260732102937893
ACH-000035,-0.2152001192144212
ACH-000036,-0.16568358122420546
ACH-000037,-0.2997392642821276
ACH-000039,-0.3170521476408062
ACH-000040,-0.07071107725061537
ACH-000041,-0.10743623806361008
ACH-000042,-0.2318045423056021
ACH-000045,-0.04662093810171655
ACH-000047,-0.15754547526931922
ACH-000052,-0.2840691181443131
ACH-000053,-0.1901288677206501
ACH-000054,-0.27325895590496746
ACH-000055,-0.14256690099269487
ACH-000060,-0.2285502656697587
ACH-000067,-0.15852058146182038
ACH-000070,-0.06763889350845907
ACH-000075,-0.2670525955945031
ACH-000078,-0.15860585835819774
ACH-000082,-0.20443000778682366
ACH-000085,-0.28000092081925365
ACH-000086,-0.2523275134204219
ACH-000087,-0.181693708789
ACH-000092,-0.28676359386109224
ACH-000095,-0.0873974711524908
ACH-000097,-0.20152022364607247
ACH-000098,-0.04498155113469809
ACH-000099,-0.2307636060374783
ACH-000108,-0.23999930259355134
ACH-000113,-0.1917308046709771
ACH-000116,-0.2293747947080617
ACH-000118,-0.3690402519705097
ACH-000120,-0.14110567456081116
ACH-000123,-0.15100167244666673
ACH-000127,-0.21136322485577475
ACH-000128,-0.12838670980088993
ACH-000132,-0.050322710846454566
ACH-000133,-0.3240626436426053
ACH-000137,-0.1583361070532755
ACH-000138,-0.1296540224492281
ACH-000142,-0.1404290987041732
ACH-000143,-0.518225032746096
ACH-000146,-0.22197454308942435
ACH-000148,-0.1527452122194087
ACH-000150,-0.07895344510218248
ACH-000152,-0.3545253963911932
ACH-000153,-0.17452017067831488
ACH-000159,-0.15349763538990768
ACH-000160,-0.22309086975712952
ACH-000163,-0.2492768320565623
ACH-000167,-0.04447777316147408
ACH-000168,-0.12617503725169846
ACH-000169,-0.23416296900602895
ACH-000178,-0.13435539051116527
ACH-000183,-0.212135756349245
ACH-000188,-0.1985699152314372
ACH-000189,-0.3422711268118425
ACH-000190,-0.2900729287259888
ACH-000198,-0.2411521019816541
ACH-000203,-0.42459472762349465
ACH-000204,-0.1578238189057832
ACH-000206,-0.2507698036755585
ACH-000207,-0.023058557840933552
ACH-000208,-0.4400905348424116
ACH-000210,-0.4208022775082652
ACH-000211,-0.15882699810427364
ACH-000215,-0.14066117762203229
ACH-000221,-0.18163092552954932
ACH-000222,-0.06676008735840433
ACH-000223,-0.13915454298445112
ACH-000226,-0.13828987650190847
ACH-000227,-0.15204056189563325
ACH-000228,-0.16487434915259067
ACH-000231,-0.20920236547728355
ACH-000232,-0.17183973180010292
ACH-000233,-0.17295855637234422
ACH-000234,-0.09660402299091717
ACH-000235,-0.14483638150343867
ACH-000237,-0.1805671301895694
ACH-000238,-0.30908547988124263
ACH-000242,-0.14041265903142974
ACH-000243,-0.3100995712913774
ACH-000244,-0.1791824028580836
ACH-000246,-0.1689837752343794
ACH-000248,-0.31285917372816235
ACH-000250,-0.2670984649862808
ACH-000251,-0.5772846016464732
ACH-000252,-0.20145565471500304
ACH-000253,-0.26812130969805925
ACH-000255,-0.2732194660076259
ACH-000256,-0.08553522433257718
ACH-000257,-0.2884790546152557
ACH-000258,-0.02958210621603617
ACH-000259,-0.21419604402277992
ACH-000260,-0.2200802324923303
ACH-000261,-0.17106595633562507
ACH-000262,-0.19162407954556945
ACH-000263,0.016485032120184942
ACH-000264,-0.19711653087792952
ACH-000265,-0.16647574269188312
ACH-000266,-0.19121220529700733
ACH-000272,-0.20624203505849945
ACH-000274,-0.25163712816557
ACH-000277,-0.12014160444305125
ACH-000278,-0.09085936189346387
ACH-000279,-0.24548651722150874
ACH-000280,-0.2659399184114455
ACH-000281,-0.1423749374808604
ACH-000288,-0.23723847581646598
ACH-000291,-0.2360807258747302
ACH-000293,-0.4829497942613478
ACH-000294,-0.17845074986368425
ACH-000295,-0.2410237096359744
ACH-000296,-0.03551948066860499
ACH-000302,-0.11958455136295652
ACH-000304,-0.22260409410021925
ACH-000307,-0.2576744129582831
ACH-000308,-0.2200758107240448
ACH-000310,-0.06967813960690378
ACH-000311,-0.1899106551317923
ACH-000312,-0.13572536967765
ACH-000315,-0.4876094291477193
ACH-000316,-0.0016367681890947074
ACH-000317,-0.23923067764701084
ACH-000318,-0.16501290707951244
ACH-000319,-0.09772463264857076
ACH-000320,-0.10518478534307778
ACH-000322,-0.15577949558928236
ACH-000323,-0.3107333829929901
ACH-000324,-0.2307263354277518
ACH-000329,-0.1005115117464002
ACH-000330,-0.02652443174469186
ACH-000331,-0.3571106898083551
ACH-000332,-0.11636982546817035
ACH-000334,0.06863974781948554
ACH-000335,-0.214736929445436
ACH-000336,-0.035852641181785605
ACH-000337,-0.25170586129687617
ACH-000338,0.11659242647732405
ACH-000339,-0.16792126023758164
ACH-000341,-0.2411627289291928
ACH-000348,-0.13167484452015674
ACH-000350,-0.12090796364880835
ACH-000352,-0.28893356253036645
ACH-000356,-0.10994400405173216
ACH-000361,-0.1650487233381825
ACH-000362,-0.20239977551873015
ACH-000363,-0.1139993191439453
ACH-000364,-0.03316566676293254
ACH-000365,-0.17753048852626602
ACH-000366,-0.193820501319912
ACH-000368,-0.1782973592889049
ACH-000374,-0.2575291328157964
ACH-000375,-0.16084036580911035
ACH-000376,-0.2574342316038799
ACH-000381,-0.2262586968307713
ACH-000383,-0.17329047482017104
ACH-000387,-0.0767462791367047
ACH-000389,-0.08313341262815449
ACH-000390,-0.21695768520449346
ACH-000393,-0.2298270270675385
ACH-000395,-0.18352607726481496
ACH-000396,-0.1974862856638158
ACH-000397,-0.25360348014873546
ACH-000401,-0.1567875740937738
ACH-000402,-0.02794738940652749
ACH-000403,-0.25089735546958913
ACH-000404,-0.0708310676070464
ACH-000406,-0.12648765471160586
ACH-000407,-0.1462260602620474
ACH-000408,-0.20085756595483095
ACH-000410,-0.2260304979771228
