,SYNPR (132204)
ACH-000004,0.04571440061875455
ACH-000005,0.03668313240654385
ACH-000007,-0.13985886400811895
ACH-000009,-0.08185078067187213
ACH-000011,-0.08533661857069665
ACH-000012,-0.004106251283520225
ACH-000013,0.011627802642969138
ACH-000014,0.100016312045833
ACH-000015,-0.05354748479942283
ACH-000017,-0.018132637794263447
ACH-000018,-0.2549015963591985
ACH-000019,-0.19276194048350173
ACH-000021,-0.0214388211990358
ACH-000022,-0.003349189820236785
ACH-000025,-0.023804158204633358
ACH-000028,-0.44350625711473135
ACH-000030,-0.020909035179645968
ACH-000035,0.08859765358705432
ACH-000036,0.031590394086368656
ACH-000037,0.02210146011161676
ACH-000039,0.06680052661984506
ACH-000040,-0.02612517668360794
ACH-000041,-0.04178165915581958
ACH-000042,-0.016786238728883296
ACH-000045,-0.0070188078049330865
ACH-000047,-0.003010745169247099
ACH-000052,-0.07068094718773713
ACH-000053,-0.03871393199749275
ACH-000054,-0.015234050401646418
ACH-000055,-0.08255515315996803
ACH-000060,-5.971082387106759e-05
ACH-000067,-0.1857706618536324
ACH-000070,-0.2004860953892616
ACH-000075,0.05719222016855744
ACH-000078,-0.07445473126319713
ACH-000082,-0.05350994170755551
ACH-000085,0.020889986088949247
ACH-000086,-0.023325186894579332
ACH-000087,-0.006402355719826372
ACH-000092,0.07179899536385573
ACH-000095,0.009584770374865804
ACH-000097,-0.03079757604051005
ACH-000098,-0.016873680536903524
ACH-000099,-0.04138100078674349
ACH-000108,-0.015114708986246169
ACH-000113,-0.04407359365780576
ACH-000116,-0.08835729769517077
ACH-000118,-0.17264823230025114
ACH-000120,0.09663717047417064
ACH-000123,-0.02726379045553817
ACH-000127,-0.10759544618276737
ACH-000128,-0.0695548563340367
ACH-000132,0.09307460902000823
ACH-000133,-0.010619032780659787
ACH-000137,0.052923227238224416
ACH-000138,-0.02271266479127151
ACH-000142,-0.027718582154134155
ACH-000143,0.029850431286403942
ACH-000146,0.01392271390474304
ACH-000148,0.08767510539905478
ACH-000150,-0.24600877687342365
ACH-000152,-0.03495360208062976
ACH-000153,-0.10691652065576863
ACH-000159,-0.055085205867375225
ACH-000160,-0.07738584096213329
ACH-000163,-0.08563147619385658
ACH-000167,-0.11223487501109453
ACH-000168,-0.016187599970321202
ACH-000169,-0.010031458192870551
ACH-000178,-0.07432437028825872
ACH-000183,0.08115704729856743
ACH-000188,-0.05933112239566137
ACH-000189,0.018349956897501917
ACH-000190,0.1588871547872873
ACH-000198,0.0008777490546950336
ACH-000203,0.43888829914510186
ACH-000204,0.015741055931825315
ACH-000206,0.02188365426799256
ACH-000207,-0.09176713318615663
ACH-000208,0.16431777995412822
ACH-000210,0.01218279152481671
ACH-000211,-0.0951499653530662
ACH-000215,0.0007182242998144122
ACH-000221,-0.051041704063982514
ACH-000222,0.15687856185125396
ACH-000223,0.002300325996538965
ACH-000226,-0.0653552799695745
ACH-000227,0.08025862998628606
ACH-000228,0.07234139565629151
ACH-000231,0.007475279224618154
ACH-000232,-0.08683825517879776
ACH-000233,-0.07684167081126812
ACH-000234,-0.041634555862167626
ACH-000235,-0.0238284201972694
ACH-000237,0.04314953027755985
ACH-000238,-0.1160703077131068
ACH-000242,-0.04972384582623266
