,OR8J1 (219477)
ACH-000004,0.11138129553536824
ACH-000005,-0.07653370988944347
ACH-000007,-0.114500587985219
ACH-000009,0.22120121224317066
ACH-000011,-0.0075861231892814015
ACH-000012,-0.07458499717277718
ACH-000013,0.09377793938828764
ACH-000014,0.16340974515488635
ACH-000015,-0.06965436337800136
ACH-000017,0.001515375731329631
ACH-000018,-0.06232141064839316
ACH-000019,0.07170396253273027
ACH-000021,-0.02335914069776449
ACH-000022,0.02511374426608169
ACH-000025,0.07704651217129269
ACH-000028,-0.14666305095788262
ACH-000030,-0.007006949070034121
ACH-000035,0.16347540121833384
ACH-000036,0.0033691206792546505
ACH-000037,-0.08044434235722925
ACH-000039,0.07274206871786006
ACH-000040,-0.19218269449864125
ACH-000041,0.1083052251035487
ACH-000042,0.08571506591082953
ACH-000045,0.03858649929756235
ACH-000047,0.057791084885422936
ACH-000052,-0.12121998818846395
ACH-000053,0.018066084586720425
ACH-000054,0.02631924821770391
ACH-000055,-0.2146946101716077
ACH-000060,0.049825774946965794
ACH-000067,0.1273447855994622
ACH-000070,0.02353917952302698
ACH-000075,0.014103074999640837
ACH-000078,0.013181627132908888
ACH-000082,-0.08649164567150097
ACH-000085,0.0272950292961333
ACH-000086,-0.12557853944487776
ACH-000087,-0.10030942288866723
ACH-000092,-0.10054634779344908
ACH-000095,0.015466020840717085
ACH-000097,-0.06619427223667637
ACH-000098,0.10940402636401117
ACH-000099,-0.017171768013401194
ACH-000108,0.10702124481520854
ACH-000113,-0.000852129138389888
ACH-000116,-0.11885041545826765
ACH-000118,-0.11354567453637257
ACH-000120,0.10399367258110938
ACH-000123,0.04433842368420237
ACH-000127,-0.034033052045252164
ACH-000128,0.021549078869749112
ACH-000132,-0.19211676270483974
ACH-000133,-0.1873867021050272
ACH-000137,-0.08073202631556496
ACH-000138,0.12446180678923123
ACH-000142,-0.031157433719153808
ACH-000143,0.1724716271415686
ACH-000146,0.03518474274828032
ACH-000148,-0.006890102326351029
ACH-000150,-0.10395785165678023
ACH-000152,-0.09195452606471112
ACH-000153,-0.3430481464152827
ACH-000159,0.042632832139055325
ACH-000160,0.09572973801472286
ACH-000163,-0.10058095884360913
ACH-000167,0.13189331772940105
ACH-000168,-0.008452079763340491
ACH-000169,-0.0002814599459691499
ACH-000178,-0.0014395926261159312
ACH-000183,-0.14512039577085825
ACH-000188,-0.1697186492860189
ACH-000189,-0.06941534072297062
ACH-000190,0.03796026188588017
ACH-000198,-0.0009938398679733872
ACH-000203,0.4152880631120168
ACH-000204,0.016638348895440812
ACH-000206,-0.00942869701820862
ACH-000207,-0.1236409117138594
ACH-000208,-0.23487762399720266
ACH-000210,-0.052653934504488326
ACH-000211,-0.12503931295561124
ACH-000215,0.07895637378971329
ACH-000221,-0.15811834072920514
ACH-000222,0.2525247490672236
ACH-000223,-0.0014471457057440664
ACH-000226,0.07906370827852535
ACH-000227,0.20627444166388045
ACH-000228,0.025527740881122484
ACH-000231,-0.056199351756251854
ACH-000232,-0.018546045329628846
ACH-000233,0.093475746367969
ACH-000234,0.09973306126623764
ACH-000235,-0.0025919527841931373
ACH-000237,-0.009234890573889754
ACH-000238,-0.03756375484738368
ACH-000242,-0.08168726494704256
ACH-000243,-0.03251483741816614
ACH-000244,-0.1762538339921193
ACH-000246,-0.06074164606241179
ACH-000248,-0.1128115931197585
ACH-000250,-0.06502660682081587
ACH-000251,0.024661213875327413
ACH-000252,-0.04516666702705195
ACH-000253,0.10795947694368284
ACH-000255,0.062136283863522136
ACH-000256,-0.27321059973310696
ACH-000257,0.15732511878383065
ACH-000258,0.04664192122037853
ACH-000259,-0.0005374155788394623
ACH-000260,0.034051169150261164
ACH-000261,0.041062248185149336
ACH-000262,-0.0701173303530397
ACH-000263,-0.018639640658104084
ACH-000264,0.07971962998469546
ACH-000265,0.03998259497251077
ACH-000266,-0.03915208733170136
ACH-000272,0.02460288597315041
ACH-000274,0.03935323087733812
ACH-000277,0.04816942579016326
ACH-000278,0.13108526374809906
ACH-000279,0.10580594279650878
ACH-000280,0.12119400593144795
ACH-000281,0.17122170957461366
ACH-000288,0.033254294793763586
ACH-000291,0.06740335863080447
ACH-000293,-0.03457257954703067
ACH-000294,0.06535806778028913
ACH-000295,-0.3206158849975609
ACH-000296,0.015197579130935304
ACH-000302,0.022804086140212256
ACH-000304,0.3762651825055251
ACH-000307,0.02634290833313305
ACH-000308,-0.0949155702250568
ACH-000310,0.15655406066141722
ACH-000311,0.002198815218721918
ACH-000312,0.16050271009085934
ACH-000315,-0.022835155389544358
ACH-000316,0.09155102344038836
ACH-000317,0.003079036710418073
ACH-000318,-0.20383694506416916
ACH-000319,-0.031957573838199915
ACH-000320,-0.11047687614010024
ACH-000322,0.0013182315051110574
ACH-000323,0.06387590153832733
ACH-000324,-0.07159524066832895
ACH-000329,0.1745788253290963
ACH-000330,-0.04796766957302315
ACH-000331,-0.07072017304600499
ACH-000332,-0.04309250342736126
ACH-000334,0.05109656478346314
ACH-000335,0.06293790100164952
ACH-000336,0.012292852751413164
ACH-000337,-0.11003906156378494
ACH-000338,0.15163331182801193
ACH-000339,-0.047341449178049146
ACH-000341,-0.002728551555152309
ACH-000348,0.11391759696479535
ACH-000350,0.010262482998381402
ACH-000352,0.09243896500607017
ACH-000356,0.001994936776186531
ACH-000361,-0.2373998742236369
ACH-000362,0.10291432107731914
ACH-000363,0.07989713589950287
ACH-000364,0.14858833615655956
ACH-000365,-0.018172891675480682
ACH-000366,-0.017073950736529394
ACH-000368,-0.15647649875865574
ACH-000374,0.0531915712923577
ACH-000375,-0.09165051552134536
ACH-000376,-0.014428286419821848
ACH-000381,-0.07017135977480701
ACH-000383,0.043611782027993776
ACH-000387,0.07586409004394241
ACH-000389,0.2004848288670092
ACH-000390,-0.032540030592059684
ACH-000393,0.12549855693936554
ACH-000395,0.09300215273547896
ACH-000396,-0.10725766790699144
ACH-000397,-0.0507482050777755
ACH-000401,0.2411485475703429
ACH-000402,0.1262483546137647
ACH-000403,0.0578378180599639
ACH-000404,-0.01824356138018816
ACH-000406,0.04042119731899256
ACH-000407,-0.04855826426376579
ACH-000408,-0.15548131194035336
ACH-000410,-0.006115105120599021
ACH-000411,-0.05073775316264982
ACH-000414,-0.00323292695815361
ACH-000415,-0.06377095776039662
ACH-000416,0.0965064412921227
ACH-000420,-0.03564607657980731
ACH-000421,-0.025332633765113383
ACH-000424,0.035319031296232435
ACH-000425,0.04987872135796666
ACH-000426,-0.036919160905664085
ACH-000427,-0.034437285132765116
ACH-000433,-0.05116549034783775
ACH-000435,0.27844823605269514
ACH-000436,0.11983103282400134
ACH-000444,-0.00904213040739627
ACH-000445,0.08978365458975904
ACH-000448,-0.08683083103021969
ACH-000450,-0.09344350859735584
ACH-000452,0.00992863519083052
ACH-000454,0.07322104336868042
ACH-000458,0.09699579631994004
ACH-000459,0.2162998326818608
ACH-000460,-0.08186616443106769
ACH-000461,-0.02737700948799
ACH-000463,-0.13011927996843695
ACH-000464,0.06084885130813846
ACH-000466,0.058419779609736974
ACH-000467,-0.04444703435578495
ACH-000468,0.08589725067276388
ACH-000469,-0.07710272532128956
ACH-000470,0.0817273118670163
ACH-000471,-0.00364786581618008
ACH-000472,0.10972070703481067
ACH-000473,0.08006879490860726
