,SHQ1 (55164)
ACH-000004,-0.8025498410967494
ACH-000005,-0.9787169161820414
ACH-000007,-0.8476390252170013
ACH-000009,-0.8480133717636777
ACH-000011,-0.8090562351167472
ACH-000012,-0.9350653233877649
ACH-000013,-0.8253423791121169
ACH-000014,-0.7779249635432405
ACH-000015,-0.9130620908837797
ACH-000017,-0.9118041975362966
ACH-000018,-1.0140849975787043
ACH-000019,-0.7314260523101727
ACH-000021,-0.6661893176472338
ACH-000022,-0.8534673994542731
ACH-000025,-0.8072757409919491
ACH-000028,-0.7981000513952449
ACH-000030,-0.7937783656441868
ACH-000035,-1.0058326864350469
ACH-000036,-0.6462226737774603
ACH-000037,-0.4520113711799864
ACH-000039,-0.7925244700459083
ACH-000040,-0.9047715029048784
ACH-000041,-0.9191834775164298
ACH-000042,-0.9122971672787816
ACH-000045,-0.8457910666113985
ACH-000047,-0.8307401503280081
ACH-000052,-1.154140334588823
ACH-000053,-0.8873566478362799
ACH-000054,-0.6970337917197136
ACH-000055,-1.0679513973843309
ACH-000060,-1.027533930886144
ACH-000067,-0.9202518966850608
ACH-000070,-0.6857237263108494
ACH-000075,-0.8590117643153864
ACH-000078,-0.9971172839921912
ACH-000082,-0.7144551620724403
ACH-000085,-1.1804407334888851
ACH-000086,-0.7693157154476591
ACH-000087,-1.1390902563090055
ACH-000092,-0.6357787772164092
ACH-000095,-0.8275744827273038
ACH-000097,-0.8240973909732748
ACH-000098,-0.7955508082499956
ACH-000099,-0.7203445254756874
ACH-000108,-0.9744532845904306
ACH-000113,-0.8623150670927925
ACH-000116,-0.8582580407268859
ACH-000118,-0.7377974886081806
ACH-000120,-0.7591096623949858
ACH-000123,-0.6958615942739417
ACH-000127,-0.7285688387788324
ACH-000128,-0.8705492618809614
ACH-000132,-0.7482246029867702
ACH-000133,-1.019724150433348
ACH-000137,-0.9220255027532489
ACH-000138,-0.8994968633038979
ACH-000142,-0.9072706805194832
ACH-000143,-0.7978187731359316
ACH-000146,-0.7585774237570155
ACH-000148,-0.7518573850333098
ACH-000150,-0.7613757627709975
ACH-000152,-0.9358409410213406
ACH-000153,-1.0834943260457608
ACH-000159,-0.8324391536455464
ACH-000160,-0.7892317620327968
ACH-000163,-0.7958521650457314
ACH-000167,-0.8530380846984301
ACH-000168,-0.7075977881874089
ACH-000169,-1.0241617317066876
ACH-000178,-0.8457283975991651
ACH-000183,-0.7389232716986196
ACH-000188,-0.8013596016466006
ACH-000189,-0.7124269430290933
ACH-000190,-0.8720312711439363
ACH-000198,-0.809964836530532
ACH-000203,-1.0966922288566792
ACH-000204,-0.8437344608727462
ACH-000206,-0.9837245784291292
ACH-000207,-0.7679516828547085
ACH-000208,-0.9853062368134968
ACH-000210,-0.7855441417622154
ACH-000211,-0.8745940043052618
ACH-000215,-0.8727943742443808
ACH-000221,-1.0609847740722398
ACH-000222,-0.6849264888129881
ACH-000223,-0.7172100296655508
ACH-000226,-0.7561810783007782
ACH-000227,-0.7185963587418333
ACH-000228,-0.9868568400863628
ACH-000231,-0.7143118149345847
ACH-000232,-0.8863144943944664
ACH-000233,-0.8741038809155519
ACH-000234,-0.94636679194977
ACH-000235,-0.8919821513285141
ACH-000237,-1.0402633478520489
ACH-000238,-0.9247489137863704
ACH-000242,-0.988846228222938
ACH-000243,-0.9387627615360586
ACH-000244,-0.6892293328498167
ACH-000246,-0.8505466561865076
ACH-000248,-0.8462325110879705
ACH-000250,-0.8236783595441797
ACH-000251,-0.8178664142627979
ACH-000252,-0.8915256285830183
ACH-000253,-0.9710228636891852
ACH-000255,-0.9620488394280048
ACH-000256,-0.9839848348522552
ACH-000257,-0.8008291817216547
ACH-000258,-0.8227020060879056
ACH-000259,-0.8070897379724474
ACH-000260,-0.7957658449143176
