,BHMT2 (23743)
ACH-000004,-0.23101936412439025
ACH-000005,-0.052337727923419175
ACH-000007,-0.05776453603531113
ACH-000009,-0.11059934836187048
ACH-000011,0.02029598549105937
ACH-000012,-0.11921595239570028
ACH-000013,-0.005067464117759153
ACH-000014,-0.3426228677268096
ACH-000015,-0.2785157835259083
ACH-000017,-0.14863876677332613
ACH-000018,-0.27138835663752225
ACH-000019,0.015257830884536475
ACH-000021,-0.17443992997784782
ACH-000022,-0.13515282421198316
ACH-000025,-0.07872587232915097
ACH-000028,-0.0968916343413804
ACH-000030,-0.09208581789393908
ACH-000035,-0.07217821146067864
ACH-000036,-0.024210891227657967
ACH-000037,-0.10550064064497056
ACH-000039,-0.1305139326752556
ACH-000040,-0.15137777281112225
ACH-000041,-0.07286900973984495
ACH-000042,-0.21317423510273004
ACH-000045,-0.19923397993222347
ACH-000047,-0.21066298133003766
ACH-000052,-0.09376691917848157
ACH-000053,-0.2226099228556539
ACH-000054,-0.1103630470195799
ACH-000055,-0.14831849621764215
ACH-000060,-0.14425083418972506
ACH-000067,-0.20290982516302586
ACH-000070,-0.2030943894810004
ACH-000075,0.05572627982665184
ACH-000078,-0.1385946851246189
ACH-000082,-0.1609812226073248
ACH-000085,-0.12477032205302033
ACH-000086,-0.2679525584353061
ACH-000087,0.029196198174515763
ACH-000092,-0.054826877837374124
ACH-000095,-0.020191961840170185
ACH-000097,-0.04484962427183727
ACH-000098,-0.225320092226218
ACH-000099,-0.061140362688139736
ACH-000108,-0.2313903152503483
ACH-000113,-0.00010804434806942005
ACH-000116,-0.0415345863259616
ACH-000118,-0.2378496521130759
ACH-000120,-0.017567464183872068
ACH-000123,-0.08238308732328804
ACH-000127,-0.2471803421029215
ACH-000128,-0.2408084473773009
ACH-000132,-0.06994604579633297
ACH-000133,-0.2088912062725013
ACH-000137,-0.4917587907046609
ACH-000138,-0.21946888748447524
ACH-000142,-0.21823218566956773
ACH-000143,0.010963437206209322
ACH-000146,-0.11751141947467784
ACH-000148,-0.23971971582211254
ACH-000150,-0.07314274741630322
ACH-000152,-0.13365331518306156
ACH-000153,-0.4272174416036213
ACH-000159,-0.1085213930505389
ACH-000160,-0.09012318467797294
ACH-000163,-0.0704894634689501
ACH-000167,-0.0034187647755283376
ACH-000168,-0.1446462130152045
ACH-000169,-0.17730271767516795
ACH-000178,-0.14205460487309515
ACH-000183,-0.11499203415352564
ACH-000188,-0.25493311230561194
ACH-000189,-0.2445903701845036
ACH-000190,-0.2288909537896011
ACH-000198,-0.1536596349950607
ACH-000203,-0.24278506270459696
ACH-000204,-0.17675891378001024
ACH-000206,-0.2935018492244254
ACH-000207,-0.010291406766254644
ACH-000208,-0.0455201127974785
ACH-000210,-0.3852192833234229
ACH-000211,-0.12894863650536273
ACH-000215,-0.1332114186687979
ACH-000221,0.11421332845185322
ACH-000222,-0.10857232445990243
ACH-000223,-0.06276252691890855
ACH-000226,-0.18270798870717345
ACH-000227,-0.054621538566896326
ACH-000228,-0.23778425687288154
ACH-000231,-0.16046381603283294
ACH-000232,-0.12612972706134964
ACH-000233,-0.1338953637539911
ACH-000234,-0.010553888394478248
ACH-000235,-0.16096109349653615
ACH-000237,-0.15466365157098402
ACH-000238,-0.2047677178011959
ACH-000242,-0.16363971617660694
ACH-000243,-0.07682248349561173
ACH-000244,-0.0733778033627867
ACH-000246,-0.02674037194905574
ACH-000248,0.03537797162256659
ACH-000250,-0.12433491563000973
