,ZMYND15 (84225)
ACH-000004,-0.11487875572691675
ACH-000005,-0.4630918048005335
ACH-000007,-0.17722390263800214
ACH-000009,-0.20295722084124104
ACH-000011,-0.07627199791010626
ACH-000012,-0.028218515474256613
ACH-000013,-0.09474581260965696
ACH-000014,0.04753565220232688
ACH-000015,-0.15288188006503264
ACH-000017,-0.03491806354552286
ACH-000018,-0.1825595099432512
ACH-000019,-0.07064271541803081
ACH-000021,-0.1599068832213814
ACH-000022,-0.1014522066982248
ACH-000025,-0.07225060980966565
ACH-000028,-0.17686028173878915
ACH-000030,-0.09243771843538587
ACH-000035,0.002117169354164633
ACH-000036,-0.12247933137959595
ACH-000037,-0.2424118928130613
ACH-000039,-0.1834032804271108
ACH-000040,-0.14962677540612254
ACH-000041,-0.19616465778867476
ACH-000042,-0.3782948165099515
ACH-000045,-0.123788988045621
ACH-000047,-0.0929005759929861
ACH-000052,0.12217464158399735
ACH-000053,-0.14362879940399134
ACH-000054,-0.06341118315111233
ACH-000055,-0.2344732045461839
ACH-000060,-0.2765553399944445
ACH-000067,-0.20654352479703605
ACH-000070,0.006758923298110385
ACH-000075,-0.21897370058636012
ACH-000078,-0.2765432261927216
ACH-000082,-0.23025272230980676
ACH-000085,-0.14423199756287833
ACH-000086,-0.048829598064555495
ACH-000087,-0.0002033950997696069
ACH-000092,-0.07668028346104885
ACH-000095,-0.2744147025162761
ACH-000097,-0.17238532713901467
ACH-000098,-0.19156876239838325
ACH-000099,-0.2836641660831769
ACH-000108,-0.10582811269800424
ACH-000113,-0.05427741902789356
ACH-000116,0.03885071620022855
ACH-000118,-0.08109703375154617
ACH-000120,-0.23826220316047014
ACH-000123,-0.24139594443459145
ACH-000127,-0.08287184763463451
ACH-000128,0.03940868864520853
ACH-000132,-0.21711750656130596
ACH-000133,-0.2596889653426069
ACH-000137,-0.05752477378314511
ACH-000138,-0.04012241910878335
ACH-000142,-0.1773823963733249
ACH-000143,-0.14297154403262816
ACH-000146,-0.18171632299003654
ACH-000148,-0.15327742962883756
ACH-000150,-0.2964103653844313
ACH-000152,-0.2230312947812494
ACH-000153,-0.0709137526846712
ACH-000159,-0.10201441537446083
ACH-000160,0.06394990996790974
ACH-000163,0.008623186607478192
ACH-000167,0.2227229898295676
ACH-000168,-0.1313803395851119
ACH-000169,-0.10558824514134264
ACH-000178,-0.12998622692814046
ACH-000183,-0.20702162352252
ACH-000188,-0.11914158266223515
ACH-000189,-0.3529176218752986
ACH-000190,-0.11422655185708742
ACH-000198,-0.2903649801926592
ACH-000203,-0.1567906653262642
ACH-000204,-0.5938472938350282
ACH-000206,-0.2537387098381845
ACH-000207,-0.2575200189106419
ACH-000208,-0.06975747697565637
ACH-000210,-0.4623152604378447
ACH-000211,-0.09504890229564214
ACH-000215,-0.05301332505121659
ACH-000221,-0.049559076137209515
ACH-000222,-0.17662762748025934
ACH-000223,-0.08432366892438721
ACH-000226,-0.2645293832976359
ACH-000227,-0.1842501611653611
ACH-000228,-0.06349113998176986
ACH-000231,-0.2209395275032058
ACH-000232,-0.13138551014416167
ACH-000233,-0.14231780378269954
ACH-000234,-0.053799190284302086
ACH-000235,-0.20767743113161236
ACH-000237,-0.11574422672252875
ACH-000238,-0.14239078927418825
ACH-000242,-0.0926454331958772
ACH-000243,-0.14670996027182198
ACH-000244,-0.022457165293971543
ACH-000246,-0.007095360273046665
ACH-000248,0.11793046789557435
ACH-000250,-0.137404782940154
ACH-000251,-0.25992168524829706
ACH-000252,-0.10833168788750387
ACH-000253,-0.05539653295072056
ACH-000255,-0.11194924149795683
ACH-000256,-0.22271876764237256
ACH-000257,-0.3409881193983194
ACH-000258,-0.15469524952947464
ACH-000259,-0.1819911692059357
ACH-000260,-0.09240135939452623
ACH-000261,-0.17312864802250574
ACH-000262,-0.15732836923654767
ACH-000263,-0.018707417439452784
ACH-000264,-0.12745771127591002
ACH-000265,-0.12129554995771613
ACH-000266,-0.1828221388268076
ACH-000272,-0.20016451535537452
ACH-000274,-0.1807689750832764
ACH-000277,-0.14574903297843042
ACH-000278,0.04689418132630002
ACH-000279,-0.15343393734202074
ACH-000280,-0.08890983659956478
ACH-000281,-0.1962521967851669
ACH-000288,-0.1184813478273417
ACH-000291,-0.1983656102581064
ACH-000293,-0.09202831189757917
ACH-000294,-0.1688772679023645
ACH-000295,-0.05159754415295762
ACH-000296,-0.16531334962569322
ACH-000302,-0.0987317966176623
ACH-000304,-0.22257296904547352
ACH-000307,-0.07056044579448689
