,PPP2CA (5515)
ACH-000004,-0.9264321844037736
ACH-000005,-0.8958164410324759
ACH-000007,-0.8841935800311771
ACH-000009,-0.9039446088126484
ACH-000011,-0.8950236934956712
ACH-000012,-0.7369917417540051
ACH-000013,-1.2306870673023245
ACH-000014,-0.7829809336355791
ACH-000015,-1.2034820106966937
ACH-000017,-0.9345327145307124
ACH-000018,-0.9638276533722212
ACH-000019,-1.0935003659896172
ACH-000021,-0.4053348714187615
ACH-000022,-1.2276922397448962
ACH-000025,-0.897096670765153
ACH-000028,-1.0233066184974
ACH-000030,-0.9941237692834216
ACH-000035,-0.7004387065963921
ACH-000036,-0.8387908122093675
ACH-000037,-0.6987600196033001
ACH-000039,-0.8845163287599155
ACH-000040,-0.9324819118569788
ACH-000041,-1.1374878301728195
ACH-000042,-1.087742809406956
ACH-000045,-0.8682454001617302
ACH-000047,-0.4015373672309278
ACH-000052,-0.4800727373668344
ACH-000053,-1.1311526492618638
ACH-000054,-0.7146628914311661
ACH-000055,-0.9008663442815028
ACH-000060,-0.9881131952475528
ACH-000067,-0.7700378634486116
ACH-000070,-0.9964967625863044
ACH-000075,-0.577007094066275
ACH-000078,-0.8761819954332465
ACH-000082,-0.6405711931665871
ACH-000085,-1.1888252881105623
ACH-000086,-0.8850981331818527
ACH-000087,-0.98418921804666
ACH-000092,-0.38703241820351136
ACH-000095,-0.9661173817995644
ACH-000097,-0.7922145495991141
ACH-000098,-0.7790940340392909
ACH-000099,-0.9961087871030524
ACH-000108,-0.5370530765341274
ACH-000113,-0.7851295775310301
ACH-000116,-0.9998157465633426
ACH-000118,-1.067936848281386
ACH-000120,-0.6808486241829931
ACH-000123,-0.7365517540087951
ACH-000127,-1.0624843844312244
ACH-000128,-0.8603764787636661
ACH-000132,-0.5722886775387784
ACH-000133,-0.7888833549628471
ACH-000137,-0.8619331092444815
ACH-000138,-0.9216423391565892
ACH-000142,-0.8220348046357401
ACH-000143,-0.06151304880766975
ACH-000146,-0.9091107258880976
