,NBN (4683)
ACH-000004,-0.13689152049181974
ACH-000005,0.03679034147903932
ACH-000007,-0.050043021080458314
ACH-000009,-0.0025896838923880976
ACH-000011,0.07664620185893835
ACH-000012,-0.1264959322185677
ACH-000013,-0.016914346943938532
ACH-000014,-0.08622825327658197
ACH-000015,-0.10848220053104084
ACH-000017,-0.22719641673968266
ACH-000018,-0.07814939625741044
ACH-000019,-0.07277735249051395
ACH-000021,-0.10391563095026106
ACH-000022,0.08224717377164406
ACH-000025,-0.25335278042303355
ACH-000028,-0.258063934442553
ACH-000030,-0.02138339825741313
ACH-000035,-0.17367765771194188
ACH-000036,-0.07033346389653469
ACH-000037,-0.24383601813968436
ACH-000039,-0.012753064683290708
ACH-000040,-0.14754253725259206
ACH-000041,-0.09500078396576483
ACH-000042,-0.005368213455108536
ACH-000045,0.22455262653692945
ACH-000047,-0.4027060756765634
ACH-000052,-0.2091277732870201
ACH-000053,0.012625111984245596
ACH-000054,-0.1254814327116013
ACH-000055,0.023464437558163458
ACH-000060,-0.061766639344501814
ACH-000067,-0.05741642945932805
ACH-000070,-0.041910124955130565
ACH-000075,-0.0971101019995745
ACH-000078,0.07461314802908295
ACH-000082,-0.03962271596072052
ACH-000085,-0.09600767449434937
ACH-000086,-0.19102627382910814
ACH-000087,-0.18939986271084333
ACH-000092,-0.21653901397437075
ACH-000095,0.07337513856097604
ACH-000097,0.042439274110851626
ACH-000098,-0.20185502143071848
ACH-000099,-0.043708053873964856
ACH-000108,0.007637377735047237
ACH-000113,-0.15201944026081204
ACH-000116,-0.14449439532040942
ACH-000118,-0.22602628387070284
ACH-000120,-0.08501043291441646
ACH-000123,-0.21800764065399084
ACH-000127,-0.3280479951457445
ACH-000128,-0.11381301766870032
ACH-000132,-0.4690243744255244
ACH-000133,-0.30523992595761085
ACH-000137,-0.22612052796536225
ACH-000138,-0.08643356024489242
ACH-000142,-0.08491348023809517
ACH-000143,-0.10832048563937324
ACH-000146,-0.002078148338290356
ACH-000148,-0.2273280487618541
ACH-000150,-0.12256590248991815
ACH-000152,-0.2025145170505845
ACH-000153,-0.05162753303685064
ACH-000159,0.03349942932480701
ACH-000160,-0.13984368113954718
ACH-000163,-0.12304637895565555
ACH-000167,-0.08553683512773977
ACH-000168,0.1422088332380951
ACH-000169,-0.04691524510502435
ACH-000178,-0.4966158812510536
ACH-000183,0.05010893305168245
ACH-000188,-0.014909559884435413
ACH-000189,0.2446741009978879
ACH-000190,-0.055200216726836185
ACH-000198,0.3981166599206331
ACH-000203,-0.21252211999066015
ACH-000204,-0.28415516857057344
ACH-000206,0.00424646430865756
ACH-000207,-0.05555235604145967
ACH-000208,-0.2406466849033325
ACH-000210,-0.011462562157044222
ACH-000211,-0.2939055827728285
ACH-000215,-0.11179458227340157
ACH-000221,-0.1058782565319143
ACH-000222,0.07622274468296099
ACH-000223,-0.2375672265952525
ACH-000226,-0.09225391149529626
ACH-000227,-0.1223536203306908
ACH-000228,-0.1347882166158482
ACH-000231,-0.1444250477892874
ACH-000232,-0.21044652494859306
ACH-000233,-0.3045331037681716
ACH-000234,0.03120217980829865
ACH-000235,0.03193469858200169
ACH-000237,-0.25635937480663873
ACH-000238,-0.0007054571688208008
ACH-000242,0.049514917485086116
ACH-000243,-0.2896594841745441
ACH-000244,0.2339192970432431
ACH-000246,-0.37401164684470334
ACH-000248,-0.21760867149986324
ACH-000250,-0.022223023119574345
ACH-000251,-0.19807508426572729
ACH-000252,-0.2765887573121327
ACH-000253,-0.08456658643762242
ACH-000255,-0.20049829232225555
ACH-000256,-0.2160806361923401
ACH-000257,-0.09108105704687504
ACH-000258,-0.02144373528388895
ACH-000259,-0.015067458006598825
ACH-000260,-0.2565358879227553
ACH-000261,-0.10439158779057338
ACH-000262,-0.07197829546808251
ACH-000263,-0.027230035298189525
ACH-000264,-0.139086548320619
ACH-000265,-0.28414405680340543
ACH-000266,-0.10558141876757574
ACH-000272,0.011256782573438569
