,MCM6 (4175)
ACH-000004,-0.9115120837291352
ACH-000005,-0.7302248469091187
ACH-000007,-0.9268862232894074
ACH-000009,-0.7516482586228483
ACH-000011,-0.5649134984890651
ACH-000012,-0.7522063449207614
ACH-000013,-0.8772914937326104
ACH-000014,-0.6595379534063041
ACH-000015,-0.8420495228795505
ACH-000017,-0.8087391819568581
ACH-000018,-0.9277118946990028
ACH-000019,-0.827905146196803
ACH-000021,-0.6823702925413468
ACH-000022,-0.7571852635787216
ACH-000025,-0.968738604771402
ACH-000028,-0.7258663782624989
ACH-000030,-0.7759307832051409
ACH-000035,-1.0498240056676682
ACH-000036,-0.7315679426057391
ACH-000037,-0.6075383179641312
ACH-000039,-0.8041673563108072
ACH-000040,-0.7832244894433777
ACH-000041,-0.8288395838937468
ACH-000042,-0.6986161796959861
ACH-000045,-0.6393446338015057
ACH-000047,-0.8742950891763546
ACH-000052,-0.7859141773750306
ACH-000053,-0.7807372284608256
ACH-000054,-0.7107328042471698
ACH-000055,-0.7771710812491647
ACH-000060,-0.7226382951413941
ACH-000067,-0.8717915253718456
ACH-000070,-0.6488355639758923
ACH-000075,-0.6653372517635819
ACH-000078,-0.7027222207739546
ACH-000082,-0.7209206751367522
ACH-000085,-0.8192061641039181
ACH-000086,-0.6913071425268814
ACH-000087,-1.032499281083734
ACH-000092,-0.8481644555441791
ACH-000095,-0.7806345452877465
ACH-000097,-0.7335295142941236
ACH-000098,-0.9031410305890456
ACH-000099,-0.783374699658708
ACH-000108,-0.7451757991500995
ACH-000113,-0.5754773300459649
ACH-000116,-0.7388644679899735
ACH-000118,-0.8350619577746883
ACH-000120,-0.9283483637898102
ACH-000123,-0.6064611326935393
ACH-000127,-0.8106236932768791
ACH-000128,-0.7739814071241329
ACH-000132,-0.7638233052067112
ACH-000133,-0.8382671500220013
ACH-000137,-0.9919205012823288
ACH-000138,-0.8610218228630916
ACH-000142,-0.6310215299873156
ACH-000143,-0.6586744176956026
ACH-000146,-0.8479035292696717
ACH-000148,-0.9628307326951968
ACH-000150,-0.6554398066631162
ACH-000152,-0.7471668710623128
ACH-000153,-0.6807791269455398
ACH-000159,-0.7482222373422565
