,MAPKAPK5 (8550)
ACH-000004,-0.0800657788280852
ACH-000005,0.14377673637061492
ACH-000007,-0.0853676435479923
ACH-000009,-0.06528370787866425
ACH-000011,0.15742277791777678
ACH-000012,-0.018098764665496828
ACH-000013,0.027252190644768942
ACH-000014,-0.29305156903235074
ACH-000015,-0.3165311174990568
ACH-000017,-0.3333432825392192
ACH-000018,-0.08228312140043875
ACH-000019,-0.08952996547487606
ACH-000021,-0.22937902898840395
ACH-000022,-0.12811036999108996
ACH-000025,-0.05381723594427287
ACH-000028,-0.005625213100824224
ACH-000030,-0.17735241229065932
ACH-000035,-0.10765062956619416
ACH-000036,-0.16969614120964316
ACH-000037,-0.19377125741746426
ACH-000039,-0.16445098450691892
ACH-000040,-0.12204244305241313
ACH-000041,-0.21633372984448535
ACH-000042,-0.08667954947070727
ACH-000045,-0.12185389088167115
ACH-000047,-0.04997779172296237
ACH-000052,-0.018776733786923044
ACH-000053,-0.22849627121405736
ACH-000054,0.06341152965311131
ACH-000055,0.002196572485133949
ACH-000060,-0.02676951716663294
ACH-000067,-0.2515223522832881
ACH-000070,-0.14305032847249766
ACH-000075,0.15801285927652522
ACH-000078,-0.0912760298227301
ACH-000082,-0.07742015484295275
ACH-000085,-0.24717041811483764
ACH-000086,-0.033831723764063994
ACH-000087,-0.16328820931986882
ACH-000092,-0.06584756421192803
ACH-000095,-0.09251887997636322
ACH-000097,-0.10193778911372896
ACH-000098,-0.14231742579731654
ACH-000099,-0.0005919781939826213
ACH-000108,-0.2387829402292236
ACH-000113,-0.4171790177279001
ACH-000116,-0.09229943923208396
ACH-000118,-0.21061494987165105
ACH-000120,-0.059388442281973486
ACH-000123,-0.13038562869864784
ACH-000127,-0.08868405584470145
ACH-000128,-0.11968928756761894
ACH-000132,-9.954465308564834e-05
ACH-000133,-0.15889281808766395
ACH-000137,-0.08060301756205386
ACH-000138,-0.11360481684908286
ACH-000142,-0.17721428037432113
ACH-000143,-0.13720378942729802
ACH-000146,-0.29654369506832623
ACH-000148,-0.04999677112612785
ACH-000150,-0.14269766971152026
ACH-000152,-0.21299146019890408
ACH-000153,-0.09440569075468892
ACH-000159,0.0040729232343564075
ACH-000160,-0.06109846779326985
ACH-000163,-0.18335633947777125
ACH-000167,-0.04915193811611727
ACH-000168,-0.045687544609812836
ACH-000169,-0.18872126928274005
ACH-000178,0.08923273662482516
