,TRMT1 (55621)
ACH-000410,-0.2451253353307901
ACH-000411,-0.2547960248647189
ACH-000414,-0.31960898103899416
ACH-000415,-0.29847874169648664
ACH-000416,-0.2885970570055579
ACH-000420,-0.15472054167615487
ACH-000421,-0.34867984112529515
ACH-000424,-0.2159480704273717
ACH-000425,-0.2340416292057769
ACH-000426,-0.30457674767107895
ACH-000427,-0.15418948738936702
ACH-000433,-0.2946986493623205
ACH-000435,-0.31987730405919124
ACH-000436,-0.027516633616984358
ACH-000444,-0.2107895775763074
ACH-000445,-0.2631604832057871
ACH-000448,-0.3676228282398081
ACH-000450,-0.28470470129850345
ACH-000452,-0.25271068865039703
ACH-000454,-0.4732176453507434
ACH-000458,-0.33052027576422416
ACH-000459,-0.09741629474872704
ACH-000460,-0.3579082189899485
ACH-000461,-0.17688301108797766
ACH-000463,-0.11030534403292963
ACH-000464,-0.24103883722213304
ACH-000466,-0.2746709701392655
ACH-000467,-0.12940405936958302
ACH-000468,-0.19957512111385814
ACH-000469,-0.24885790803573105
ACH-000470,-0.2322236544062844
ACH-000471,-0.2404168733273785
ACH-000472,-0.26433585055266384
ACH-000473,-0.3456065629461646
ACH-000475,-0.2184874557660985
ACH-000476,-0.25079450547375665
ACH-000477,-0.2614918988017782
ACH-000479,-0.2787749025310806
ACH-000480,-0.2476090292360095
ACH-000481,-0.054085172946729904
ACH-000483,-0.3468323779957088
ACH-000484,-0.1312311731424273
ACH-000485,-0.16941066087891912
ACH-000486,-0.07078090973975885
ACH-000487,-0.34073729956250953
ACH-000488,-0.31220454867024805
ACH-000490,-0.5415862735652915
ACH-000491,-0.3071312814464112
ACH-000495,-0.3381382528830241
ACH-000496,-0.12547879457453914
ACH-000499,-0.2281549957759947
ACH-000500,-0.04182658495478652
ACH-000502,-0.191825058421469
ACH-000503,-0.4175312232992042
ACH-000505,-0.2820472221289219
ACH-000507,-0.1640675314348129
ACH-000510,-0.2154985037499811
ACH-000511,-0.061329162004025876
ACH-000512,-0.5438356587400606
ACH-000516,-0.3243769789528446
ACH-000517,-0.2817789471676374
ACH-000518,-0.18144620163229228
ACH-000520,-0.2360069298115405
ACH-000521,-0.2306795885242919
ACH-000522,-0.3884030705347416
ACH-000524,-0.23333141495411666
ACH-000527,-0.30893233305539536
ACH-000528,-0.26094793802964783
ACH-000537,-0.2711259427837793
ACH-000541,-0.2411749268195011
ACH-000542,-0.1384983633785137
ACH-000544,-0.22152394775197745
ACH-000545,-0.4534120548650935
ACH-000547,-0.34610334654325703
ACH-000548,-0.1552062352307786
ACH-000549,-0.25258500595007555
ACH-000550,-0.1202938666594712
ACH-000552,-0.09383908223640752
ACH-000556,-0.2504561542240049
ACH-000557,-0.17363130886933234
ACH-000569,0.04979934285585449
ACH-000570,-0.2226857916804873
ACH-000571,-0.2885500362022377
ACH-000573,-0.2552506725427946
ACH-000576,-0.16688598039275035
ACH-000579,-0.11924035826068966
ACH-000580,-0.31575129189982426
ACH-000584,-0.32474283957170874
ACH-000585,-0.23744325271905356
ACH-000588,-0.21234094659943625
ACH-000589,-0.3422107403809409
ACH-000591,-0.30463958160242544
ACH-000593,-0.3158354166428445
ACH-000600,-0.2324050323657985
ACH-000601,-0.1716846383669086
ACH-000605,-0.09671135393935136
ACH-000606,-0.2405768063711853
ACH-000608,-0.2299442524919467
ACH-000614,-0.15718440343894508
ACH-000616,-0.12137681749350253
ACH-000618,-0.14319037247624347
ACH-000619,-0.2163406655633988
ACH-000620,-0.2302548090063506
ACH-000621,-0.28654461992039315
ACH-000622,-0.11749065440898022
ACH-000623,-0.2266305130670148
ACH-000624,-0.25505562825310685
ACH-000627,-0.25992507205756504
ACH-000630,-0.3766903486770155
ACH-000631,-0.16268623558880216
ACH-000632,-0.360131180666285
ACH-000633,-0.12690694145098788
ACH-000637,-0.18246393980907574
ACH-000638,-0.2155650196018239
ACH-000646,-0.3029581328842553
ACH-000647,-0.16086718200301628
ACH-000648,-0.21291410982238188
ACH-000649,-0.17736305519294404
ACH-000651,-0.0928561589135976
ACH-000652,-0.44564873457171866
ACH-000653,-0.2891227056813501
ACH-000657,-0.1804257622117677
ACH-000658,-0.18764572240003324
ACH-000661,-0.2338430069841119
ACH-000662,-0.3453530470301013
ACH-000663,-0.0919648046861498
ACH-000665,-0.3502131170105247
ACH-000671,-0.22431252225219533
ACH-000672,-0.4553495286571161
ACH-000673,-0.223037164079834
ACH-000676,-0.14055439112668086
ACH-000677,-0.2712601100780165
ACH-000681,-0.2652208609881478
ACH-000683,-0.3216571935935301
ACH-000684,-0.33661886522100565
ACH-000688,-0.1968882204952676
ACH-000693,-0.2595671915094687
ACH-000694,-0.16374313950635785
ACH-000695,-0.06475446635637046
ACH-000696,-0.21852814617682575
ACH-000697,-0.2297794174878744
ACH-000699,-0.19338247912705875
ACH-000701,-0.32678876532886225
ACH-000706,-0.18397833380889855
ACH-000711,-0.18601894210418385
ACH-000713,-0.2604046208380805
ACH-000714,-0.28166113086573924
ACH-000718,-0.0927075942613445
ACH-000720,-0.2826038866516039
ACH-000721,-0.1547801974820047
ACH-000724,-0.3781027106788167
ACH-000725,-0.4251727856054803
ACH-000732,-0.2828530101581179
ACH-000734,-0.19880530678099748
ACH-000735,-0.21542416740619674
ACH-000736,-0.12989018995880014
ACH-000738,-0.11705502254527568
ACH-000746,-0.2115585288364036
ACH-000747,-0.3627835435408642
ACH-000748,-0.269026787596068
ACH-000753,-0.3693735695469963
ACH-000756,-0.4961457817768356
ACH-000757,-0.32255347356392433
ACH-000758,-0.3014739290907063
ACH-000760,-0.1338420481907511
ACH-000762,-0.1910071446467351
ACH-000763,-0.2973646129430213
ACH-000764,-0.22208671499412688
ACH-000765,-0.2795260438461084
ACH-000766,-0.21459766492781512
ACH-000767,-0.266957151024094
ACH-000768,-0.3366588069946806
ACH-000769,-0.3366690751211667
ACH-000770,-0.3906629588168799
ACH-000771,-0.16340931868500158
ACH-000773,-0.04795901796897427
ACH-000776,-0.2677006718078322
ACH-000777,-0.17481689246091775
ACH-000778,-0.2994687616325665
ACH-000781,-0.1809340834050666
ACH-000782,-0.2305972940440772
ACH-000783,-0.19489864164430207
ACH-000784,-0.16535594182206528
ACH-000785,-0.2908193029476165
ACH-000787,-0.08977109375428839
ACH-000788,-0.2513500548246603
ACH-000791,-0.2709805941396773
ACH-000792,-0.2432913264659129
ACH-000794,-0.1950915465299915
ACH-000796,0.025088078166464044
ACH-000798,-0.23179137644102016
ACH-000799,-0.28054251498010985
ACH-000800,-0.08954088851094565
ACH-000802,-0.20896941858874096
ACH-000804,-0.16802852638739768
ACH-000805,-0.23585233735563615
ACH-000809,-0.27129792488770765
ACH-000810,-0.12606842458322912
ACH-000811,-0.23448681098839666
ACH-000817,-0.05490775309962899
ACH-000819,-0.15422217762640264
ACH-000820,-0.04535325688638632
ACH-000821,-0.28991812622584695
ACH-000822,-0.18676080460645889
ACH-000823,-0.2521231453616793
ACH-000824,-0.10564751876917618
ACH-000827,-0.12825971962061405
ACH-000829,-0.0232946523886251
ACH-000831,-0.3103342336269747
ACH-000832,-0.20402711387585332
ACH-000833,-0.15768402737764034
ACH-000834,-0.258048116803932
ACH-000835,-0.1966766886687517
ACH-000836,-0.3118637965704314
ACH-000837,-0.18270522176676388
ACH-000838,-0.21557193120510465
ACH-000839,-0.1108803107070792
ACH-000840,-0.15164955663804078
ACH-000841,-0.18679526604086533
ACH-000843,-0.20962763942963564
ACH-000846,-0.28082159335303397
ACH-000847,-0.26907582254503176
ACH-000848,-0.32931168167652786
ACH-000849,-0.3476855515591443
ACH-000851,0.01280363934378908
ACH-000855,-0.07630102416747314
ACH-000856,-0.26452382106979216
ACH-000858,-0.2271866740347826
ACH-000859,-0.1611162939077951
ACH-000861,-0.2525760556281836
ACH-000862,-0.15276653766486314
ACH-000865,-0.22423689779985445
ACH-000866,-0.3997424405833201
ACH-000867,-0.14737633991916702
ACH-000869,-0.2677201969648884
ACH-000872,-0.3376981118466497
ACH-000873,-0.18933746456299827
ACH-000876,-0.20576321563945776
ACH-000878,-0.25668985629770985
ACH-000880,0.034582006733652186
ACH-000881,-0.2487589005844982
ACH-000882,-0.4103583565607279
ACH-000884,-0.11137789582435306
ACH-000885,-0.3276348013447355
ACH-000887,-0.1845894270902281
ACH-000889,-0.237177041157326
ACH-000896,-0.18036723788416054
ACH-000898,-0.3749410580289799
ACH-000900,-0.272035617314489
ACH-000901,-0.2242315188105744
ACH-000905,-0.16661595051541728
ACH-000906,-0.2867570423137016
ACH-000907,0.0004219173548298625
ACH-000910,-0.11475212664358625
ACH-000911,-0.2582572908530134
ACH-000912,-0.28628359438309786
ACH-000913,-0.2661607810293254
ACH-000915,-0.19769053017922064
ACH-000916,-0.5896507533060491
ACH-000917,-0.09351642855693948
ACH-000920,-0.1392313623998056
ACH-000921,-0.16582284970087002
ACH-000924,-0.10214438690764144
ACH-000926,-0.11706343133958252
ACH-000928,-0.18616218815015048
ACH-000929,-0.07740255042253696
ACH-000932,-0.43587581054936103
ACH-000935,-0.31170874942724897
ACH-000936,-0.3187389881469101
ACH-000937,-0.11682638902612902
ACH-000938,-0.16707574536770006
ACH-000939,-0.2962122181781834
ACH-000941,-0.27494599576719103
ACH-000943,-0.3805213415876558
ACH-000946,-0.2384631875005287
ACH-000947,-0.15285916621800785
ACH-000948,-0.3774081403025577
ACH-000950,-0.7761833021494441
ACH-000953,-0.19524953495101965
ACH-000954,-0.6658983902135254
ACH-000957,0.07984970793608341
ACH-000958,-0.11281853869425006
ACH-000960,-0.1773552034214544
ACH-000963,-0.20566913016660407
ACH-000968,-0.1627782144692678
ACH-000969,-0.3728113837983274
ACH-000972,-0.1393810547121891
ACH-000973,-0.15052408731181302
ACH-000974,-0.22083516470905376
ACH-000978,-0.4661311291483977
ACH-000984,-0.15989957830764442
ACH-000986,-0.0760606079565849
ACH-000988,-0.14494011035404014
ACH-000993,-0.2988138833453205
ACH-000994,-0.22498429167609607
ACH-000996,-0.00969274137017312
ACH-001001,-0.13580422119970126
ACH-001020,-0.4561988083256219
ACH-001028,-0.2523858828596281
ACH-001031,-0.1920496872427842
ACH-001038,-0.1908842426007993
ACH-001048,-0.17395382045015656
ACH-001050,-0.17867319370574306
ACH-001053,-0.3766114913578592
ACH-001054,-0.3699019716081927
ACH-001061,-0.6179575520790566
ACH-001067,-0.21365135690500792
ACH-001075,-0.2332482165319223
ACH-001096,-0.3206997909831199
ACH-001111,-0.3621916626113626
ACH-001119,-0.16228300335899995
ACH-001128,-0.3632811739863842
ACH-001134,-0.2537775367553
ACH-001151,-0.2368356947758533
ACH-001163,-0.0865174132775122
ACH-001164,-0.021326021333320472
ACH-001183,-0.3943577237996894
ACH-001192,-0.06471990033827797
ACH-001193,-0.2182802870774745
ACH-001196,-0.2699144712020401
ACH-001197,-0.16419293908895366
ACH-001205,-0.03838715549528672
ACH-001211,-0.2207959312270424
ACH-001212,-0.3417573054587419
ACH-001228,-0.21791342407621825
ACH-001232,-0.13788819072168093
ACH-001239,-0.12469481158368415
ACH-001270,-0.3024353190745944
ACH-001274,-0.18572176039809446
ACH-001275,-0.42649945459741495
ACH-001277,0.07649134758219281
ACH-001278,-0.3259298940075034
ACH-001280,-0.1427758536643847
ACH-001283,-0.16226550907223836
ACH-001289,-0.3088112793658306
ACH-001300,-0.04270829452003363
ACH-001301,-0.1874093641460385
ACH-001302,-0.26949036151076244
ACH-001306,-0.3072081195701272
ACH-001318,-0.2502419735830037
ACH-001322,-0.3753562426249386
ACH-001328,-0.4028363909623712
ACH-001332,-0.2981799954806534
ACH-001336,-0.07865834386896106
ACH-001346,-0.3947242623836899
