,COPS7B (64708)
ACH-000004,0.06225019431939392
ACH-000005,0.3441862729656077
ACH-000007,0.18943995438031602
ACH-000009,0.18080600187272214
ACH-000011,0.17576155107791824
ACH-000012,0.13912721695385252
ACH-000013,0.12723313958677365
ACH-000014,0.14096978316870454
ACH-000015,0.10953512583652944
ACH-000017,0.20390363373169848
ACH-000018,0.04495999869927183
ACH-000019,0.20605039216001755
ACH-000021,0.0905452294239536
ACH-000022,0.16450673720970815
ACH-000025,0.1801130225571267
ACH-000028,0.17259560621012585
ACH-000030,0.1506041924392286
ACH-000035,0.2782530039146269
ACH-000036,0.14698797189770946
ACH-000037,0.12357141863693726
ACH-000039,-0.17399359014345228
ACH-000040,0.1564411184578047
ACH-000041,0.21982553833566
ACH-000042,0.10420688879456504
ACH-000045,0.07109411997133505
ACH-000047,0.2229802371908436
ACH-000052,0.1500463146940866
ACH-000053,0.04516331722547524
ACH-000054,0.2303321074997288
ACH-000055,0.11548073582373075
ACH-000060,0.2477002441987869
ACH-000067,-0.07230891579055597
ACH-000070,-0.14615713167121733
ACH-000075,0.09644636215341557
ACH-000078,-0.16396870855266388
ACH-000082,0.1932880835694799
ACH-000085,0.11896171899610405
ACH-000086,0.1738031655154463
ACH-000087,0.20878211238420535
ACH-000092,0.1677929259760442
ACH-000095,0.11577813327272515
ACH-000097,0.17921477569512714
ACH-000098,0.263962423833636
ACH-000099,0.05384555088855535
ACH-000108,0.06234454825706589
ACH-000113,0.13208423794370489
ACH-000116,0.1061622459173654
ACH-000118,0.2604747182448475
ACH-000120,0.12838116455713525
ACH-000123,0.24798847083390416
ACH-000127,0.22385121151964998
ACH-000128,0.1405180115824021
ACH-000132,0.1311487401512306
ACH-000133,0.04097398019430662
ACH-000137,0.1825329534147726
ACH-000138,0.1966705057655959
ACH-000142,0.14428890978958947
ACH-000143,0.20990465203781916
ACH-000146,0.11670297020208382
ACH-000148,0.20729127179716855
ACH-000150,0.19984789705301068
ACH-000152,0.21273522216693866
ACH-000153,-0.016306438270081217
ACH-000159,0.10734878372602603
ACH-000160,0.11187112052786273
ACH-000163,0.17210094543764504
ACH-000167,0.2346199466464763
ACH-000168,0.1618457977023641
ACH-000169,0.2725491312435104
ACH-000178,0.21413496432870852
ACH-000183,-0.3724904469623019
ACH-000188,0.003911290597504412
