,NT5C (30833)
ACH-000004,-0.2050275669273163
ACH-000005,-0.2813374858655104
ACH-000007,-0.044072096553625
ACH-000009,-0.35759150960293673
ACH-000011,-0.4069757673419242
ACH-000012,-0.14626631879569785
ACH-000013,-0.1308398071002643
ACH-000014,-0.12911037237664838
ACH-000015,-0.06333814673259691
ACH-000017,-0.35683915179454084
ACH-000018,-0.3107567162461476
ACH-000019,-0.3084591697285075
ACH-000021,-0.0012270762649886633
ACH-000022,-0.17429112616501655
ACH-000025,-0.07480959564632826
ACH-000028,-0.4011812911754688
ACH-000030,-0.19526549547161104
ACH-000035,-0.11740341875510532
ACH-000036,-0.06800992854968617
ACH-000037,-0.05533354741494087
ACH-000039,-0.4790732400710198
ACH-000040,-0.21897328081658346
ACH-000041,-0.19896186117489345
ACH-000042,-0.3593929153012229
ACH-000045,-0.17652241140682098
ACH-000047,-0.35971406893875313
ACH-000052,-0.1673242192736403
ACH-000053,-0.1929698377534171
ACH-000054,-0.1619518047159593
ACH-000055,-0.05611256084699715
ACH-000060,-0.2572339099223198
ACH-000067,-0.3996031424204896
ACH-000070,-0.14111697994299785
ACH-000075,-0.2870150988947843
ACH-000078,-0.3095818291972476
ACH-000082,-0.16511909011582196
ACH-000085,-0.2702457188914654
ACH-000086,-0.270554141317857
ACH-000087,-0.1550158755017514
ACH-000092,-0.0571703601919192
ACH-000095,-0.3930538672159941
ACH-000097,-0.2168010717123837
ACH-000098,-0.19817558233590654
ACH-000099,-0.4169659893532896
ACH-000108,-0.3627169918282355
ACH-000113,-0.13471858685967775
ACH-000116,-0.11235132394719864
ACH-000118,-0.3193871258598654
ACH-000120,-0.4007003033228837
ACH-000123,-0.1798712423703478
ACH-000127,-0.15704966129049952
ACH-000128,-0.1991288692292593
ACH-000132,-0.2259388361841833
ACH-000133,-0.1979235137325963
ACH-000137,-0.17067888667013062
ACH-000138,-0.16060418230741838
ACH-000142,-0.3624333983220605
ACH-000143,-0.3054191427270989
ACH-000146,-0.2456761191216701
ACH-000148,-0.3061107713775342
ACH-000150,-0.516708751362242
ACH-000152,-0.39348342808462416
ACH-000153,-0.196852713513951
ACH-000159,-0.2992713116327557
ACH-000160,-0.22267980384348268
ACH-000163,-0.29235888919960057
ACH-000167,-0.40532783769899344
ACH-000168,-0.2606705479173219
ACH-000169,-0.2219299653276951
ACH-000178,-0.14996288144590966
ACH-000183,-0.11999569403140893
ACH-000188,-0.09747888787243283
ACH-000189,-0.21635117314327132
ACH-000190,-0.4178246209828239
ACH-000198,-0.14471922358999867
ACH-000203,0.17601023056390622
ACH-000204,-0.04936666422596074
ACH-000206,-0.058070135158237675
ACH-000207,-0.3195447559034112
ACH-000208,-0.1913499973000963
ACH-000210,-0.1307907047795888
ACH-000211,-0.3251878889428484
ACH-000215,-0.2479634614240536
ACH-000221,-0.13873411056869786
ACH-000222,-0.03622673832802888
ACH-000223,-0.15521902188985376
ACH-000226,-0.3060543485225945
ACH-000227,-0.3476710492540723
ACH-000228,-0.3114143771211976
ACH-000231,-0.2707154414205568
ACH-000232,-0.1139642957694363
ACH-000233,-0.3496519250179218
ACH-000234,-0.10822658979137888
ACH-000235,-0.21789143041890707
ACH-000237,-0.2730956242706556
ACH-000238,-0.14702025510253156
ACH-000242,-0.4991931203769132
ACH-000243,-0.13169178680087015
ACH-000244,-0.019542211639703492
ACH-000246,-0.16869562877589506
ACH-000248,-0.2641153779999403
ACH-000250,-0.2850822239158059
ACH-000251,-0.5182984706510516
ACH-000252,-0.35558213928290466
ACH-000253,-0.18647455037433916
ACH-000255,-0.31590806292752543
ACH-000256,-0.3722165012986348
ACH-000257,-0.07152036887451642
ACH-000258,0.055604114417500766
ACH-000259,-0.11084239359489598
ACH-000260,-0.2818126640306691
ACH-000261,-0.4147918094023717
ACH-000262,-0.08674279317483997
ACH-000263,0.012483709367795416
ACH-000264,-0.2675219530136461
ACH-000265,-0.136939696673351
ACH-000266,-0.2834320401126851
ACH-000272,-0.192940340117338
ACH-000274,-0.2629726722722609
ACH-000277,-0.2783410668120048
ACH-000278,0.015280858043071253
ACH-000279,-0.15477551756920266
ACH-000280,-0.2970399192566067
ACH-000281,-0.2577613150828202
ACH-000288,-0.2579794984127713
ACH-000291,-0.09941121059155801
ACH-000293,-0.414498808056412
ACH-000294,-0.21511805056986896
ACH-000295,-0.6122336339938848
ACH-000296,-0.3149874484207601
ACH-000302,-0.12315681150350145
ACH-000304,-0.22543255779872165
ACH-000307,-0.3686643365878786
ACH-000308,-0.0983525602787622
ACH-000310,-0.3984497978702359
ACH-000311,-0.05776833113295325
ACH-000312,-0.333090838902401
ACH-000315,-0.14232761914537134
ACH-000316,-0.4409674456947319
ACH-000317,0.07902237564851443
ACH-000318,-0.17460846337707786
ACH-000319,-0.16067414405823144
ACH-000320,-0.11679782407400045
ACH-000322,-0.13727943707684662
ACH-000323,-0.13002576780394715
ACH-000324,-0.3508954214925588
ACH-000329,-0.2622779932946458
ACH-000330,-0.1535701533951354
ACH-000331,-0.16220099494631302
ACH-000332,-0.25627109193444697
ACH-000334,-0.1946599344118764
ACH-000335,-0.2374898130302193
ACH-000336,-0.09939460974413596
ACH-000337,-0.5317060111498121
ACH-000338,-0.3914109225268047
ACH-000339,-0.17249809644711794
ACH-000341,-0.16834434802191284
ACH-000348,-0.2931801212445113
ACH-000350,-0.2135481455319856
ACH-000352,-0.2940536422162131
ACH-000356,-0.4708265360396157
ACH-000361,-0.17654883503248475
ACH-000362,-0.11383705031049225
ACH-000363,-0.15384206922125465
ACH-000364,-0.0840460243222868
ACH-000365,-0.05722872065290292
ACH-000366,-0.2284144254430089
ACH-000368,0.011685593698373943
ACH-000374,-0.19004574139948707
ACH-000375,-0.03196051641131409
ACH-000376,-0.2418515665935981
ACH-000381,-0.13681529133955586
ACH-000383,-0.304616660257579
ACH-000387,-0.09103082618282156
ACH-000389,-0.3531835721058976
ACH-000390,-0.1319618673972658
ACH-000393,-0.1029181215621944
ACH-000395,-0.15542915833490933
ACH-000396,-0.03282911502202116
ACH-000397,-0.19235188968064204
ACH-000401,0.1872139111324593
ACH-000402,-0.34453106989171906
ACH-000403,-0.212248865911005
ACH-000404,-0.10158160063928827
ACH-000406,-0.20981535855199235
ACH-000407,-0.4718094023585017
ACH-000408,0.07082684586554745
ACH-000410,-0.22087682776038992
ACH-000411,-0.2539161530129021
ACH-000414,-0.1816803686032297
ACH-000415,-0.1199423554218152
ACH-000416,-0.229077950187307
ACH-000420,-0.038161306663898296
ACH-000421,-0.2197143389061641
ACH-000424,-0.23387297892723505
ACH-000425,-0.2266922563540932
ACH-000426,-0.1874175396513683
ACH-000427,-0.306899644150252
ACH-000433,-0.3767039334979908
ACH-000435,0.047687778136847575
ACH-000436,-0.1217903872606263
ACH-000444,-0.14868663977374774
ACH-000445,-0.5026907237725702
ACH-000448,-0.1581563450672314
ACH-000450,0.004553508497519317
ACH-000452,-0.12665792455205974
