,AASDHPPT (60496)
ACH-000004,-0.5017352835693256
ACH-000005,-0.11717320009732188
ACH-000007,-0.5431502838979562
ACH-000009,-0.3969367471045415
ACH-000011,-0.4549113308785866
ACH-000012,-0.598015050951439
ACH-000013,-0.6156635578440327
ACH-000014,-0.5940962275033711
ACH-000015,-0.4297233661443041
ACH-000017,-0.32534050588313085
ACH-000018,-0.4804889281592029
ACH-000019,-0.5538463890477584
ACH-000021,-0.2902889015546541
ACH-000022,-0.5032515170136698
ACH-000025,-0.5545028642703331
ACH-000028,-0.6889142295558994
ACH-000030,-0.28733810527204545
ACH-000035,-0.18414764802480102
ACH-000036,-0.7197071098528135
ACH-000037,-0.5151248286161317
ACH-000039,-0.5507954447081186
ACH-000040,-0.5480639188343416
ACH-000041,-0.4184452098310292
ACH-000042,-0.18195167322393388
ACH-000045,-0.08921525439910474
ACH-000047,-0.29513020810870705
ACH-000052,-0.5026262180963234
ACH-000053,-0.23526819357965734
ACH-000054,-0.3416392645534877
ACH-000055,-0.5267661843893323
ACH-000060,-0.2509453794849883
ACH-000067,-0.24162136042230076
ACH-000070,-0.3743198072100879
ACH-000075,-0.4202898806870851
ACH-000078,-0.34497452511866794
ACH-000082,-0.23597043509747934
ACH-000085,-0.3508360898431281
ACH-000086,-0.6671697591453134
ACH-000087,-0.3928355545454008
ACH-000092,-0.29193566223753753
ACH-000095,-0.2616610132588213
ACH-000097,-0.3980459799485079
ACH-000098,-0.5002635717447318
ACH-000099,-0.3816859801879171
ACH-000108,-0.11217583002059672
ACH-000113,-0.21306885952219828
ACH-000116,-0.3545392362412237
ACH-000118,-0.4623921923254797
ACH-000120,-0.4925514943392143
ACH-000123,-0.4256413482282427
ACH-000127,-0.06779494766874825
ACH-000128,-0.6655390795649883
ACH-000132,-0.3705884995180456
ACH-000133,-0.5381543211380909
ACH-000137,-0.5975126029252588
ACH-000138,-0.7211620872615914
ACH-000142,-0.40642389781279536
ACH-000143,-0.5616608991737969
ACH-000146,0.014899154761819813
ACH-000148,-0.5727283449570656
ACH-000150,-0.18541036614735928
ACH-000152,-0.4254132762118233
ACH-000153,-0.14023673184833493
ACH-000159,-0.2367232001453356
ACH-000160,-0.4844347768349121
ACH-000163,-0.540999046446008
ACH-000167,-0.6847647180260187
ACH-000168,-0.17864932655777507
ACH-000169,-0.42529754397417335
ACH-000178,-0.4126737036673964
ACH-000183,-0.3793663037576552
ACH-000188,-0.5764765162518567
ACH-000189,-0.6489859223032511
ACH-000190,-0.5583978822068527
ACH-000198,-0.26098368080173584
ACH-000203,-0.32322895866628465
ACH-000204,-0.23695498102443796
ACH-000206,-0.3313725031865146
ACH-000207,-0.4681035516837526
ACH-000208,-0.4872852412289546
ACH-000210,-0.3990355671253377
ACH-000211,-0.7247554600366125
ACH-000215,-0.7968169399865641
ACH-000221,-0.5330220029430159
ACH-000222,-0.3729990753906085
ACH-000223,-0.2971371700339555
ACH-000226,-0.4718572663639567
ACH-000227,-0.4216303312067342
ACH-000228,-0.30828570393448884
ACH-000231,-0.6846338613122246
ACH-000232,-0.5433388445131364
ACH-000233,-0.4235673356868597
ACH-000234,-0.4460302333332296
ACH-000235,-0.4618233421830849
ACH-000237,-0.4455592377029614
ACH-000238,-0.5317676912243842
ACH-000242,-0.4374791537936155
ACH-000243,-0.3806513238894111
ACH-000244,-0.6568092074601266
ACH-000246,-0.2861885882443179
ACH-000248,-0.6003764614225742
ACH-000250,-0.3261121668561824
ACH-000251,-0.4228654538868423
ACH-000252,-0.2832320753968704
ACH-000253,-0.3536560505091152
ACH-000255,-0.4825096201697226
ACH-000256,-0.16089369971183892
ACH-000257,-0.5155787930498136
ACH-000258,-0.31734763425258017
ACH-000259,-0.31148295556220656
ACH-000260,-0.6001372750920998
ACH-000261,-0.30353821424514965
ACH-000262,-0.4577248035508594
ACH-000263,-0.04825513369530016
ACH-000264,-0.3175587540428153
ACH-000265,-0.6403046436709997
ACH-000266,-0.22213537198590855
ACH-000272,-0.4172024226920344
ACH-000274,-0.20673955369408292
ACH-000277,-0.5731409921103205
ACH-000278,-0.3108899413397556
ACH-000279,-0.5847140538598548
ACH-000280,-0.2942309002975193
ACH-000281,-0.3712080425003244
ACH-000288,-0.6387798725771363
ACH-000291,-0.6326144492906209
ACH-000293,-0.42615987912643616
ACH-000294,0.08694120259348333
ACH-000295,-0.2147401493799868
ACH-000296,-0.6219452449623418
ACH-000302,-0.22521586283023226
ACH-000304,-0.6316764880657659
ACH-000307,-0.5297710604998722
ACH-000308,-0.3166609101030669
ACH-000310,-0.4039786044926204
ACH-000311,-0.4715620413083364
ACH-000312,-0.3096426717067054
ACH-000315,-0.2253338763520565
ACH-000316,-1.0008233284610966
ACH-000317,-0.495022706439236
ACH-000318,-0.44052840602191945
ACH-000319,-0.6805327912654233
ACH-000320,-0.6536857141540796
ACH-000322,-0.48611636924488394
ACH-000323,-0.5621429739127521
ACH-000324,-0.28462872282375234
ACH-000329,-0.4579622547965594
ACH-000330,-0.5194233532505433
ACH-000331,-0.5939376039506873
ACH-000332,-0.4029841182534601
ACH-000334,-0.3049216864704131
ACH-000335,-0.7224029265783518
ACH-000336,-0.1225965011109744
ACH-000337,-0.4368907149481515
ACH-000338,-0.9593990246875012
ACH-000339,-0.4448805696896381
ACH-000341,-0.5010885341540247
ACH-000348,-0.3539589627324356
ACH-000350,-0.1844453818618757
ACH-000352,-0.20111129653514825
ACH-000356,-0.5212547142512076
ACH-000361,-0.17513090858984334
ACH-000362,0.062083015219599275
ACH-000363,-0.14382738987283014
ACH-000364,-0.4439759320454568
ACH-000365,-0.4471092721724553
ACH-000366,-0.6863671017218204
ACH-000368,-0.6466562679379879
ACH-000374,-0.7132239900595673
ACH-000375,-0.6346531930676947
ACH-000376,-0.5100971352603217
ACH-000381,-0.33096822193334724
ACH-000383,-0.32756368746752546
ACH-000387,-0.2715402066689418
ACH-000389,-0.4103217971659353
ACH-000390,-0.4430186359930892
ACH-000393,-0.17945633464619504
ACH-000395,-0.5196824806875485
ACH-000396,-0.4509615654978599
ACH-000397,-0.18447997553928214
ACH-000401,-0.4800248963018939
ACH-000402,-0.32206990502481553
ACH-000403,-0.2283504629053512
ACH-000404,-0.5842127973649697
ACH-000406,-0.3935919146835979
ACH-000407,-0.37020729410460695
ACH-000408,-0.6613752587332671
ACH-000410,-0.4715682915746854
ACH-000411,-0.3336196307050817
ACH-000414,-0.4341583162716721
ACH-000415,-0.5018970554520125
ACH-000416,-0.3700859041587579
ACH-000420,-0.2856710974552455
ACH-000421,-0.029260198256234736
ACH-000424,-0.5260872893409902
ACH-000425,-0.32648840023669623
ACH-000426,-0.06906694458353023
ACH-000427,-0.4488863889586738
ACH-000433,-0.6352437030191562
ACH-000435,-0.1496512894532513
ACH-000436,-0.14112448074302325
ACH-000444,-0.58366504778449
ACH-000445,-0.638089143250019
ACH-000448,-0.3557477237544519
ACH-000450,-0.32914475208765154
ACH-000452,-0.3702929434685856
ACH-000454,-0.5895923879421044
ACH-000458,-0.3302198370411887
ACH-000459,-0.6039087817012482
ACH-000460,-0.445019975439778
ACH-000461,-0.7285960758311582
ACH-000463,-0.5929436899518356
ACH-000464,-0.6180374657908945
ACH-000466,-0.19216085961886084
ACH-000467,-0.4274117914349306
ACH-000468,-0.3717630812431171
ACH-000469,-0.6584015461141508
ACH-000470,-0.4629173589947666
ACH-000471,-0.4284926284995806
ACH-000472,-0.3213556385777319
ACH-000473,-0.3735595828604265
ACH-000475,-0.5000354130588492
ACH-000476,-0.4096169910697661
ACH-000477,-0.5816926047919885
ACH-000479,-0.5070729925456758
ACH-000480,-0.3863749347272628
ACH-000481,-0.2981914915780435
ACH-000483,-0.4870774303682773
ACH-000484,-0.2351426505469732
ACH-000485,-0.30901651345425984
ACH-000486,-0.6640284823017767
ACH-000487,-0.7350452120310743
ACH-000488,-0.545696979778438
ACH-000490,-0.5079406732546183
ACH-000491,-0.2854858029967527
ACH-000495,-0.4891108691035879
ACH-000496,-0.3647720502464531
ACH-000499,-0.6905440626829038
ACH-000500,-0.10592571230326868
ACH-000502,-0.32631562787433505
ACH-000503,-0.6783692112498247
ACH-000505,-0.3844996715180927
ACH-000507,-0.45004871367370813
ACH-000510,-0.423810318288292
ACH-000511,-0.282994507517021
ACH-000512,-0.5145100298933751
ACH-000516,-0.30109442924813284
ACH-000517,-0.17958791587558695
ACH-000518,-0.4248850270480484
ACH-000520,-0.419652913134519
ACH-000521,-0.455028635541863
ACH-000522,-0.5211964621332983
ACH-000524,-0.21719641687890456
ACH-000527,-0.3901696380507877
ACH-000528,-0.521457694997319
ACH-000537,-0.757002064385899
ACH-000541,-0.03016895802138895
ACH-000542,-0.4383153283531288
ACH-000544,-0.6256558331816258
ACH-000545,-0.5565445380647612
ACH-000547,-0.4496553268865652
ACH-000548,-0.6335855529328247
ACH-000549,-0.5765606972648067
ACH-000550,-0.3977450856789296
ACH-000552,-0.3076675236258138
ACH-000556,-0.3123675571984423
ACH-000557,-0.12959807644109764
ACH-000569,-0.5013867436134208
ACH-000570,-0.8800428163207746
ACH-000571,-0.39886813563250384
ACH-000573,-0.3818343758679199
ACH-000576,-0.2508323090449269
ACH-000579,-0.5171771742539917
ACH-000580,-0.4265078218279276
ACH-000584,-0.3482845209720359
ACH-000585,-0.21293576553366464
ACH-000588,-0.5229891274414691
ACH-000589,-0.2936497371587941
ACH-000591,-0.681613066203996
ACH-000593,-0.3572561195068921
ACH-000600,-0.3094589834662599
ACH-000601,-0.41658697288760543
ACH-000605,-0.32823590233954764
ACH-000606,-0.7025062204301871
ACH-000608,-0.3438756940474989
ACH-000614,-0.5213371379775787
ACH-000616,-0.32566209350104475
ACH-000618,-0.7482486754590437
ACH-000619,-0.4757213293625461
ACH-000620,-0.19455602132731656
ACH-000621,-0.3150375245737117
ACH-000622,-0.4156864575377204
ACH-000623,-0.4932929914919951
ACH-000624,-0.4549366803574481
ACH-000627,-0.4949525575840666
ACH-000630,-0.4931991249497368
ACH-000631,-0.4485588927184059
ACH-000632,-0.7400249937683706
ACH-000633,-0.2698721836216819
ACH-000637,-0.3862133177963377
ACH-000638,-0.5865684040269064
ACH-000646,-0.3372775111979888
ACH-000647,-0.4504012397858407
ACH-000648,-0.5273087498265511
ACH-000649,-0.7501456264096036
ACH-000651,-0.5642947894626643
ACH-000652,-0.4081865651917079
ACH-000653,-0.4479863179592486
ACH-000657,-0.41991410971662496
ACH-000658,-0.212210650623957
ACH-000661,-0.4917971590839246
ACH-000662,-0.3026993624934957
ACH-000663,-0.6611950849698749
ACH-000665,-0.5446461076878507
ACH-000671,-0.4377290934255433
ACH-000672,-0.3244050621644134
ACH-000673,-0.5055890425127959
ACH-000676,-0.6451574412640195
ACH-000677,-0.4640024374682491
ACH-000681,-0.4004402005416409
ACH-000683,-0.33062679463804684
ACH-000684,-0.6218900394976645
ACH-000688,-0.5740579246925485
ACH-000693,-0.6184782720058903
ACH-000694,-0.5820513890341612
ACH-000695,-0.2604875746025416
ACH-000696,-0.4225064492334848
ACH-000697,-0.5333562396825076
ACH-000699,-0.3522556812753538
ACH-000701,-0.5228196288375553
ACH-000706,-0.5756700120774733
ACH-000711,-0.28034396762331026
ACH-000713,-0.7471564235355662
ACH-000714,-0.43393715722596177
ACH-000718,-0.1914832343647521
ACH-000720,-0.5820200436218494
ACH-000721,-0.5083564411229939
ACH-000724,-0.2870049285172889
ACH-000725,-0.7196211841083183
ACH-000732,-0.6145970473139599
ACH-000734,-0.5455263544448801
ACH-000735,-0.4691291280207646
ACH-000736,-0.477229639988561
ACH-000738,-0.7801129049618292
ACH-000746,-0.1578004408900676
ACH-000747,-0.3616017086299517
ACH-000748,-0.5652179831369744
ACH-000753,-0.6289487942409202
ACH-000756,-0.3494712618767859
ACH-000757,-0.5511520337740479
ACH-000758,-0.4884651987084835
ACH-000760,-0.7155183924806723
ACH-000762,-0.2947523282360719
ACH-000763,-0.2193582676428031
ACH-000764,-0.5820104071819886
ACH-000765,-0.8484821104189814
ACH-000766,-0.031868156029484014
ACH-000767,-0.1503397663671099
ACH-000768,-0.3599325159790429
ACH-000769,-0.5549366526669598
ACH-000770,-0.3813240157347297
ACH-000771,-0.3301642370471857
ACH-000773,-0.2012132647922677
ACH-000776,-0.8117737024680255
ACH-000777,-0.5906563204349254
ACH-000778,-0.32160221571055936
ACH-000781,-0.6404751343647498
ACH-000782,-0.44445938100548704
ACH-000783,-0.17288084457228553
ACH-000784,-0.5559434072034872
ACH-000785,-0.38718091411845
ACH-000787,-0.6206508054095196
ACH-000788,-0.6495820458013624
ACH-000791,-0.3289153374087186
ACH-000792,-0.694538647728557
ACH-000794,-0.5170812175028271
ACH-000796,-0.22196620666738326
ACH-000798,-0.5357292143174266
ACH-000799,-0.2782312430498013
ACH-000800,-0.4870812336125706
ACH-000802,-0.5006946427007676
ACH-000804,-0.5896134727930922
ACH-000805,-0.6495791809923531
ACH-000809,-0.3600077141888401
ACH-000810,-0.4749444175278077
ACH-000811,-0.22480600926340094
ACH-000817,-0.5277754529500603
ACH-000819,-0.5522873721247982
ACH-000820,-0.5567019909445691
ACH-000821,-0.14407257997973671
ACH-000822,-0.3363768034664155
ACH-000823,-0.7755662185130973
ACH-000824,-0.3016425994340785
ACH-000827,-0.3979238600550253
ACH-000829,-0.2775745755927381
ACH-000831,-0.4733357954405252
