,DTHD1 (401124)
ACH-000004,-0.13418357729427288
ACH-000005,-0.09821231505341764
ACH-000007,-0.08899928087679711
ACH-000009,-0.0862900878032625
ACH-000011,-0.14401688381632696
ACH-000012,-0.1316117017640671
ACH-000013,-0.1023100605377545
ACH-000014,-0.20242824207006244
ACH-000015,-0.3205881969844068
ACH-000017,-0.17830639321509054
ACH-000018,-0.2627572371105827
ACH-000019,-0.15885895635001596
ACH-000021,-0.26236622067380083
ACH-000022,-0.2211799460713074
ACH-000025,-0.2150468154378304
ACH-000028,-0.04750583190241956
ACH-000030,-0.20343995092829129
ACH-000035,0.04865304801747558
ACH-000036,-0.2262947873548185
ACH-000037,-0.1915381777713723
ACH-000039,-0.06776585447764805
ACH-000040,-0.16324823325836615
ACH-000041,-0.2645133758106265
ACH-000042,-0.06964695728719816
ACH-000045,-0.08288897959865739
ACH-000047,-0.04777388517739671
ACH-000052,-0.09729040821657192
ACH-000053,-0.18958498988533531
ACH-000054,-0.1876637174290539
ACH-000055,-0.07084881596563784
ACH-000060,-0.2909203989973164
ACH-000067,-0.15144586437713456
ACH-000070,-0.0882475238934333
ACH-000075,-0.27173066348965924
ACH-000078,-0.282542613679986
ACH-000082,-0.1441346331705995
ACH-000085,-0.06409313636994651
ACH-000086,-0.2295712843315059
ACH-000087,-0.3618069373875826
ACH-000092,-0.15771509662318867
ACH-000095,-0.2846634225723883
ACH-000097,-0.1764548705756443
ACH-000098,-0.13257429601838347
ACH-000099,-0.2913636621923549
ACH-000108,-0.13765529187156975
ACH-000113,-0.10780725119553244
ACH-000116,-0.2605769701938764
ACH-000118,-0.1417498468781232
ACH-000120,-0.3032762470467896
ACH-000123,-0.26026927120574456
ACH-000127,-0.20430306651932365
ACH-000128,-0.08372332811364966
ACH-000132,-0.21687012921760432
ACH-000133,-0.37846307457763306
ACH-000137,-0.05277850101528375
ACH-000138,-0.03789575699045175
ACH-000142,-0.2299177532127321
ACH-000143,-0.018750620660703304
ACH-000146,-0.17773967660488013
ACH-000148,-0.2702909093724741
ACH-000150,-0.2338524982093436
ACH-000152,-0.1781996616148494
ACH-000153,-0.3374837369495169
ACH-000159,-0.2986867007835133
ACH-000160,-0.3080653857222762
ACH-000163,-0.012287740438981978
ACH-000167,-0.6983923400793579
ACH-000168,-0.11263885941157895
ACH-000169,-0.23924910305313385
ACH-000178,-0.2054385359741718
ACH-000183,-0.15675267323733444
ACH-000188,-0.14562387007145275
ACH-000189,0.04222151445588879
