,MIS18A (54069)
ACH-000004,-1.1712498322351237
ACH-000005,-1.2690722342931406
ACH-000007,-1.0452923613748577
ACH-000009,-1.1985397047807616
ACH-000011,-1.1042798800400755
ACH-000012,-1.08428660535233
ACH-000013,-1.404641609467424
ACH-000014,-1.2589754617780131
ACH-000015,-1.286855617838537
ACH-000017,-1.4302460120411458
ACH-000018,-1.09600492107312
ACH-000019,-1.0730034424577617
ACH-000021,-0.9268987700647277
ACH-000022,-1.3547324555358162
ACH-000025,-1.3231577913947836
ACH-000028,-1.257049763539276
ACH-000030,-1.3464007130806266
ACH-000035,-1.1291497127220698
ACH-000036,-1.0964302304024856
ACH-000037,-1.1059662890049409
ACH-000039,-1.2605314253831883
ACH-000040,-1.0725012985292464
ACH-000041,-1.2273759393801058
ACH-000042,-1.3920125770562142
ACH-000045,-1.0995640529464856
ACH-000047,-1.1093197323148278
ACH-000052,-1.2233181301341562
ACH-000053,-0.9208449277757156
ACH-000054,-1.068223044807494
ACH-000055,-1.0551930101945586
ACH-000060,-1.3052588395254183
ACH-000067,-0.987642929345982
ACH-000070,-0.975193025660798
ACH-000075,-1.0136958157489473
ACH-000078,-1.4148637587543802
ACH-000082,-0.9595298097528976
ACH-000085,-1.3513698933792269
ACH-000086,-1.1470615978468082
ACH-000087,-1.111778334150215
ACH-000092,-1.0625870864891145
ACH-000095,-1.1031236527569974
ACH-000097,-1.192394669939336
ACH-000098,-1.238564140179781
ACH-000099,-1.175224741259102
ACH-000108,-0.9892288338307872
ACH-000113,-1.1851475447712223
ACH-000116,-1.3696511705478207
ACH-000118,-1.0659936208046088
ACH-000120,-1.0303640817564452
ACH-000123,-1.0637936674136743
ACH-000127,-1.175943372423277
ACH-000128,-1.1650915250483462
ACH-000132,-1.3644643488033104
ACH-000133,-1.4641300984564545
ACH-000137,-1.2259232302390466
ACH-000138,-1.2436553126636365
ACH-000142,-1.2944683713267178
ACH-000143,-1.2753942256975408
ACH-000146,-1.1346443094266117
ACH-000148,-1.2536559534243443
ACH-000150,-1.1545065057742758
ACH-000152,-0.8389042993496325
ACH-000153,-1.4424064824208531
ACH-000159,-0.9914999655720804
ACH-000160,-1.1463586825770171
ACH-000163,-1.1769309150528062
ACH-000167,-1.546897484230819
ACH-000168,-1.3190316855444884
ACH-000169,-1.1261319260756233
ACH-000178,-1.2218437204695372
ACH-000183,-1.0161223706088558
ACH-000188,-1.2762705346201952
ACH-000189,-1.1495386408355786
ACH-000190,-1.0381129801198778
ACH-000198,-1.199154726049477
ACH-000203,-1.5661146504095125
ACH-000204,-1.1167702654853224
ACH-000206,-1.5287396631114942
ACH-000207,-0.9889850108346928
ACH-000208,-1.1829434716406642
ACH-000210,-1.1723525097866034
ACH-000211,-1.1598411315187955
ACH-000215,-1.294144980720076
ACH-000221,-1.3116468063526965
ACH-000222,-1.2140174820314835
ACH-000223,-1.0471729425621596
ACH-000226,-1.0351117215861267
ACH-000227,-1.456059428123574
ACH-000228,-1.1534469305409576
ACH-000231,-1.3200657264612252
ACH-000232,-1.1024379277641183
ACH-000233,-1.0419678099650111
ACH-000234,-1.0872023593362663
ACH-000235,-1.0437868151690215
ACH-000237,-1.2691573043567217
ACH-000238,-1.3160504981397136
ACH-000242,-1.3595720301928496
ACH-000243,-1.2907069237014763
ACH-000244,-1.1989473452632158
ACH-000246,-1.1374468822533708
ACH-000248,-1.2914710453771159
ACH-000250,-1.0168616710125309
ACH-000251,-1.2627350369791208
ACH-000252,-1.273346857780847
ACH-000253,-0.9870483629470344
ACH-000255,-1.1124330609659534
ACH-000256,-1.139351038850399
ACH-000257,-1.2896269317074651
ACH-000258,-1.1917704500098976
ACH-000259,-1.3313825512685185
ACH-000260,-1.2731496760610863
ACH-000261,-1.040964773834885
ACH-000262,-1.2665148620980968
ACH-000263,-1.3772848232614587
ACH-000264,-1.360527071551629
ACH-000265,-1.4174489860827262
ACH-000266,-1.0684855984389878
ACH-000272,-0.98094071123718
ACH-000274,-0.9860327760320452
ACH-000277,-0.907548654783978
ACH-000278,-1.481053122678927
ACH-000279,-1.3044686433557986
ACH-000280,-1.1146102022413904
ACH-000281,-1.1115365321790782
ACH-000288,-1.2919672041435462
ACH-000291,-1.171685896958411
ACH-000293,-0.9541110885898176
ACH-000294,-1.2638441158891998
ACH-000295,-1.627785308105734
ACH-000296,-1.2244702456070131
ACH-000302,-1.2958025324966862
ACH-000304,-1.1138197829943215
ACH-000307,-1.2107723500801233
ACH-000308,-1.3424730895464854
ACH-000310,-1.2015190399050462
ACH-000311,-1.0964587134879753
ACH-000312,-1.242800562065367
ACH-000315,-1.047317448559418
ACH-000316,-1.3809762606294462
ACH-000317,-1.4429480708647513
ACH-000318,-1.331351219946686
ACH-000319,-1.0622119729763808
ACH-000320,-1.2258855384554228
ACH-000322,-1.1981256539207925
ACH-000323,-1.0057269887183875
ACH-000324,-1.2212718768821358
ACH-000329,-0.8713046489757489
ACH-000330,-1.2496910120454083
ACH-000331,-1.1543488561134667
ACH-000332,-1.2292646605234328
ACH-000334,-1.1729122230263656
ACH-000335,-1.398257555320508
ACH-000336,-1.1464946322353078
ACH-000337,-1.4376350491994785
ACH-000338,-0.7258025029713164
ACH-000339,-1.0777640436870346
ACH-000341,-1.0640879752714891
ACH-000348,-0.9259217635836964
ACH-000350,-1.327220975509698
ACH-000352,-1.128031930251728
ACH-000356,-1.0742627122844948
ACH-000361,-1.1506783821405977
ACH-000362,-1.2452222216609188
ACH-000363,-1.0337652986765469
ACH-000364,-1.0840613326629485
ACH-000365,-1.2201862424564491
ACH-000366,-1.3852971433733516
ACH-000368,-1.1282269741101407
ACH-000374,-0.9807701211568156
ACH-000375,-0.981691846723298
ACH-000376,-1.2973686521454662
ACH-000381,-1.0285365071917
ACH-000383,-1.0660592253628216
ACH-000387,-1.1967416658807128
ACH-000389,-0.9158190209071446
ACH-000390,-1.3441880263772072
ACH-000393,-0.9715380847427142
ACH-000395,-1.2758128476700503
ACH-000396,-1.1952205970062972
ACH-000397,-1.5200468027883869
ACH-000401,-1.0602294388812603
ACH-000402,-1.3291618084320362
ACH-000403,-1.3209476842672558
ACH-000404,-1.2779909604934232
ACH-000406,-1.1180144960838279
ACH-000407,-1.2551090520531971
ACH-000408,-1.4196091402523192
ACH-000410,-1.0378724566972102
ACH-000411,-1.1906450152226868
ACH-000414,-1.221103685615829
ACH-000415,-1.5850061352734481
ACH-000416,-1.2496588422094543
ACH-000420,-0.9541086846248108
ACH-000421,-1.1692591493471085
ACH-000424,-1.2331458662277424
ACH-000425,-0.8288156112778602
ACH-000426,-1.2954250943792565
ACH-000427,-1.1904052308024242
ACH-000433,-1.0858866463781276
ACH-000435,-0.8961908672796405
ACH-000436,-1.406223108593958
ACH-000444,-1.2270502746744598
ACH-000445,-1.0653572422611968
ACH-000448,-1.2704215976447222
ACH-000450,-0.9078730863229432
ACH-000452,-1.5770211708191684
ACH-000454,-1.3080906814299291
ACH-000458,-1.1038653212709533
ACH-000459,-1.3001164220316133
ACH-000460,-1.1520251126996817
ACH-000461,-1.4475997192211434
ACH-000463,-1.0856184793352226
ACH-000464,-1.1317979440200687
ACH-000466,-1.2592004908795877
ACH-000467,-1.4344480803015909
ACH-000468,-1.2562571291358742
ACH-000469,-1.2750777258419033
ACH-000470,-1.2452137868561326
ACH-000471,-1.3692378658376152
ACH-000472,-1.481490244113722
ACH-000473,-0.9822300043309684
ACH-000475,-1.3523724983558991
ACH-000476,-1.2077621923380806
ACH-000477,-1.0555745725236405
ACH-000479,-1.0978065266688524
ACH-000480,-1.3612025974000803
ACH-000481,-1.1526464709660342
ACH-000483,-1.106037565712415
ACH-000484,-1.0282605274020302
ACH-000485,-1.2731441735643276
ACH-000486,-1.2770662815206963
ACH-000487,-1.138915767436434
ACH-000488,-1.245121885024008
ACH-000490,-1.2127150143763936
ACH-000491,-0.9818643234721659
ACH-000495,-1.1696151264707118
ACH-000496,-1.2434948896303164
ACH-000499,-1.009547639978997
ACH-000500,-1.8029870504228396
ACH-000502,-1.2682303645181001
ACH-000503,-1.4661905771584611
ACH-000505,-0.9664748265260252
ACH-000507,-1.2214588114550062
ACH-000510,-1.2305789752245344
ACH-000511,-1.0115183363810725
ACH-000512,-0.8800068735855961
ACH-000516,-1.2086462546196377
ACH-000517,-0.997155604539506
ACH-000518,-1.3877002568171943
ACH-000520,-1.0209826895257212
ACH-000521,-0.9532712825929192
ACH-000522,-1.2791854536855969
ACH-000524,-0.9884469938288648
ACH-000527,-1.0687746991644584
ACH-000528,-1.2327187485456623
ACH-000537,-1.2091490470874189
ACH-000541,-1.2174479284836657
ACH-000542,-1.3120326834387883
ACH-000544,-1.3461690098350574
ACH-000545,-1.3759931387600706
ACH-000547,-1.1291915575237248
ACH-000548,-1.3944749725371222
ACH-000549,-1.0890660241700842
ACH-000550,-0.8392127312004051
ACH-000552,-1.3215699664880938
ACH-000556,-0.9747772145634932
ACH-000557,-1.223672379747544
ACH-000569,-0.7915005440743196
