,CDKAL1 (54901)
ACH-000004,-0.1588890045495798
ACH-000005,-0.07735596223545932
ACH-000007,-0.14475799585780094
ACH-000009,0.012532817736979052
ACH-000011,-0.0797246060043165
ACH-000012,-0.017884975257823697
ACH-000013,-0.13551196487114545
ACH-000014,-0.1242652023177698
ACH-000015,-0.06323912873870731
ACH-000017,-0.1835047662764819
ACH-000018,-0.05172276125017456
ACH-000019,-0.07350014169282637
ACH-000021,-0.07662480520337853
ACH-000022,-0.0774024909562949
ACH-000025,-0.008394156087838694
ACH-000028,-0.09185813735045154
ACH-000030,-0.11925642004501864
ACH-000035,0.15577256406898818
ACH-000036,-0.2506079514100131
ACH-000037,-0.1840164174259871
ACH-000039,-0.20156232560826376
ACH-000040,-0.1128502311305729
ACH-000041,0.05160479427875441
ACH-000042,0.07560997575543907
ACH-000045,0.1411378389805386
ACH-000047,-0.1528411305012003
ACH-000052,-0.022668955184625302
ACH-000053,-0.13115908507566626
ACH-000054,-0.07000861759451864
ACH-000055,-0.058268642431282026
ACH-000060,-0.03097331637464571
ACH-000067,-0.1627057657652202
ACH-000070,-0.10817549616643887
ACH-000075,-0.17578014480120305
ACH-000078,-0.2852830062793687
ACH-000082,-0.09949895748646012
ACH-000085,-0.2377640833805972
ACH-000086,-0.031106637403105764
ACH-000087,-0.1016992753240184
ACH-000092,-0.008761466464841277
ACH-000095,-0.17003452588263898
ACH-000097,-0.17731304260427191
ACH-000098,-0.019731091636486755
ACH-000099,-0.0971178539555733
ACH-000108,-0.15548554468881198
ACH-000113,-0.21549187503896225
ACH-000116,-0.04026275739246498
ACH-000118,-0.10778241036113163
ACH-000120,-0.2513827934473893
ACH-000123,-0.0903443134101174
ACH-000127,-0.12512175339785406
ACH-000128,-0.12524831136879122
ACH-000132,0.04759311673297339
ACH-000133,-0.06514238285985527
ACH-000137,0.01021669452989154
ACH-000138,-0.16362596829215012
ACH-000142,-0.10966420568535773
ACH-000143,-0.3168938746589016
ACH-000146,-0.0979365790323973
ACH-000148,-0.05028755530604232
ACH-000150,-0.015179670247906462
ACH-000152,-0.1814225755705446
ACH-000153,0.06559475904446396
ACH-000159,-0.03475649752048143
ACH-000160,-0.04973452896435125
ACH-000163,0.007339363507020449
ACH-000167,0.3879234295304687
ACH-000168,-0.14484083827386307
ACH-000169,0.013211736609416016
ACH-000178,-0.1076570960569352
ACH-000183,-0.15845694689589454
ACH-000188,-0.08738352548503922
ACH-000189,-0.003479359294369637
ACH-000190,-0.3530795022032382
ACH-000198,-0.2113683396925576
ACH-000203,-0.12810395514055598
ACH-000204,0.005368074423476811
ACH-000206,-0.2885957326909941
ACH-000207,-0.1677461976998885
ACH-000208,0.0006520077232791403
ACH-000210,0.047462219193319784
ACH-000211,-0.13289720999983742
ACH-000215,-0.08525120440929818
ACH-000221,-0.16229196259059972
ACH-000222,-0.043099574846033537
ACH-000223,-0.2914189972466973
ACH-000226,0.07188286095686533
ACH-000227,0.022389221196769418
ACH-000228,-0.01921868212563143
ACH-000231,-0.1417019475333204
ACH-000232,-0.04857954983065495
ACH-000233,-0.08338788167591414
ACH-000234,-0.1254442398214346
ACH-000235,-0.055963609389063584
ACH-000237,-0.07257810177392257
ACH-000238,-0.23962458638515344
ACH-000242,-0.2129512345811509
ACH-000243,-0.05383630414665837
ACH-000244,0.021598346496495783
ACH-000246,-0.1384483251785149
ACH-000248,-0.1573852806627975
ACH-000250,-0.04986423578310864
ACH-000251,0.08498486917485994
ACH-000252,-0.005421940244009954
ACH-000253,-0.0830205002060926
ACH-000255,-0.05608713451113705
ACH-000256,-0.0886866161425235
ACH-000257,-0.1535343391220422
ACH-000258,-0.10848715326380427
ACH-000259,-0.048312427243626936
ACH-000260,-0.19665431695143235
ACH-000261,-0.012297165613615673
ACH-000262,-0.09353694003620264
ACH-000263,-0.3152578927564895
ACH-000264,-0.05442651943339999
ACH-000265,-0.10772035094098796
ACH-000266,-0.1626056226033906
ACH-000272,-0.09863991781006903
ACH-000274,-0.09940810638063448
ACH-000277,-0.18191308397486144
ACH-000278,-0.049859851519166734
ACH-000279,-0.18603952555234768
ACH-000280,-0.16648868747980347
ACH-000281,-0.2458501212645973
ACH-000288,-0.01480796283570241
ACH-000291,-0.08020690679560187
ACH-000293,0.0419354426125651
ACH-000294,0.049033856542336655
ACH-000295,-0.15423837417683073
ACH-000296,0.06782788210777127
ACH-000302,-0.11218347598844056
ACH-000304,-0.21974214477200948
ACH-000307,-0.11858798633994175
ACH-000308,-0.30364558568005545
ACH-000310,-0.2278591646658866
ACH-000311,-0.17647889428011204
ACH-000312,0.030331087921787868
ACH-000315,0.09002385676199931
ACH-000316,-0.08258199005097451
ACH-000317,-0.09231345368606983
ACH-000318,-0.014961215090788441
ACH-000319,-0.06775238689926473
ACH-000320,0.015468468537482159
ACH-000322,-0.06458785922542433
ACH-000323,-0.059189489166288224
ACH-000324,-0.07220990816938659
ACH-000329,-0.08672129328577237
ACH-000330,-0.18671471697284572
ACH-000331,-0.0973127712764649
ACH-000332,0.014180364377265334
ACH-000334,-0.09722939963320748
ACH-000335,-0.1366991211307117
ACH-000336,-0.3949099311181207
ACH-000337,-0.1971080309871136
ACH-000338,-0.03892046340157228
ACH-000339,-0.1091965656491844
ACH-000341,-0.007944256320621809
ACH-000348,-0.08487512376151732
ACH-000350,-0.0893270937543298
ACH-000352,-0.12674974957624255
ACH-000356,0.019308096704528776
ACH-000361,-0.32425194437675725
ACH-000362,-0.1388745457546266
ACH-000363,-0.0802154931435892
ACH-000364,0.04989719737413021
ACH-000365,-0.07739462355078351
