,SLCO6A1 (133482)
ACH-000004,-0.047260856081539966
ACH-000005,0.010880529345516232
ACH-000007,-0.16505393328004944
ACH-000009,0.07708162163997155
ACH-000011,0.07540909075862111
ACH-000012,-0.03327744101245614
ACH-000013,-0.006173787007038172
ACH-000014,-0.0736535429166606
ACH-000015,-0.0007111271575581682
ACH-000017,0.07212352442963434
ACH-000018,0.014749264412530097
ACH-000019,0.26088055677083644
ACH-000021,-0.037267643201163256
ACH-000022,0.006789476311365682
ACH-000025,0.07619683241963131
ACH-000028,-0.09589200782030068
ACH-000030,-0.0259318171520514
ACH-000035,0.10785948223784436
ACH-000036,0.08741351270751613
ACH-000037,0.029860716945830295
ACH-000039,-0.12831275762006294
ACH-000040,0.10609049998683527
ACH-000041,-0.007574159438765676
ACH-000042,-0.11109519537916757
ACH-000045,0.04089582806921657
ACH-000047,-0.011237179810845798
ACH-000052,-0.2618906129428252
ACH-000053,0.06082061521871277
ACH-000054,-0.08109995048667483
ACH-000055,0.16661635283833015
ACH-000060,0.054800397873681614
ACH-000067,0.056770296933759526
ACH-000070,0.03102487751265447
ACH-000075,-0.12070312723739525
ACH-000078,-0.06300073454792361
ACH-000082,0.06305559523288391
ACH-000085,-0.03797363125040645
ACH-000086,-0.049365801175702544
ACH-000087,0.07366174124244118
ACH-000092,-0.03979019004739917
ACH-000095,-0.011639775928709557
ACH-000097,0.09692944421416536
ACH-000098,-0.03282953049999792
ACH-000099,-0.005036137063854872
ACH-000108,0.07640909644778933
ACH-000113,0.04703798371683854
ACH-000116,0.03480172597878765
ACH-000118,0.024039405497287853
ACH-000120,0.04112847239765978
ACH-000123,0.05583085259513771
ACH-000127,-0.04628535986883415
ACH-000128,-0.06668887187601033
ACH-000132,0.02405857385738017
ACH-000133,-0.02289074853794892
ACH-000137,0.09411411677812576
ACH-000138,-0.005808966530661644
ACH-000142,-0.003533572176657143
ACH-000143,-0.10276237338010018
ACH-000146,-0.028834924660918707
ACH-000148,0.08320342588988905
ACH-000150,0.03951724800169015
ACH-000152,-0.010004377241667334
ACH-000153,0.1951657016291345
ACH-000159,0.04569601876456263
ACH-000160,-0.04065660398303349
ACH-000163,-0.02318639832933547
ACH-000167,0.05143225634626703
ACH-000168,0.1488185795129964
ACH-000169,0.06589646819385007
ACH-000178,0.0001676192693947471
ACH-000183,0.0533955380657016
ACH-000188,0.023564580568646912
ACH-000189,-0.20291256967546287
