,FOXK1 (221937)
ACH-000004,0.023093851827106996
ACH-000005,0.041001422330585034
ACH-000007,-0.12691325641782367
ACH-000009,0.097574836886099
ACH-000011,0.09570722511991088
ACH-000012,-0.01716341575803373
ACH-000013,0.20208694190363927
ACH-000014,-0.08061595587031141
ACH-000015,0.08856968344655226
ACH-000017,-0.3135336055256757
ACH-000018,-0.012867376594679224
ACH-000019,-0.2130387801072371
ACH-000021,-0.08164221837619927
ACH-000022,-0.07285465434433194
ACH-000025,0.3946296395008336
ACH-000028,-0.3234241547784405
ACH-000030,0.04286670956965707
ACH-000035,-0.06438064861645237
ACH-000036,-0.3598665880003709
ACH-000037,-0.2772770850683993
ACH-000039,-0.13800766667022032
ACH-000040,-0.4689395263391785
ACH-000041,-0.08047715566552853
ACH-000042,0.13558185609126813
ACH-000045,-0.3307072731605847
ACH-000047,-0.02953065504767147
ACH-000052,4.830898790970541e-05
ACH-000053,-0.6053762067252602
ACH-000054,-0.0016250711582087025
ACH-000055,0.09614025777978184
ACH-000060,0.1689189356475277
ACH-000067,-0.4007081068165663
ACH-000070,-0.365361824828683
ACH-000075,-0.11812895212392807
ACH-000078,0.07375256331682786
ACH-000082,-0.6091364623448179
ACH-000085,-0.28916566629807505
ACH-000086,-0.230171133524548
ACH-000087,-0.044489540426663636
ACH-000092,-0.2079896244484085
ACH-000095,0.04025130929682378
ACH-000097,-0.3799786357048558
ACH-000098,-0.04033540355099991
ACH-000099,0.003089164615046756
ACH-000108,0.1558614184119604
ACH-000113,-0.4927563245617951
ACH-000116,-0.2939605409642672
ACH-000118,-0.004129148096986604
ACH-000120,-0.057712277559116475
ACH-000123,-0.4129330226082278
ACH-000127,0.11145143550235548
ACH-000128,-0.3009684990454563
ACH-000132,0.03443721325477354
ACH-000133,-0.3299059041681352
ACH-000137,-0.05580291275919348
ACH-000138,-0.010947809492359623
ACH-000142,-0.09156409573838467
ACH-000143,-0.15091038734444748
ACH-000146,-0.30190954869939585
ACH-000148,-0.3331425390781944
ACH-000150,-0.07018960811651859
ACH-000152,-0.4123882309282215
ACH-000153,-0.06490036991960749
ACH-000159,-0.2529080882220963
ACH-000160,-0.0978791037378462
ACH-000163,-0.20048687115751293
ACH-000167,-0.43715967764727626
ACH-000168,-0.27236244138145765
ACH-000169,-0.30210759693213146
ACH-000178,-0.4138958409421517
ACH-000183,-0.4749744510633559
ACH-000188,-0.4524036599543855
ACH-000189,-0.029815691148437563
ACH-000190,-0.0982766321862492
ACH-000198,-0.4681345803958463
ACH-000203,-0.3954654771800099
ACH-000204,-0.4411383645236063
ACH-000206,-0.4712312168881913
ACH-000207,-0.28652646708085217
ACH-000208,-0.22336179176848656
ACH-000210,-0.19807368407721015
ACH-000211,-0.1446830331740749
ACH-000215,-0.5446660966176297
ACH-000221,-0.0561428591401549
ACH-000222,-0.13760100895035413
ACH-000223,-0.11663446313289624
ACH-000226,-0.5025398293676056
ACH-000227,-0.14996931192482468
ACH-000228,-0.3905348703757855
ACH-000231,-0.4648595045803566
ACH-000232,0.11238797056824823
ACH-000233,-0.2840281186717994
ACH-000234,-0.23102411066148776
ACH-000235,-0.16158691545222714
ACH-000237,-0.0933937699964544
ACH-000238,-0.6321131649689773
ACH-000242,-0.503058717070851
ACH-000243,-0.1215966405588062
ACH-000244,-0.30645760687406104
ACH-000246,0.5536645960978903
ACH-000248,-0.2662949685128507
ACH-000250,0.02491282429739205
ACH-000251,-0.3316639357077337
ACH-000252,-0.0065727410752409645
ACH-000253,-0.18291983436871706
ACH-000255,0.2292961560792125
ACH-000256,-0.09283755395040172
ACH-000257,-0.10983683363290413
