,ZBTB8OS (339487)
ACH-000004,-0.24570992394866475
ACH-000005,-0.3001214789264026
ACH-000007,-0.17911526566505992
ACH-000009,-0.418196734411811
ACH-000011,-0.3041592445234033
ACH-000012,-0.4076525648602517
ACH-000013,-0.19328910156346374
ACH-000014,-0.2249080990996312
ACH-000015,-0.22528561305993575
ACH-000017,-0.3133090905980785
ACH-000018,-0.5236235259347913
ACH-000019,-0.07453605948036847
ACH-000021,-0.19575208330801167
ACH-000022,-0.2507113093654155
ACH-000025,-0.3986322903866805
ACH-000028,-0.34304347770946325
ACH-000030,-0.42107946127581103
ACH-000035,-0.16241679623551192
ACH-000036,-0.27049593782972586
ACH-000037,-0.3341441764318033
ACH-000039,-0.6180675220628428
ACH-000040,-0.3461135455566033
ACH-000041,-0.15045310339982676
ACH-000042,-0.28208798957638703
ACH-000045,-0.2683527076085287
ACH-000047,-0.1460528897448628
ACH-000052,-0.13988533055868485
ACH-000053,-0.3676066211189135
ACH-000054,-0.275694104273411
ACH-000055,-0.3292643845435685
ACH-000060,-0.38715611829343055
ACH-000067,-0.27913087971656725
ACH-000070,-0.3015321840648646
ACH-000075,-0.3564496073567909
ACH-000078,-0.3770895480817928
ACH-000082,-0.22284840076674647
ACH-000085,-0.20898436489206693
ACH-000086,-0.29590264334667404
ACH-000087,-0.41934662753774177
ACH-000092,-0.3563161252267357
ACH-000095,-0.4131413516064305
ACH-000097,-0.11060398103737752
ACH-000098,-0.2383653138599242
ACH-000099,-0.4390180455729142
ACH-000108,-0.2519869010362131
ACH-000113,-0.13515307521862574
ACH-000116,-0.245781301749636
ACH-000118,-0.18593906192912116
ACH-000120,-0.4733042377343698
ACH-000123,-0.13711001421204455
ACH-000127,-0.2518476089008082
ACH-000128,-0.22113831979691287
ACH-000132,-0.4256773796841548
ACH-000133,-0.3613743638046905
ACH-000137,-0.3276517089984481
ACH-000138,-0.209182932926148
ACH-000142,-0.3084271790808235
ACH-000143,-0.01529990047792128
ACH-000146,-0.32951195089088875
ACH-000148,-0.21142420262335096
ACH-000150,-0.299027877139218
ACH-000152,-0.2341571339391761
ACH-000153,-0.5745481734860355
ACH-000159,-0.2798359635738743
ACH-000160,-0.2343355660885457
ACH-000163,-0.177459763952418
ACH-000167,-0.1570234633627319
ACH-000168,-0.4567575125164866
ACH-000169,-0.246882207838995
ACH-000178,-0.20805863962633525
ACH-000183,-0.3707807499586546
ACH-000188,-0.06333493634823814
ACH-000189,-0.3438481131180242
ACH-000190,-0.1127891743596127
ACH-000198,-0.2325130417146453
ACH-000203,0.062060010163985976
ACH-000204,-0.2773009725359884
ACH-000206,-0.41246349302765706
ACH-000207,-0.17689540823127298
ACH-000208,-0.2271687018725112
ACH-000210,-0.0917748944931558
ACH-000211,-0.3447400297634532
ACH-000215,-0.3760629450148368
ACH-000221,-0.2074278145750968
ACH-000222,-0.053353086624656584
ACH-000223,-0.2206828307773532
ACH-000226,-0.4812202954634034
ACH-000227,-0.3474455880566671
ACH-000228,-0.3161289771797661
ACH-000231,-0.329115315235104
ACH-000232,-0.2502796809041203
ACH-000233,-0.2902748996252181
ACH-000234,-0.33306278943749945
ACH-000235,-0.3000971047822824
ACH-000237,-0.3062177896556182
ACH-000238,-0.1786439533491576
ACH-000242,-0.4963085058645652
ACH-000243,-0.3859062861881838
ACH-000244,-0.2764978799721757
ACH-000246,-0.3527163547826051
ACH-000248,-0.10167981137633364
ACH-000250,-0.3401096837192393
ACH-000251,-0.20674265018625826
ACH-000252,-0.2456121455621633
ACH-000253,-0.19912326592787674
ACH-000255,-0.4335940409585068
ACH-000256,-0.1998008319750872
ACH-000257,-0.10904846897029476
ACH-000258,-0.2011852135687981
ACH-000259,-0.3056342638343947
ACH-000260,-0.2631548312574332
ACH-000261,-0.41467283972195657
ACH-000262,-0.1005216189078777
ACH-000263,-0.3629385902623188
ACH-000264,-0.4945190456738178
ACH-000265,-0.2575471702105644
ACH-000266,-0.12715791661603507
ACH-000272,-0.556083168371967
ACH-000274,-0.2821434907004163
ACH-000277,-0.43286991916970496
ACH-000278,-0.2570334603132481
ACH-000279,-0.3133018152434869
ACH-000280,-0.27453473350182794
ACH-000281,-0.1608498875009466
ACH-000288,-0.31736936928665205
ACH-000291,-0.4172131635871644
ACH-000293,-0.16732788258335846
ACH-000294,-0.7226496241845433
ACH-000295,-0.2932081528078409
ACH-000296,-0.15820722564077905
ACH-000302,-0.16757019706055676
ACH-000304,-0.21967448777336573
ACH-000307,-0.3075554452102885
ACH-000308,-0.1713576230765963
ACH-000310,-0.3144812242541276
ACH-000311,-0.1886748099832789
ACH-000312,-0.34417017971627023
ACH-000315,-0.6180107679738522
