,DPM2 (8818)
ACH-000004,-1.1844319630857614
ACH-000005,-1.2120406735367473
ACH-000007,-0.4329689807480474
ACH-000009,-0.608672873069162
ACH-000011,-0.7376572630180139
ACH-000012,-0.4159461806427587
ACH-000013,-0.4403887621232151
ACH-000014,-0.2241319728933989
ACH-000015,-0.576526760250895
ACH-000017,-0.4921638149111355
ACH-000018,-0.4531967100535491
ACH-000019,-0.5970504473492231
ACH-000021,-0.3451469989911072
ACH-000022,-0.4182717519790407
ACH-000025,-0.4008829043520852
ACH-000028,-0.40526174728428815
ACH-000030,-0.3643898394530501
ACH-000035,-0.7479706060830045
ACH-000036,-0.7702917064190007
ACH-000037,-0.3797623335466517
ACH-000039,-0.3668224487979933
ACH-000040,-0.4760187851191473
ACH-000041,-0.3138499790680687
ACH-000042,-0.457015116021943
ACH-000045,-0.26538681326380065
ACH-000047,-0.5031731561987675
ACH-000052,-0.3071245395216889
ACH-000053,-0.4366053987683124
ACH-000054,-0.5700001647706006
ACH-000055,-0.40644791349558734
ACH-000060,-0.5692627566360982
ACH-000067,-0.4290588378085332
ACH-000070,-0.5311475883195416
ACH-000075,-0.41045610946596217
ACH-000078,-0.4743153051156528
ACH-000082,-0.4438642648711897
ACH-000085,-0.36138699504520905
ACH-000086,-0.4871264344275375
ACH-000087,-0.4544249135286115
ACH-000092,-1.0696602711484309
ACH-000095,-0.3788515584149164
ACH-000097,-0.523002103764202
ACH-000098,-0.3360573040679203
ACH-000099,-0.4791405906839529
ACH-000108,-0.6252771225840784
ACH-000113,-0.4557914980917138
ACH-000116,-0.4747909620049337
ACH-000118,-0.7726405318911859
ACH-000120,-0.6261705553313612
ACH-000123,-0.3776568718586081
ACH-000127,-0.42496448985436136
ACH-000128,-0.18297319305662485
ACH-000132,-0.91398327700684
ACH-000133,-0.7239641626693419
ACH-000137,-0.3812997896418557
ACH-000138,-0.5508397873805457
ACH-000142,-0.4662690881783623
ACH-000143,-0.38965633042456493
ACH-000146,-0.2946335387881691
ACH-000148,-0.4662402348706134
ACH-000150,-0.3045472972937483
ACH-000152,-0.5397058112374693
ACH-000153,-0.8225055348039428
ACH-000159,-0.3572790918226123
ACH-000160,-0.5605851975980182
ACH-000163,-0.7270660720973453
ACH-000167,-0.7690403564852446
ACH-000168,-0.5034500155326695
ACH-000169,-0.5102187600829049
ACH-000178,-0.6878820976617437
ACH-000183,-1.160811002334282
ACH-000188,-0.640184783201188
ACH-000189,-0.8619569645874017
ACH-000190,-0.7537082606360553
ACH-000198,-0.3896119030530906
ACH-000203,-0.611657648012521
ACH-000204,-0.8016640261526949
ACH-000206,-0.4216301876245719
ACH-000207,-0.4833818652304807
ACH-000208,-0.3113142592427478
ACH-000210,-0.30775430863526865
ACH-000211,-0.4252719503538508
ACH-000215,-0.4764113443186227
ACH-000221,-0.3933865676206717
ACH-000222,-0.7940465962092081
ACH-000223,-0.3394419639638959
ACH-000226,-0.3978869330766231
ACH-000227,-0.4043366473854216
ACH-000228,-0.36334237964589067
ACH-000231,-0.3160090129583825
ACH-000232,-0.40651596835742304
ACH-000233,-0.32752904123730314
ACH-000234,-0.4813477890582308
ACH-000235,-0.3116502103867448
ACH-000237,-0.4951747817904421
ACH-000238,-0.3913704374898847
ACH-000242,-0.3171120361686405
ACH-000243,-0.4341488019218829
ACH-000244,-0.5922885014320876
ACH-000246,-0.7118127889016462
ACH-000248,-0.4117557864655476
ACH-000250,-0.4172339602445861
ACH-000251,-0.7125051267803291
ACH-000252,-0.5126265420222932
ACH-000253,-0.6093046435528361
ACH-000255,-0.5942220177989866
ACH-000256,-0.26611048187625
ACH-000257,-0.31559237931147804
ACH-000258,-0.0909859833257028
ACH-000259,-0.4764031248948915
ACH-000260,-0.4879139404645199
ACH-000261,-0.4026244101969828
ACH-000262,-0.4849413739859699
ACH-000263,-0.2340744560488533
ACH-000264,-0.3548529133442662
ACH-000265,-0.4167694485643528
ACH-000266,-0.4707125149229455
ACH-000272,-0.8488448663582022
ACH-000274,-0.4814823188302498
ACH-000277,-0.6545990274217073
ACH-000278,-0.438892988157182
ACH-000279,-0.20418251162003126
ACH-000280,-0.6652912917319318
ACH-000281,-0.16933805944491465
ACH-000288,-0.23750011518555236
ACH-000291,-0.5857413315777958
ACH-000293,-0.4656570956230761
ACH-000294,0.049528407770693526
ACH-000295,-0.6196819476848998
ACH-000296,-0.6155701351169528
ACH-000302,-0.30141554529579484
ACH-000304,-0.7237042063318759
ACH-000307,-0.3567887071793011
ACH-000308,-0.6376132544641546
ACH-000310,-0.4568531924061608
ACH-000311,-0.6285931834138547
ACH-000312,-0.34009339755833856
ACH-000315,-0.2782787535802471
ACH-000316,-0.4482778736934953
ACH-000317,-0.7122775967820358
ACH-000318,-0.6574486365526014
ACH-000319,-0.4365054109647915
ACH-000320,-0.5180106217186874
ACH-000322,-0.2113306527747412
ACH-000323,-0.3984713115967917
ACH-000324,-0.5302419982023208
ACH-000329,-0.4740160943232013
ACH-000330,-0.371789948051029
ACH-000331,-1.1922590557611823
ACH-000332,-0.5645635690583566
ACH-000334,-0.4237188071313317
ACH-000335,-0.3379482358234156
ACH-000336,-0.2967399633008161
ACH-000337,-0.6083036686180855
ACH-000338,-0.5019760844778772
ACH-000339,-0.4143815050775449
ACH-000341,-0.34653158220679403
ACH-000348,-0.4234051086534021
ACH-000350,-0.4190077098033647
ACH-000352,-0.4377037101182436
ACH-000356,-0.4554712106919999
ACH-000361,-0.2879679829796152
ACH-000362,-0.3522747443054524
ACH-000363,-1.2637020205591103
ACH-000364,-0.30490587104731043
ACH-000365,-0.5457303468731804
ACH-000366,-0.4516899393675495
ACH-000368,-0.43034686249217696
ACH-000374,-0.4106115439273095
ACH-000375,-0.2713801876800129
ACH-000376,-0.4580675758287279
ACH-000381,-0.5371630044056226
ACH-000383,-0.4235959615145845
ACH-000387,-0.5393507106117233
ACH-000389,-0.715834320442687
ACH-000390,-0.4914846566899207
ACH-000393,-0.5329735516560193
ACH-000395,-0.4651148701219516
ACH-000396,-0.41749937305025
ACH-000397,-0.9158044302382796
ACH-000401,-0.6481566529095918
ACH-000402,-0.6055912178967285
ACH-000403,-0.4667756690153384
ACH-000404,-0.12147827531715436
ACH-000406,-0.3650566156788476
ACH-000407,-0.4062193023364351
ACH-000408,-0.2942605474439936
ACH-000410,-0.4255389158751457
ACH-000411,-0.5563093280559209
ACH-000414,-0.5888177532277802
ACH-000415,-0.7790769077026775
ACH-000416,-0.4965332009012701
ACH-000420,-0.4599488111294498
ACH-000421,-0.3393148046405688
ACH-000424,-0.031133073578198594
ACH-000425,-0.4649143043864203
ACH-000426,-0.93520724218627
ACH-000427,-0.4075380317216128
ACH-000433,-0.5393953460414275
ACH-000435,-0.09699010413148318
ACH-000436,-1.103587417443096
ACH-000444,-0.20745714238766216
ACH-000445,-0.6631153280592107
ACH-000448,-0.3186473795021716
ACH-000450,-0.7487222317006159
ACH-000452,-0.3405075285608777
ACH-000454,-0.3486496290070737
ACH-000458,-0.3896737267586507
ACH-000459,-0.2906111217340259
