,PPL (5493)
ACH-000004,-0.1063924322201404
ACH-000005,0.055971311581834944
ACH-000007,-0.2276988445815497
ACH-000009,0.014224328045138806
ACH-000011,-0.02363033470032464
ACH-000012,-0.15300748504420872
ACH-000013,-0.15492604798123466
ACH-000014,-0.17964759098983332
ACH-000015,-0.281984850189143
ACH-000017,-0.16153385176710386
ACH-000018,-0.3048426099436604
ACH-000019,0.1449953948856864
ACH-000021,-0.21806898005752776
ACH-000022,-0.15276828716835394
ACH-000025,-0.14654472566567028
ACH-000028,-0.10497640924241072
ACH-000030,0.05406769385586135
ACH-000035,-0.2294521801224502
ACH-000036,-0.03193524127330267
ACH-000037,-0.09135690552586473
ACH-000039,-0.3023859468289973
ACH-000040,-0.05684773671708624
ACH-000041,-0.2152510388128766
ACH-000042,-0.07588463445787172
ACH-000045,-0.12205877335956596
ACH-000047,-0.4210114922672426
ACH-000052,-0.30119363535445753
ACH-000053,-0.15172038287610518
ACH-000054,-0.14685844198064005
ACH-000055,-0.07233708178236141
ACH-000060,-0.3274596966135664
ACH-000067,-0.18372009672678266
ACH-000070,-0.13213342754447982
ACH-000075,-0.1334335672403542
ACH-000078,-0.14139986391103265
ACH-000082,-0.18869041836955447
ACH-000085,0.13720308576888865
ACH-000086,0.011642159051719742
ACH-000087,-0.15130925091441055
ACH-000092,-0.10684141445633848
ACH-000095,-0.3077508701035463
ACH-000097,-0.1984625390188885
ACH-000098,-0.19760656984826694
ACH-000099,-0.16797923926753813
ACH-000108,-0.3899258415161156
ACH-000113,-0.2097030433070035
ACH-000116,-0.21780317092980986
ACH-000118,-0.047326211974869546
ACH-000120,-0.07048774954952675
ACH-000123,-0.2242673817495896
ACH-000127,-0.17172937210303968
ACH-000128,-0.2056962931539861
ACH-000132,-0.1250630858271927
ACH-000133,-0.06689590653830206
ACH-000137,-0.191084213069124
ACH-000138,-0.04784540490827241
ACH-000142,-0.09019279600050824
ACH-000143,-0.2618846165591193
ACH-000146,-0.13040939140781144
