,NCLN (56926)
ACH-000004,-0.3756416422857881
ACH-000005,-0.2443483308130855
ACH-000007,-0.1884293492415973
ACH-000009,-0.02919731157461385
ACH-000011,-0.3221501048603729
ACH-000012,-0.01662200007421872
ACH-000013,-0.1826056396323575
ACH-000014,-0.3706634160493447
ACH-000015,-0.28736558912280397
ACH-000017,-0.2078621039406874
ACH-000018,-0.3297741497748781
ACH-000019,-0.2357236204531629
ACH-000021,-0.16379964179825496
ACH-000022,-0.1859330983140416
ACH-000025,-0.2175968000947156
ACH-000028,-0.4364243326292032
ACH-000030,-0.3806013121187584
ACH-000035,-0.24870799666862475
ACH-000036,-0.08885464297590201
ACH-000037,-0.26839323100264617
ACH-000039,-0.245388988437374
ACH-000040,-0.22223798789759436
ACH-000041,-0.27643232807800777
ACH-000042,-0.33100405565289553
ACH-000045,-0.13450609435773264
ACH-000047,-0.014545349723110262
ACH-000052,-0.3359399968401039
ACH-000053,-0.2162701024618003
ACH-000054,-0.3448502378374045
ACH-000055,-0.3070501616957184
ACH-000060,-0.02193709395952716
ACH-000067,-0.07987144087763487
ACH-000070,-0.21589942588713715
ACH-000075,-0.21752264632381985
ACH-000078,-0.05741549128065904
ACH-000082,-0.10639831182935854
ACH-000085,-0.15212739274182704
ACH-000086,-0.18262863214485925
ACH-000087,-0.01736744455859748
ACH-000092,-0.18640839436954293
ACH-000095,-0.2935879250700871
ACH-000097,-0.1331319749303592
ACH-000098,-0.2983286817910588
ACH-000099,-0.35213498103861746
ACH-000108,-0.20187678283368635
ACH-000113,-0.2843466819931117
ACH-000116,-0.14525239390474273
ACH-000118,-0.3137378948738677
ACH-000120,-0.07284271033413063
ACH-000123,-0.056585872367511884
ACH-000127,-0.2960950461387043
ACH-000128,-0.05533340891970631
ACH-000132,-0.0876311051415532
ACH-000133,-0.11970437946580036
ACH-000137,-0.13462162030915026
ACH-000138,-0.19666535391680245
ACH-000142,-0.28586213769937485
ACH-000143,-0.2083007753569984
ACH-000146,-0.34144099484258994
ACH-000148,-0.24468679917930425
ACH-000150,-0.21468321669398102
ACH-000152,-0.11547809226683535
ACH-000153,-0.5041652146937496
ACH-000159,-0.2660533697257213
ACH-000160,-0.1330911771928927
ACH-000163,-0.1407185482358433
ACH-000167,-0.253814107513065
ACH-000168,-0.08005656221846383
ACH-000169,-0.12772005863169333
ACH-000178,-0.13464201209265847
ACH-000183,-0.6118331209811518
ACH-000188,-0.21859772289503968
ACH-000189,-0.7191969924694444
ACH-000190,-0.1090182589954126
ACH-000198,-0.05462973867460084
ACH-000203,-0.2347529647456069
