,GALT (2592)
ACH-000004,-0.1485535617496623
ACH-000005,0.2895775736089959
ACH-000007,0.24300245658532224
ACH-000009,-0.11707655134627043
ACH-000011,-0.029891326510205294
ACH-000012,0.0323368106435075
ACH-000013,-0.09336795791355086
ACH-000014,-0.0569863717156397
ACH-000015,-0.15583303737627408
ACH-000017,-0.04276695592568164
ACH-000018,0.013337261422582215
ACH-000019,0.0747532619693518
ACH-000021,-0.07329795885201076
ACH-000022,0.0157213241824301
ACH-000025,0.04831955503010758
ACH-000028,0.050884045400621664
ACH-000030,-0.10809530118969056
ACH-000035,0.07758213879123982
ACH-000036,-0.12527719064380874
ACH-000037,-0.1684046987991909
ACH-000039,-0.16063155955512673
ACH-000040,-0.04087652803672191
ACH-000041,-0.11216036935673313
ACH-000042,0.02080069519993844
ACH-000045,0.11953860656122275
ACH-000047,-0.12120884599546936
ACH-000052,0.014303251001195413
ACH-000053,0.019553493504538874
ACH-000054,-0.018591751796578068
ACH-000055,-0.21898350986994208
ACH-000060,-0.06758227793394722
ACH-000067,-0.07080530821368415
ACH-000070,-0.1859514513987173
ACH-000075,-0.1405244200762936
ACH-000078,-0.009357549768274551
ACH-000082,-0.07896255465713828
ACH-000085,-0.06567520047872542
ACH-000086,0.2105621092309455
ACH-000087,0.17463258279098176
ACH-000092,-0.17665329446555586
ACH-000095,0.0428306874930112
ACH-000097,-0.05366819634157314
ACH-000098,-0.02797108930830474
ACH-000099,0.059356977925067715
ACH-000108,0.11431404497150548
ACH-000113,0.05820437702976861
ACH-000116,0.0717119487345282
ACH-000118,0.050707610067439006
ACH-000120,0.045107450361577525
ACH-000123,-0.045954269868462704
ACH-000127,-0.0039243873390502676
ACH-000128,0.15480108258197287
ACH-000132,0.0045540786453459724
ACH-000133,-0.01207680431173165
ACH-000137,0.06481415768182668
ACH-000138,0.028104783503191167
ACH-000142,-0.003736539476574881
ACH-000143,-0.007627596240272756
ACH-000146,-0.12569915565791304
ACH-000148,-0.08941955300956905
ACH-000150,-0.09907109137648784
ACH-000152,0.047849134998278836
ACH-000153,-0.04343224536307213
ACH-000159,-0.05970936337453536
ACH-000160,0.010168910043741923
ACH-000163,-0.06174781927913894
ACH-000167,0.19731127748273208
ACH-000168,-0.11052892538107614
ACH-000169,0.03974108015105153
ACH-000178,-0.016504971679911114
ACH-000183,-0.15164828571491645
ACH-000188,-0.039132783629452425
ACH-000189,-0.061438852501427714
ACH-000190,-0.0224422200762641
ACH-000198,-0.001108857887458149
ACH-000203,0.10172177933094764
ACH-000204,-0.12006023475716145
ACH-000206,0.1712757397501216
ACH-000207,-0.13623415282626153
ACH-000208,0.1105977207069578
ACH-000210,-0.5358939723479246
ACH-000211,-0.03458926055199864
ACH-000215,-0.04694967756668292
ACH-000221,-0.05819741620277269
ACH-000222,-0.0909019721787308
ACH-000223,0.09047960295934998
ACH-000226,-0.03120738345631727
ACH-000227,0.20727806262905224
ACH-000228,0.025829017581783555
ACH-000231,0.02819124910444046
ACH-000232,-0.020135847759647597
ACH-000233,0.09787744405986676
ACH-000234,0.002843494265519888
ACH-000235,-0.09760125305418443
ACH-000237,0.08645393004286182
ACH-000238,-0.12161343190605035
ACH-000242,-0.08911433151612834
ACH-000243,-0.043210089405783324
ACH-000244,0.17648075610779435
ACH-000246,0.022658045310699856
ACH-000248,0.2394677492836958
ACH-000250,0.009194034583415979
ACH-000251,0.01085121493415012
ACH-000252,0.15414061483407354
ACH-000253,0.07189536828520031
ACH-000255,-0.279722792457172
