,FOXD4L5 (653427)
ACH-000004,-0.2279157576619232
ACH-000005,-0.06287593630653647
ACH-000007,-0.13273477988382812
ACH-000009,-0.14682262284973768
ACH-000011,-0.1235966655589405
ACH-000012,-0.2984714808045106
ACH-000013,-0.032528581602735834
ACH-000014,-0.095286744156159
ACH-000015,-0.22303082167150592
ACH-000017,-0.10777754787924493
ACH-000018,-0.12441395720308172
ACH-000019,-0.13446305243441473
ACH-000021,-0.1677616111551699
ACH-000022,-0.016771747554256453
ACH-000025,-0.18289261689155625
ACH-000028,-0.04620238016839322
ACH-000030,-0.19568160648631205
ACH-000035,-0.0924056539363818
ACH-000036,-0.2794299991932174
ACH-000037,-0.1898676974146315
ACH-000039,-0.0703134634635694
ACH-000040,-0.19136295766319228
ACH-000041,-0.05535799536499618
ACH-000042,-0.12040104703471835
ACH-000045,-0.31014514278091915
ACH-000047,-0.1472759569030617
ACH-000052,0.08089658545566218
ACH-000053,-0.11192094642222128
ACH-000054,-0.14885332225575715
ACH-000055,-0.11991422149708622
ACH-000060,-0.0765937202327008
ACH-000067,-0.1500505771021713
ACH-000070,0.03873477829160766
ACH-000075,-0.09106930182389347
ACH-000078,-0.2030508755657993
ACH-000082,-0.21783560337894944
ACH-000085,-0.15640725936568434
ACH-000086,-0.2714802712127001
ACH-000087,-0.08310777201634442
ACH-000092,-0.26294982890573243
ACH-000095,-0.26998794795854913
ACH-000097,-0.199362669139137
ACH-000098,-0.2202298558940953
ACH-000099,-0.0790847128487765
ACH-000108,-0.15146678982687922
ACH-000113,-0.11504481912666988
ACH-000116,-0.10000110160838672
ACH-000118,-0.07265359881809606
ACH-000120,-0.11095357191538133
ACH-000123,-0.09999921526739068
ACH-000127,-0.15530264571659874
ACH-000128,-0.1753064263012264
ACH-000132,-0.023954853148056805
ACH-000133,-0.13544047065639594
ACH-000137,-0.2950286721961723
ACH-000138,-0.1778498483959376
ACH-000142,-0.1334047839103139
ACH-000143,-0.1593587359887294
ACH-000146,-0.08865025253522303
ACH-000148,-0.17194144211776144
ACH-000150,-0.4182405720882624
ACH-000152,-0.07408411963381477
ACH-000153,-0.19334926923929652
ACH-000159,-0.1941210649350303
ACH-000160,-0.07623391235477757
ACH-000163,-0.20513989850169306
ACH-000167,-0.08806320197227825
ACH-000168,0.058069903632977725
ACH-000169,-0.1409582384440073
ACH-000178,-0.06612531517461323
ACH-000183,-0.057900351200641686
ACH-000188,-0.2677445430313275
ACH-000189,-0.21541442549099596
ACH-000190,-0.3523634213849845
ACH-000198,-0.05015198134131608
ACH-000203,-0.3137680202905029
ACH-000204,-0.0038125248532015787
ACH-000206,-0.009355521808508521
ACH-000207,-0.10999418248866763
ACH-000208,-0.2165334119007588
ACH-000210,-0.17617390040251352
ACH-000211,-0.17848497796448498
ACH-000215,-0.15993763333848687
ACH-000221,-0.11449817028382492
ACH-000222,-0.030633304628855943
ACH-000223,-0.15937971018885466
ACH-000226,-0.1633016976752782
ACH-000227,-0.13306561188597035
ACH-000228,-0.25518984955828283
ACH-000231,-0.08493804106584983
ACH-000232,-0.2544265665163956
ACH-000233,-0.2791029782849609
ACH-000234,-0.3308371468932748
ACH-000235,-0.07265759704607835
ACH-000237,-0.15327283852003598
ACH-000238,-0.2366837414583569
ACH-000242,-0.15281120782272686
ACH-000243,-0.1517118075903425
ACH-000244,-0.19601779758887705
ACH-000246,-0.02203929996378717
ACH-000248,-0.16903126344487832
ACH-000250,-0.22382449719540626
ACH-000251,-0.18332087143616724
ACH-000252,-0.03702984097441362
ACH-000253,-0.14787673642835938
ACH-000255,-0.21058278411118844
ACH-000256,-0.24245452742672804
ACH-000257,-0.06776729818190619
ACH-000258,-0.04884116658999869
ACH-000259,-0.0793930461877541
ACH-000260,-0.15936747055790526
ACH-000261,-0.02479387736886713
ACH-000262,-0.1863140996076613
ACH-000263,-0.3251336491445149
ACH-000264,-0.2372330444674631
ACH-000265,-0.15732223053372027
ACH-000266,-0.04227107196009508
ACH-000272,-0.0833912408867287
ACH-000274,-0.28069656533627385
ACH-000277,-0.04153392487865044
ACH-000278,-0.1661980444768463
ACH-000279,-0.13428187234669706
ACH-000280,-0.1149986694652468
ACH-000281,-0.046993493914117584
ACH-000288,-0.1716269566331594
ACH-000291,-0.16764451643849315
ACH-000293,-0.1673837369969517
ACH-000294,-0.3090401675514249
