,HIST1H2AJ (8331)
ACH-000004,-0.4041439341270681
ACH-000005,-0.9978813972867776
ACH-000007,-0.11322313022435655
ACH-000009,-0.2807697945988468
ACH-000011,-0.2331913794004024
ACH-000012,-0.326869925599397
ACH-000013,-0.4658121936307034
ACH-000014,-0.4565443583596854
ACH-000015,-0.2114534516638273
ACH-000017,-0.5515298643523658
ACH-000018,-0.11450964721360166
ACH-000019,-0.3053902764601217
ACH-000021,-0.2286441554669816
ACH-000022,-0.29147544600300457
ACH-000025,-0.3765683449306921
ACH-000028,-0.4135035788178621
ACH-000030,-0.272062510135831
ACH-000035,-0.4283783494655565
ACH-000036,-0.2200894220778791
ACH-000037,-0.057526189394219336
ACH-000039,-0.3498440049234363
ACH-000040,-0.4275432261294624
ACH-000041,-0.4425925262609913
ACH-000042,-0.3606055321097157
ACH-000045,-0.3522508045906184
ACH-000047,-0.30825992406762115
ACH-000052,-0.28843890379747605
ACH-000053,-0.2778742600416315
ACH-000054,-0.08365731091297808
ACH-000055,-0.3424837768111516
ACH-000060,-0.3635649463267652
ACH-000067,-0.28867033286297017
ACH-000070,-0.3485391339306643
ACH-000075,-0.2469289446027696
ACH-000078,-0.3790008403217099
ACH-000082,-0.38085793899496495
ACH-000085,-0.41316785870851597
ACH-000086,-0.2130080426921533
ACH-000087,-0.11376216230208518
ACH-000092,-0.4001239378649956
ACH-000095,-0.38767481449297203
ACH-000097,-0.30530584110501424
ACH-000098,-0.3689036010126965
ACH-000099,-0.30407770626273706
ACH-000108,-0.26553692433695736
ACH-000113,-0.3990512912182948
ACH-000116,-0.4266200611566613
ACH-000118,-0.3980330712216058
ACH-000120,-0.2514626821512325
ACH-000123,-0.4972212007006842
ACH-000127,-0.30911101191969376
ACH-000128,-0.12454596307623578
ACH-000132,-0.2859716744882532
ACH-000133,-0.37306555128174
ACH-000137,-0.2530755896932817
ACH-000138,-0.521157863585856
ACH-000142,-0.4691325493500348
ACH-000143,-0.33089736123863595
ACH-000146,-0.4708292596785145
ACH-000148,-0.30625717369156696
ACH-000150,-0.3609306141348161
ACH-000152,-0.04373191479564762
ACH-000153,-0.4484832299010369
ACH-000159,-0.5265330966353087
ACH-000160,-0.3285566775517857
ACH-000163,-0.3093487203245312
ACH-000167,-0.3690597551359034
ACH-000168,-0.44784433190519196
ACH-000169,-0.4136513739388243
ACH-000178,-0.4166372653527536
ACH-000183,-0.30771942257902823
ACH-000188,-0.3169167631149599
ACH-000189,-0.2135578364015511
ACH-000190,-0.1257305036112607
ACH-000198,-0.3956388654949189
ACH-000203,-0.3681096946889432
ACH-000204,-0.5510414393853951
ACH-000206,-1.1652736164130812
ACH-000207,-0.5815041750723895
ACH-000208,-0.21819529474169774
ACH-000210,-0.5263245074315839
ACH-000211,-0.3015620165459171
ACH-000215,-0.37599067297683497
ACH-000221,-0.3057044293753916
ACH-000222,-0.3286634907513201
ACH-000223,-0.28771548863013235
ACH-000226,-0.2158498421683516
ACH-000227,-0.3731970748060634
ACH-000228,-0.32242349538341936
ACH-000231,-0.36186719444618376
ACH-000232,-0.3343343668320271
ACH-000233,-0.3986066885982448
ACH-000234,-0.2360332885887449
ACH-000235,-0.45861877164947
ACH-000237,-0.3774630896973744
ACH-000238,-0.4189558540503887
ACH-000242,-0.11234611137078054
ACH-000243,-0.4774599603792544
ACH-000244,-0.36042758246482
ACH-000246,-0.2598524050454411
ACH-000248,-0.3446252339317404
