,TOMM40L (84134)
ACH-000004,0.10353911492767384
ACH-000005,-0.2377107458479606
ACH-000007,-0.09960543369426174
ACH-000009,-0.0741784499163347
ACH-000011,0.014270838711640319
ACH-000012,-0.01715806036517624
ACH-000013,-0.04793311239674067
ACH-000014,0.08226791445288152
ACH-000015,-0.0814073203365042
ACH-000017,0.0053393527273104145
ACH-000018,0.08229477558367172
ACH-000019,-0.0016078037742638465
ACH-000021,-0.019711522128988128
ACH-000022,0.034253449308282675
ACH-000025,-0.18152398043504345
ACH-000028,0.015823721271822782
ACH-000030,0.08123426762514288
ACH-000035,0.0310503008413444
ACH-000036,0.04279004750414437
ACH-000037,0.06957197580638276
ACH-000039,0.02768395105529061
ACH-000040,0.08444765554636179
ACH-000041,0.03686672309463847
ACH-000042,0.026696070824202688
ACH-000045,-0.04240157325999008
ACH-000047,-0.041571405598353865
ACH-000052,-0.01700489815832862
ACH-000053,0.04409247027074114
ACH-000054,-0.0637465444973308
ACH-000055,-0.07173071493297073
ACH-000060,0.011741897675218587
ACH-000067,0.06472096132745295
ACH-000070,-0.037045033503401034
ACH-000075,0.017012552607091242
ACH-000078,0.1986369661968032
ACH-000082,-0.07518219512089097
ACH-000085,0.016491344547427726
ACH-000086,-0.10111270774244888
ACH-000087,0.05669162795436316
ACH-000092,-0.10567646731700504
ACH-000095,-0.0017270069892263546
ACH-000097,0.0916355246697612
ACH-000098,-0.04766023060411071
ACH-000099,0.0592923551399306
ACH-000108,-0.0020157500634911847
ACH-000113,0.005591207738419838
ACH-000116,0.07553372152196329
ACH-000118,0.0376577229856378
ACH-000120,0.15530241780476384
ACH-000123,-0.04844730895049948
ACH-000127,-0.03660594255774947
ACH-000128,-0.102441097513225
ACH-000132,-0.09468032049281153
ACH-000133,-0.001697641766626538
ACH-000137,-0.008262503475155445
ACH-000138,0.03643300648635733
ACH-000142,0.0067651882380587855
ACH-000143,0.2081700452311213
ACH-000146,-0.025069752689992644
ACH-000148,-0.09620437876795908
ACH-000150,-0.0014701613459714839
ACH-000152,0.0201164117694008
ACH-000153,-0.2629674829519336
ACH-000159,-0.09262113540966764
ACH-000160,-0.02271976008507502
ACH-000163,-0.13727163751502186
ACH-000167,-0.28614887719559634
ACH-000168,-0.0030035709870010817
ACH-000169,-0.0016582430578896234
ACH-000178,-0.05432554271741558
