,WSB1 (26118)
ACH-000004,-0.04338605366923305
ACH-000005,-0.10397414563886492
ACH-000007,-0.08784988179998081
ACH-000009,-0.0796907043508505
ACH-000011,-0.023964060005556537
ACH-000012,0.05896348967040858
ACH-000013,-0.05674685518707439
ACH-000014,-0.016231425783448016
ACH-000015,0.11232010416949363
ACH-000017,-0.26187156553180896
ACH-000018,-0.0544860911335298
ACH-000019,-0.21903341756062072
ACH-000021,-0.1893022704028234
ACH-000022,-0.13644847969613338
ACH-000025,0.16254220805920988
ACH-000028,-0.002247837544545929
ACH-000030,-0.046656707023679
ACH-000035,-0.29964480131847626
ACH-000036,0.01673550911623895
ACH-000037,-0.13388263209442738
ACH-000039,0.005041753807291605
ACH-000040,0.03288885783399185
ACH-000041,0.14430125168542166
ACH-000042,-0.0062016585165176425
ACH-000045,-0.7785009970251404
ACH-000047,0.07110490620215376
ACH-000052,-0.0591267690735172
ACH-000053,-0.3100957688925421
ACH-000054,-0.022842273063474645
ACH-000055,-0.371054332955757
ACH-000060,-0.0701943362621709
ACH-000067,-0.1920782184309272
ACH-000070,-0.5552458364535529
ACH-000075,-0.06907893074263183
ACH-000078,0.11521766723839368
ACH-000082,-0.2351175026407112
ACH-000085,-0.04396329181908512
ACH-000086,0.01075128513421167
ACH-000087,0.13149184016010948
ACH-000092,0.06275389965849161
ACH-000095,-0.3715987996686743
ACH-000097,-0.1568682133338926
ACH-000098,-0.08667801548199976
ACH-000099,-0.04501490277044695
ACH-000108,-0.13715547405930115
ACH-000113,-0.4126695080825971
ACH-000116,-0.17524645320603
ACH-000118,0.018397360376005468
ACH-000120,-0.21248876165472388
ACH-000123,0.007634313878072914
ACH-000127,0.2302817717706309
ACH-000128,-0.046589496073125895
ACH-000132,-0.019682798140683102
ACH-000133,-0.00971811311566719
ACH-000137,-0.24389591493281
ACH-000138,-0.10650728394922902
ACH-000142,-0.31728488827889245
ACH-000143,0.2324573294627881
ACH-000146,-0.408783998469524
ACH-000148,-0.15948933973023674
ACH-000150,0.19189990283461933
ACH-000152,-0.011150867003340349
ACH-000153,0.06003177301802572
ACH-000159,-0.02945971828416972
ACH-000160,-0.05602168937961823
ACH-000163,0.03891707186719714
ACH-000167,-0.18097345310492086
ACH-000168,-0.24899542133842856
ACH-000169,0.026589420029917453
ACH-000178,0.005844715638879315
ACH-000183,0.02230074392795777
ACH-000188,-0.06800580372992471
ACH-000189,-0.1669063812177925
ACH-000190,-0.14004828590539173
ACH-000198,-0.7444073294818101
ACH-000203,0.035402789874633744
ACH-000204,-0.13957091647437814
ACH-000206,0.005753758770603802
ACH-000207,-0.16532704162261644
ACH-000208,0.10386132530098867
ACH-000210,0.09826733988830152
ACH-000211,-0.027645963218422102
ACH-000215,-0.05326420973649357
ACH-000221,0.05985203957502287
ACH-000222,-0.015861986433257282
ACH-000223,-0.10337280871715926
ACH-000226,-0.007571820785323782
ACH-000227,0.13038381166966473
ACH-000228,-0.22684853574393465
ACH-000231,-0.018488658932761182
ACH-000232,0.058713309712212274
ACH-000233,-0.12033024918777492
ACH-000234,-0.20867244451614672
ACH-000235,-0.11285673621279133
ACH-000237,0.005244173115688914
ACH-000238,-0.122974527970752
ACH-000242,-0.4683412723085708
ACH-000243,-0.054977799775627965
ACH-000244,0.04794474156024528
ACH-000246,0.04123302130463183
ACH-000248,-0.2698949319435053
ACH-000250,-0.002721932986873723
ACH-000251,-0.24173159350229295
ACH-000252,0.27035982495205085
ACH-000253,0.10729789698272033
ACH-000255,-0.11212694986789748
ACH-000256,0.11759830533655305
ACH-000257,-4.257171186025308e-05
ACH-000258,-0.08886055852844138
ACH-000259,-0.2525232964266736
ACH-000260,-0.168677383675699
ACH-000261,-0.08503811028234227
ACH-000262,0.027911032211638133
ACH-000263,0.06726212178964834
ACH-000264,-0.01027159589962475
ACH-000265,-0.066735419128203
ACH-000266,-0.13854830543605007
ACH-000272,-0.21234444748008316
ACH-000274,-0.14753416699759325
ACH-000277,-0.07504587640315119
ACH-000278,-0.0971779889188698
ACH-000279,-0.14086687458008754
ACH-000280,0.023437732538681973
ACH-000281,-0.05037984383069582
ACH-000288,-0.0588476942018871
ACH-000291,-0.049898324250329744
ACH-000293,-0.030464703909506032
ACH-000294,-0.006686109849853721
ACH-000295,-0.2998574665615871
ACH-000296,-0.11454622486474465
ACH-000302,0.11026600669626692
ACH-000304,-0.2150856930517533
ACH-000307,-0.08112483599529348
ACH-000308,-0.04469216629763628
ACH-000310,-0.03734136610588014
ACH-000311,-0.04367099765372759
ACH-000312,0.09902636017040163
ACH-000315,0.014831287661899832
