,SELP (6403)
ACH-000004,-0.2593443241544325
ACH-000005,-0.4226738101278427
ACH-000007,-0.17742825096832104
ACH-000009,-0.1658026378870953
ACH-000011,0.006336847700053775
ACH-000012,-0.07039121543528976
ACH-000013,-0.028588442987987663
ACH-000014,-0.07318767787039886
ACH-000015,-0.022126105143453586
ACH-000017,-0.1625636836417493
ACH-000018,0.002758314619947529
ACH-000019,-0.21625229846809574
ACH-000021,-0.08807693327970646
ACH-000022,-0.04421261135254791
ACH-000025,-0.07792284705825757
ACH-000028,-0.21634197716998405
ACH-000030,-0.021480528661760392
ACH-000035,-0.09136115675893823
ACH-000036,0.01428023343928049
ACH-000037,-0.1088487772825354
ACH-000039,-0.07148769279498622
ACH-000040,-0.0322606056924421
ACH-000041,0.041479028718713416
ACH-000042,0.010526747455606542
ACH-000045,0.13166732674996529
ACH-000047,-0.15105891474927785
ACH-000052,-0.022842622728878745
ACH-000053,-0.08953907349099699
ACH-000054,-0.0297807583402796
ACH-000055,-0.1752932997638108
ACH-000060,0.013491449607684643
ACH-000067,0.03443151777613676
ACH-000070,0.021132829056727802
ACH-000075,0.007110963601167528
ACH-000078,0.0839769522325857
ACH-000082,-0.010951433913879993
ACH-000085,-0.07087785325725993
ACH-000086,-0.17103795262833246
ACH-000087,0.10100766997207968
ACH-000092,-0.11608595538084768
ACH-000095,-0.018369079823495785
ACH-000097,-0.11563337517093598
ACH-000098,0.015994725178685894
ACH-000099,-0.03609247118824191
ACH-000108,-0.11610214724853815
ACH-000113,-0.04696878269897064
ACH-000116,-0.16325950033444692
ACH-000118,-0.05608436687768952
ACH-000120,-0.15033382620909685
ACH-000123,0.005798661669788541
ACH-000127,-0.08373395065342865
ACH-000128,-0.05309056910945805
ACH-000132,-0.1364209146460151
ACH-000133,-0.12731706202937462
ACH-000137,0.04196877376541985
ACH-000138,-0.0022788910840593484
ACH-000142,-0.11195267861016743
ACH-000143,-0.06538379588838851
ACH-000146,-0.027764555638525302
ACH-000148,-0.1554612600421006
ACH-000150,0.005236997518552763
ACH-000152,-0.042601589267404746
