,CPM (1368)
ACH-000004,0.072269292645459
ACH-000005,-0.1978248974779702
ACH-000007,-0.0136593779060474
ACH-000009,0.03672673248276652
ACH-000011,0.04706961284610967
ACH-000012,0.12461972302316432
ACH-000013,0.042508041682387816
ACH-000014,0.06676309639643653
ACH-000015,-0.1038233030410754
ACH-000017,0.016762504632974306
ACH-000018,-0.1353996795997824
ACH-000019,-0.04722000635387173
ACH-000021,-0.10512109228724803
ACH-000022,0.09898882902641523
ACH-000025,0.05111251857076648
ACH-000028,0.00609499783702562
ACH-000030,0.09212469888765393
ACH-000035,0.024498554787636597
ACH-000036,-0.07538976438383255
ACH-000037,-0.06707731511607762
ACH-000039,0.05460338414089051
ACH-000040,0.0009744913280608783
ACH-000041,-0.11165468275526598
ACH-000042,0.05083663196671954
ACH-000045,0.06598393445203989
ACH-000047,0.09504226172607824
ACH-000052,0.10800496279092964
ACH-000053,-0.013819328651610495
ACH-000054,0.048192921419624335
ACH-000055,0.08269125901025093
ACH-000060,-0.05402025678003891
ACH-000067,-0.12767592785168574
ACH-000070,-0.0650274148392743
ACH-000075,0.016169924630385888
ACH-000078,0.10880318738772256
ACH-000082,0.03584419981786339
ACH-000085,-0.05717051453443176
ACH-000086,-0.061470912552975536
ACH-000087,0.003573750468878924
ACH-000092,0.01915406057462966
ACH-000095,-0.0011179562602488854
ACH-000097,-0.034007785014720154
ACH-000098,0.0887931193830933
ACH-000099,0.06652094144669048
ACH-000108,0.060517775788742977
ACH-000113,-0.1461697594991845
ACH-000116,-0.06418656578121427
ACH-000118,-0.05050215094229121
ACH-000120,-0.013881945370110359
ACH-000123,-0.028091071042305654
ACH-000127,0.07023615602914904
ACH-000128,-0.1721569600045068
ACH-000132,0.10615883250626013
ACH-000133,-0.09055340975518772
ACH-000137,-0.204831346487436
ACH-000138,-0.030658247095154686
ACH-000142,0.09517057775341964
ACH-000143,-0.011615298846834746
ACH-000146,0.08176205543540847
ACH-000148,-0.07536690566736791
ACH-000150,-0.009586531635553043
ACH-000152,-0.045366431218270234
ACH-000153,-0.15194004515542928
ACH-000159,-0.03978545212604394
ACH-000160,-0.06065164802752593
ACH-000163,0.05585716618407492
ACH-000167,0.028275215636191287
ACH-000168,0.05195818209489843
ACH-000169,0.09496979491123714
ACH-000178,0.013791081986851831
ACH-000183,-0.0481850253603761
ACH-000188,0.015090920768053647
ACH-000189,-0.1463071086619646
