,GATAD2A (54815)
ACH-000004,-0.24320499752972916
ACH-000005,-0.15409607565667946
ACH-000007,-0.3542471501910896
ACH-000009,-0.4497523110550321
ACH-000011,-0.4250081013004596
ACH-000012,-0.28757404364255984
ACH-000013,-0.3859221365207307
ACH-000014,-0.6077987882094378
ACH-000015,-0.4956242313013816
ACH-000017,-0.19965633691241774
ACH-000018,-0.4035343758666093
ACH-000019,-0.4864145647801765
ACH-000021,-0.2607980263989169
ACH-000022,-0.3831793535305312
ACH-000025,-0.4479964847399997
ACH-000028,-0.6335540718895804
ACH-000030,-0.2565708969913392
ACH-000035,-0.1806648020896177
ACH-000036,-0.8098458659379477
ACH-000037,-0.4239451951445881
ACH-000039,-0.2140863571049139
ACH-000040,-0.4601855795009752
ACH-000041,-0.33389433643624605
ACH-000042,-0.2926142855563281
ACH-000045,-0.27182559711909315
ACH-000047,-0.34627537265809955
ACH-000052,-0.4148121671884377
ACH-000053,-0.4384401885146241
ACH-000054,-0.4177087147796059
ACH-000055,-0.14034380475772965
ACH-000060,-0.2769529927996907
ACH-000067,-0.4386978932130951
ACH-000070,-0.44206835481843626
ACH-000075,-0.5983466550712219
ACH-000078,-0.2584465278906773
ACH-000082,-0.4006466901743003
ACH-000085,-0.4319781215990749
ACH-000086,-0.5435783383825097
ACH-000087,-0.323374322646649
ACH-000092,-0.3898386175148992
ACH-000095,-0.25746897688956594
ACH-000097,-0.5473539646825551
ACH-000098,-0.2514474340056991
ACH-000099,-0.5260478355552055
ACH-000108,-0.11874860442278395
ACH-000113,-0.6414359100071376
ACH-000116,-0.4380887498628575
ACH-000118,-0.3459289072894714
ACH-000120,-0.23935840953374454
ACH-000123,-0.393517372951934
ACH-000127,-0.24369247410774286
ACH-000128,-0.289586313819013
ACH-000132,-0.24923769551211974
ACH-000133,-0.3449194605843532
ACH-000137,-0.3823083608809175
ACH-000138,-0.40446986458121503
ACH-000142,-0.6632677661734809
ACH-000143,-0.209106930159828
ACH-000146,-0.3277876751294105
ACH-000148,-0.4904746024821716
ACH-000150,-0.10942096782993488
ACH-000152,-0.3535118843577652
ACH-000153,-0.5771123574241126
ACH-000159,-0.4518311423390216
ACH-000160,0.07195663634905257
ACH-000163,-0.3241248229481896
ACH-000167,0.25046001844624194
ACH-000168,-0.4158986158805543
ACH-000169,-0.3310732697143993
ACH-000178,-0.3630953218038702
ACH-000183,-0.3234320651540045
ACH-000188,-0.4739021474005246
ACH-000189,-0.5730419804511055
ACH-000190,-0.1367936113964033
ACH-000198,-0.4202307808414708
ACH-000203,-0.6066000571435539
ACH-000204,-0.2085054866836684
ACH-000206,-0.13761818841758758
ACH-000207,-0.409996748003393
ACH-000208,-0.4623784536696253
ACH-000210,-0.563856218519897
ACH-000211,-0.4529391190542923
ACH-000215,-0.3222420864970423
ACH-000221,-0.6013799551972342
ACH-000222,-0.340140967670255
ACH-000223,-0.19124176333856127
ACH-000226,-0.3121698936648847
ACH-000227,-0.3687734913123599
ACH-000228,-0.4679080090358349
ACH-000231,-0.3172343166993177
ACH-000232,-0.4059189513060453
ACH-000233,-0.4223690619496057
ACH-000234,-0.6053388594950615
ACH-000235,-0.4663515942227386
ACH-000237,-0.4815392177618
ACH-000238,0.014441907208553588
ACH-000242,-0.13450687578371173
ACH-000243,-0.6035483493139885
ACH-000244,-0.4928235553744984
ACH-000246,-0.3812424059531554
ACH-000248,-0.2609564922951521
ACH-000250,-0.486244186054973
ACH-000251,-0.2619280329312808
ACH-000252,-0.4307484861692154
ACH-000253,-0.6440344493713559
ACH-000255,-0.4423365045016013
ACH-000256,-0.3055310684232759
ACH-000257,-0.3154723752728324
ACH-000258,-0.2798674184764132
ACH-000259,-0.21203514962290465
