,PIGS (94005)
ACH-000004,-0.2353436664410017
ACH-000005,-0.2892252747325001
ACH-000007,-0.07036712660453373
ACH-000009,-0.2052863749677797
ACH-000011,-0.421956523972873
ACH-000012,-0.3182591374265559
ACH-000013,-0.10814742648987734
ACH-000014,-0.13998795228721134
ACH-000015,-0.17960167629803264
ACH-000017,-0.4677313053735004
ACH-000018,-0.15131547788486102
ACH-000019,-0.3731992216160517
ACH-000021,-0.18100136045997245
ACH-000022,-0.3484687642897929
ACH-000025,-0.07964432415194174
ACH-000028,-0.22277913280204428
ACH-000030,-0.22297044949609296
ACH-000035,-0.4627356029963706
ACH-000036,-0.1935008557350091
ACH-000037,-0.21604015665733434
ACH-000039,-0.3754885187684891
ACH-000040,-0.42638713263641903
ACH-000041,-0.2487100815270587
ACH-000042,-0.2430521706410695
ACH-000045,-0.17569990347545908
ACH-000047,-0.3884494188249961
ACH-000052,-0.17312394869254655
ACH-000053,-0.4139395306789345
ACH-000054,-0.25028373785425245
ACH-000055,0.07185583957269298
ACH-000060,-0.49376348838199896
ACH-000067,-0.246318210319488
ACH-000070,-0.2539723088124612
ACH-000075,-0.03324034899965979
ACH-000078,-0.2275299662638795
ACH-000082,-0.4964179095828258
ACH-000085,-0.5366224249503295
ACH-000086,-0.3391621926520224
ACH-000087,-0.27084939030932403
ACH-000092,-0.22481750725099486
ACH-000095,-0.19564378820517364
ACH-000097,-0.2540610971661
ACH-000098,-0.3530324262814919
ACH-000099,-0.17558177261474564
ACH-000108,-0.271691344894105
ACH-000113,-0.26113666164149035
ACH-000116,-0.15983673067431006
ACH-000118,-0.4053398015912486
ACH-000120,-0.20962484033588968
ACH-000123,-0.23168198018080605
ACH-000127,-0.17833520847368245
ACH-000128,-0.2467986823649594
ACH-000132,-0.2072646291211316
ACH-000133,-0.1500854487987742
ACH-000137,-0.2349732763928608
ACH-000138,-0.3228269331491165
ACH-000142,-0.3979197381415016
ACH-000143,-0.15903598311884276
ACH-000146,-0.3683021000876229
ACH-000148,-0.31450724721426826
ACH-000150,-0.3422372362708826
ACH-000152,-0.26555797556413363
ACH-000153,-0.06011166989754771
ACH-000159,-0.09611714493529484
ACH-000160,-0.2962019869710473
ACH-000163,-0.2093469360720781
ACH-000167,-0.6018071280230183
ACH-000168,-0.32392705183098164
ACH-000169,-0.3057483910019523
ACH-000178,-0.22367280834185452
ACH-000183,-0.4721471575759708
ACH-000188,-0.3658620336855791
ACH-000189,-0.27360028405168896
ACH-000190,-0.2524336918146554
ACH-000198,-0.105390261707629
ACH-000203,0.2152220010633046
ACH-000204,-0.17874481040997053
