,VN1R1 (57191)
ACH-000004,-0.09741880142971493
ACH-000005,-0.003892061667479885
ACH-000007,0.10402597432520913
ACH-000009,-0.1390728058105025
ACH-000011,-0.044478916283722456
ACH-000012,-0.11519655138390915
ACH-000013,-0.20625387505540896
ACH-000014,-0.026991521035907424
ACH-000015,-0.10506073018109433
ACH-000017,0.2692277590213755
ACH-000018,0.02621429750057002
ACH-000019,-0.1226318325515092
ACH-000021,-0.16486220287842265
ACH-000022,-0.0736528171849729
ACH-000025,-0.114048843496002
ACH-000028,-0.00333586366154576
ACH-000030,-0.20529941802964588
ACH-000035,-0.03647076713907719
ACH-000036,0.02223042541516084
ACH-000037,0.0013933529472161873
ACH-000039,-0.1525385643352953
ACH-000040,-0.0014828860543009445
ACH-000041,-0.005242392147584232
ACH-000042,-0.035929175962265004
ACH-000045,0.015007148672081728
ACH-000047,-0.12372591010478835
ACH-000052,-0.08881748065136441
ACH-000053,-0.08543811153951962
ACH-000054,-0.058929020988990326
ACH-000055,0.04495179042870276
ACH-000060,0.10108369919354712
ACH-000067,-0.0857083137882665
ACH-000070,-0.12850389903438028
ACH-000075,-0.028546964167309362
ACH-000078,-0.030053599619122344
ACH-000082,-0.0512899483752144
ACH-000085,-0.07832428600197207
ACH-000086,-0.1417948174094014
ACH-000087,-0.2655706942585149
ACH-000092,-0.06995688283085114
ACH-000095,-0.013075891298097891
ACH-000097,-0.13401011180042735
ACH-000098,-0.12065653655699132
ACH-000099,-0.17714153980574612
ACH-000108,-0.02660915019013799
ACH-000113,-0.10474435516848164
ACH-000116,-0.03619366786589618
ACH-000118,-0.004343906810053052
ACH-000120,0.01105178428400047
ACH-000123,-0.14554194028657216
ACH-000127,-0.05530836795166051
ACH-000128,-0.05341787284910647
ACH-000132,-0.13861544811420834
ACH-000133,-0.15306521896832567
ACH-000137,-0.0012131889283692472
ACH-000138,-0.13131848305552404
ACH-000142,-0.05171854147211947
ACH-000143,-0.026645603342578348
ACH-000146,-0.1358901702971497
ACH-000148,0.005690984069498726
ACH-000150,-0.04357262214025912
ACH-000152,-0.09387862061127927
ACH-000153,0.1572404479322337
ACH-000159,-0.06937821498554424
ACH-000160,-0.12241751846434842
ACH-000163,0.01867555696604906
ACH-000167,-0.06281450939586107
ACH-000168,-0.10534214595551776
ACH-000169,-0.08275460085876185
ACH-000178,-0.050972780914257936
ACH-000183,0.003161791624789959
ACH-000188,-0.15660059825817635
ACH-000189,-0.15989740750549442
ACH-000190,-0.2835908370212469
ACH-000198,0.04270886027623407
ACH-000203,-0.3617077431679566
ACH-000204,0.030122553517982962
ACH-000206,-0.05500359427189249
ACH-000207,-0.1420774242606432
ACH-000208,-0.14034102582346564
ACH-000210,0.08313491571006616
ACH-000211,0.019044360484390285
ACH-000215,-0.05749370339294384
ACH-000221,-0.15978945929619465
ACH-000222,-0.12360285426381333
ACH-000223,-0.1153883230782848
ACH-000226,0.12531557943236604
ACH-000227,-0.0063351904617208995
ACH-000228,-0.02167463589140631
ACH-000231,-0.0075473372636577375
ACH-000232,-0.16362597902285764
ACH-000233,-0.06590323686070193
ACH-000234,-0.08559714195160797
ACH-000235,-0.007077571371191123
