,TOPBP1 (11073)
ACH-000004,-0.5757513384641159
ACH-000005,-0.5091885424309158
ACH-000007,-0.7146013494023751
ACH-000009,-0.7868598739660329
ACH-000011,-0.6582701519858305
ACH-000012,-0.6790276265074048
ACH-000013,-1.0429403125564338
ACH-000014,-0.8139488680924424
ACH-000015,-0.697482640513473
ACH-000017,-0.6816964346361206
ACH-000018,-0.5395490785267933
ACH-000019,-0.9960848325532712
ACH-000021,-0.7258177086431704
ACH-000022,-0.6360866147724447
ACH-000025,-0.7962908033726329
ACH-000028,-0.8053236755306031
ACH-000030,-0.6408384880858184
ACH-000035,-0.6971282373024563
ACH-000036,-0.6620108240153865
ACH-000037,-0.4745110205401416
ACH-000039,-0.69716329748972
ACH-000040,-0.6412813412371494
ACH-000041,-0.7733591862597449
ACH-000042,-0.5342210031881608
ACH-000045,-0.6659157235244384
ACH-000047,-0.9724294041596816
ACH-000052,-0.7096847434549296
ACH-000053,-0.7272545880038959
ACH-000054,-0.6199702757867911
ACH-000055,-0.8960818723874425
ACH-000060,-0.6760065200758035
ACH-000067,-0.9379247368362214
ACH-000070,-0.6811495726645543
ACH-000075,-1.0002335051418392
ACH-000078,-0.4345821026478765
ACH-000082,-0.3683060446331808
ACH-000085,-0.8115353865717472
ACH-000086,-0.8373419284283804
ACH-000087,-0.9977545797689928
ACH-000092,-0.4498465092301379
ACH-000095,-0.8499253462685256
ACH-000097,-0.9261255972377912
ACH-000098,-0.7163866737272185
ACH-000099,-0.7327320575559609
ACH-000108,-0.870600740273025
ACH-000113,-0.8618758306352958
ACH-000116,-0.9825645866601416
ACH-000118,-0.7191676664607312
ACH-000120,-0.7462932615367662
ACH-000123,-0.7357199928436632
ACH-000127,-0.7232268651956608
ACH-000128,-0.6289902368081761
ACH-000132,-0.7068477515219317
ACH-000133,-0.8364161213552601
ACH-000137,-0.7307480070687471
ACH-000138,-0.6804306564506336
ACH-000142,-0.3870393196276276
ACH-000143,-0.7299963010968372
ACH-000146,-0.6035289734390561
ACH-000148,-0.7760018373051888
ACH-000150,-0.6073866368494685
ACH-000152,-0.9719596056388904
ACH-000153,-0.8092480724771743
ACH-000159,-0.8562893407931185
