,TXNL4A (10907)
ACH-000004,-1.3716635943454012
ACH-000005,-1.9538495624808139
ACH-000007,-1.3950314385050924
ACH-000009,-1.3933162553187168
ACH-000011,-1.5016880949880187
ACH-000012,-1.6407104334886062
ACH-000013,-1.7323385677184853
ACH-000014,-1.5994851248754722
ACH-000015,-1.5333628711581706
ACH-000017,-1.5195392761029658
ACH-000018,-1.5372249100371098
ACH-000019,-1.850836276291892
ACH-000021,-1.3661631447465197
ACH-000022,-1.6598287441779283
ACH-000025,-1.3770716148151956
ACH-000028,-1.5561877021378117
ACH-000030,-1.5538932596705015
ACH-000035,-1.2663420003851091
ACH-000036,-1.2300165191872772
ACH-000037,-1.6483447881961888
ACH-000039,-1.7687587690877509
ACH-000040,-1.4731124547596015
ACH-000041,-1.4919305498645947
ACH-000042,-1.4624226706600725
ACH-000045,-1.5451388945183369
ACH-000047,-1.4796202270415968
ACH-000052,-1.2446130650503335
ACH-000053,-1.5060383476042083
ACH-000054,-1.5060857673221586
ACH-000055,-1.3356189983680062
ACH-000060,-1.5274270021169132
ACH-000067,-1.4083798718476603
ACH-000070,-1.5353647028304231
ACH-000075,-1.1643186828381822
ACH-000078,-1.6119268395816542
ACH-000082,-1.5496917347436714
ACH-000085,-1.7520404598433024
ACH-000086,-1.2333877891672067
ACH-000087,-1.7066675210776632
ACH-000092,-1.4098988682344875
ACH-000095,-1.4912470697699602
ACH-000097,-1.4565178435692736
ACH-000098,-1.458012255723394
ACH-000099,-1.3457604674460464
ACH-000108,-1.5421839830970103
ACH-000113,-1.2997658693361167
ACH-000116,-1.7603048013386062
ACH-000118,-1.5622517845736683
ACH-000120,-1.3093574560332613
ACH-000123,-1.4324768947486828
ACH-000127,-1.375541144422643
ACH-000128,-1.2063654472539993
ACH-000132,-1.512856306719314
ACH-000133,-1.4050695873490402
ACH-000137,-1.6443647284799991
ACH-000138,-1.4447497951637045
ACH-000142,-1.3612029310787783
ACH-000143,-1.593939439746145
ACH-000146,-1.6422639189403536
ACH-000148,-1.438508127375702
ACH-000150,-1.5021060971482578
ACH-000152,-1.3104779192752092
ACH-000153,-1.6626878263908846
ACH-000159,-1.398114185894115
ACH-000160,-1.6023032978377465
ACH-000163,-1.6276865832900582
ACH-000167,-2.1813813072302257
ACH-000168,-1.6476034470772831
ACH-000169,-1.5639171196777812
ACH-000178,-1.3689297459244991
ACH-000183,-1.4270185822965282
ACH-000188,-1.3874319555789854
ACH-000189,-1.2733124249386965
ACH-000190,-1.6287707960752358
ACH-000198,-1.5155579821858274
ACH-000203,-1.7968844290370138
ACH-000204,-1.15642339641055
ACH-000206,-1.9632419418990632
ACH-000207,-1.7224062793366737
ACH-000208,-1.4910427616095123
ACH-000210,-1.4518101378512718
ACH-000211,-1.4601963295937623
ACH-000215,-1.3316795392091778
ACH-000221,-1.8775754357581127
ACH-000222,-1.8385122930366171
ACH-000223,-1.6793131849611445
ACH-000226,-1.469489919480656
ACH-000227,-1.1661320821910506
ACH-000228,-1.4892258360409305
ACH-000231,-1.3265378455665435
ACH-000232,-1.5791773679842265
ACH-000233,-1.7201252889258745
ACH-000234,-1.8222093482952892
ACH-000235,-1.4732210261792282
ACH-000237,-1.4815258677600496
ACH-000238,-1.4001229804684487
ACH-000242,-1.409319609687001
ACH-000243,-1.5224448609640815
ACH-000244,-1.6909138865263076
ACH-000246,-1.5185983674726793
ACH-000248,-1.4449326189843148
ACH-000250,-1.3941695483691865
ACH-000251,-1.6020762318206057
ACH-000252,-1.3746679799268808
ACH-000253,-1.4597079926538328
ACH-000255,-1.4969228252307984
ACH-000256,-1.8003272598384157
ACH-000257,-1.1407687511017128
ACH-000258,-1.5907878077249251
ACH-000259,-1.6949172451746783
ACH-000260,-1.3957196017166649
ACH-000261,-1.5401964733095992
ACH-000262,-1.3167878292030253
ACH-000263,-1.632467021041669
ACH-000264,-1.4228811726933548
ACH-000265,-1.65943053916968
ACH-000266,-1.6448365235731008
ACH-000272,-1.3496636633012977
ACH-000274,-1.5446645659011704
ACH-000277,-1.825778033021204
