,HIST1H3J (8356)
ACH-000004,-0.13441153584996227
ACH-000005,0.1822402805841792
ACH-000007,-0.2339019935645722
ACH-000009,-0.12495485857408255
ACH-000011,-0.08419210960392719
ACH-000012,-0.22595180568137546
ACH-000013,-0.06437236987161113
ACH-000014,-0.09012726673950007
ACH-000015,-0.09344213098613972
ACH-000017,-0.0852290537018803
ACH-000018,-0.30725190927209195
ACH-000019,-0.13249270558937176
ACH-000021,-0.12470335213759813
ACH-000022,-0.10719181847574588
ACH-000025,-0.4400530131361831
ACH-000028,-0.16976906343109116
ACH-000030,-0.2761372254967301
ACH-000035,-0.18792181773445515
ACH-000036,-0.1737648781824237
ACH-000037,-0.1868274959423964
ACH-000039,-0.13653248787393782
ACH-000040,-0.19900315962993206
ACH-000041,-0.00037369728845875074
ACH-000042,-0.11182123100994948
ACH-000045,-0.08465206876811679
ACH-000047,-0.010829165448644172
ACH-000052,-0.358946307561938
ACH-000053,-0.2778870312096524
ACH-000054,-0.2312224662893213
ACH-000055,-0.33997825258069664
ACH-000060,-0.22294301412128892
ACH-000067,-0.15126001339576928
ACH-000070,-0.31357270473395804
ACH-000075,-0.36927345484912777
ACH-000078,-0.3015115291437339
ACH-000082,-0.1211835257479656
ACH-000085,-0.3127627460595224
ACH-000086,-0.4562405725901482
ACH-000087,-0.06693283350654128
ACH-000092,-0.1903597651765181
ACH-000095,-0.1189486799457566
ACH-000097,-0.27862221443704305
ACH-000098,-0.3665567186487245
ACH-000099,-0.15724889760144994
ACH-000108,-0.12514186022525906
ACH-000113,-0.31539329502824176
ACH-000116,-0.03627038741081845
ACH-000118,-0.284651102078853
ACH-000120,0.051520910889310934
ACH-000123,-0.1922307205632949
ACH-000127,-0.10939465937973414
ACH-000128,-0.21061883443431556
ACH-000132,-0.10867224463137562
ACH-000133,-0.11484185987299447
ACH-000137,-0.22354764521667744
ACH-000138,-0.20423478034823864
ACH-000142,-0.20892090916730266
ACH-000143,-0.08414063901162833
ACH-000146,-0.0516224199560593
ACH-000148,-0.12265351686334232
ACH-000150,0.12038726248352258
ACH-000152,-0.21000417837239688
ACH-000153,-0.2739014119706035
ACH-000159,-0.12429507873563547
ACH-000160,-0.3162512780919231
ACH-000163,-0.13024609582224367
ACH-000167,0.013585868741280007
ACH-000168,-0.1227244233270532
ACH-000169,-0.2914240538188477
ACH-000178,-0.19053582247218456
ACH-000183,-0.17388344572833614
ACH-000188,-0.3804781454426621
ACH-000189,-0.2423505370641786
ACH-000190,-0.2181044819628324
ACH-000198,-0.14605356873780204
ACH-000203,-0.4479055727566978
ACH-000204,-0.06052017639752375
ACH-000206,-0.3774305021997557
ACH-000207,-0.21616473523615784
ACH-000208,-0.09165972111349507
ACH-000210,0.09288287358724186
ACH-000211,-0.2254237825792702
ACH-000215,-0.271198780772905
ACH-000221,-0.05822579701937751
ACH-000222,-0.04635156787756047
ACH-000223,-0.2559652087684171
ACH-000226,-0.13728628275972907
ACH-000227,-0.1569531191856983
ACH-000228,-0.28799752858723005
ACH-000231,-0.20196835436916533
ACH-000232,-0.15945760461210715
ACH-000233,-0.2514760569256048
ACH-000234,0.033442153583343334
ACH-000235,-0.14038552303026575
ACH-000237,-0.2449152231913989
ACH-000238,-0.0907464202840572
ACH-000242,0.02062853378865639
ACH-000243,-0.14034599972179818
ACH-000244,-0.18125413654108605
ACH-000246,-0.19861704615865472
ACH-000248,-0.18174499030663474
ACH-000250,-0.16602313143170125
ACH-000251,-0.4460830393932492
ACH-000252,-0.28343730401567785
ACH-000253,-0.092583452910212
ACH-000255,-0.04851809276955986
ACH-000256,0.06063866383023949
ACH-000257,0.16578026729630546
ACH-000258,-0.2259951998557572
ACH-000259,-0.20127907859455324
ACH-000260,-0.26739333867860804
ACH-000261,-0.13038935069176574
ACH-000262,-0.299810798106024
ACH-000263,-0.20312017547747893
ACH-000264,-0.16187420449562212
ACH-000265,-0.3568942901840637
ACH-000266,-0.1580358581800213
ACH-000272,-0.19440279872482166
ACH-000274,-0.21262134959107265
ACH-000277,-0.0012413245877102188
ACH-000278,-0.2785503311852343
ACH-000279,-0.11830257201689932
ACH-000280,-0.11999147953152685
ACH-000281,-0.017270869479610984
ACH-000288,-0.19172984269159746
ACH-000291,-0.03747609279819868
ACH-000293,-0.08965129548299934
ACH-000294,-0.1959804164309355
ACH-000295,-0.1246863544885099
ACH-000296,-0.022533825188149347
ACH-000302,-0.15790457206565733
ACH-000304,-0.10490959576374513
ACH-000307,-0.17464434974550375
ACH-000308,-0.1869676252989015
ACH-000310,-0.2129902378402516
ACH-000311,-0.18618756218761148
ACH-000312,-0.06787744600800967
ACH-000315,-0.12923751165691946
ACH-000316,-0.04967479947537468
ACH-000317,-0.33915995408659383
ACH-000318,-0.06784615204057155
ACH-000319,-0.13654269354946838
ACH-000320,0.0752028201609061
ACH-000322,-0.005663156693779082
ACH-000323,-0.2307414611825465
ACH-000324,-0.16814086470491227
ACH-000329,-0.20467619825416825
ACH-000330,-0.22336682159774146
ACH-000331,-0.2698700438128884
ACH-000332,-0.17702218328402308
ACH-000334,-0.3419775391210601
ACH-000335,-0.3307938535087592
ACH-000336,0.14540713893207896
ACH-000337,-0.1572625812369298
ACH-000338,-0.458678807745356
ACH-000339,-0.1922275454302212
ACH-000341,0.003533851857715033
ACH-000348,-0.23138966781015885
ACH-000350,-0.06115608231261035
ACH-000352,-0.0010163718868185935
ACH-000356,-0.13422186296077865
ACH-000361,-0.16564299386298614
ACH-000362,-0.28893435121879296
ACH-000363,-0.14666886995638642
ACH-000364,-0.0953558704471823
ACH-000365,-0.08503728537834511
ACH-000366,-0.17863167821707798
ACH-000368,-0.18965191199940987
ACH-000374,-0.3915820083434239
ACH-000375,-0.16991618836581127
ACH-000376,-0.16015570357129766
ACH-000381,-0.2040844078354173
ACH-000383,-0.12192980378138404
ACH-000387,-0.17972276127043926
ACH-000389,-0.06502549715119385
ACH-000390,-0.03809719543829633
ACH-000393,-0.2375431709209315
ACH-000395,-0.10709884275893522
ACH-000396,-0.4790703125291013
ACH-000397,-0.05998933303887185
ACH-000401,-0.16603745009659926
ACH-000402,0.07144642822517955
ACH-000403,-0.13210816018555294
ACH-000404,-0.11350008391304445
ACH-000406,-0.142052641084213
ACH-000407,-0.06163964616076548
ACH-000408,-0.12337378734589298
ACH-000410,-0.2484289384338252
ACH-000411,-0.2788946035822133
ACH-000414,-0.1608182427582209
ACH-000415,-0.10218898929117216
ACH-000416,-0.13214279402918686
ACH-000420,0.029263939370367205
ACH-000421,-0.18957012243924906
ACH-000424,-0.2771222127465636
ACH-000425,-0.19348536218019408
ACH-000426,-0.10176982104868904
ACH-000427,-0.1917957413210464
ACH-000433,0.036524150010505324
ACH-000435,0.2445014015080213
ACH-000436,-0.13070406804789436
ACH-000444,-0.187432577817346
ACH-000445,-0.20900232582097145
ACH-000448,-0.02273477945638776
ACH-000450,-0.2980148852951541
ACH-000452,-0.3609082655456161
ACH-000454,-0.3756990385661889
ACH-000458,-0.21605837383487309
ACH-000459,-0.1783171405439215
ACH-000460,-0.11941418119765955
ACH-000461,-0.19622809931718976
ACH-000463,-0.38888647996528336
ACH-000464,0.016518786829154305
ACH-000466,-0.29448467780746923
ACH-000467,-0.1045303731952683
ACH-000468,-0.2133158507683797
ACH-000469,-0.25167999689657805
ACH-000470,-0.09480258006258832
ACH-000471,-0.1836564242576006
ACH-000472,-0.12725787393765453
ACH-000473,-0.1422909721794352
ACH-000475,-0.2419130936168092
ACH-000476,-0.178805108136551
ACH-000477,-0.12695128046734544
ACH-000479,-0.32312168577918965
ACH-000480,-0.18114633752590004
ACH-000481,-0.15071481517069846
ACH-000483,0.06016841047333391
ACH-000484,-0.015945949189116702
ACH-000485,-0.09659603219374957
ACH-000486,-0.2362978926995415
ACH-000487,-0.4194541551541562
ACH-000488,-0.24806418920170606
ACH-000490,-0.15729454494948533
ACH-000491,0.08038254386181654
ACH-000495,-0.0901714067782858
ACH-000496,-0.2421792868023452
ACH-000499,-0.2767210923436024
ACH-000500,-0.5661884141802219
ACH-000502,-0.126180362567306
ACH-000503,-0.053809015385758684
ACH-000505,-0.18157623536844414
ACH-000507,-0.2189185487362948
ACH-000510,-0.0807403495504861
ACH-000511,-0.362501611959761
ACH-000512,-0.3482833074489902
ACH-000516,-0.3326656462024807
ACH-000517,-0.2710829853160557
ACH-000518,-0.09790419784694518
ACH-000520,-0.044990158331094536
ACH-000521,-0.0915347617011288
ACH-000522,-0.1598901081643458
ACH-000524,-0.2327536287595749
ACH-000527,-0.12101003135288035
ACH-000528,-0.16775236148029032
ACH-000537,-0.20900012687474634
ACH-000541,0.10584711826599244
ACH-000542,-0.13561998028105127
ACH-000544,-0.2440907905977477
ACH-000545,-0.2532752979948034
ACH-000547,-0.21826639662058708
ACH-000548,-0.20034724483489652
ACH-000549,-0.12296271495254656
ACH-000550,-0.16649357176593998
ACH-000552,-0.22722725625196044
ACH-000556,-0.0947418393975147
ACH-000557,-0.03937222296067771
ACH-000569,-0.3389510897261509
ACH-000570,-0.0992156345574093
ACH-000571,-0.26970434952391753
ACH-000573,-0.3176175264635473
ACH-000576,-0.026241354377515503
ACH-000579,-0.24814624501794397
ACH-000580,-0.11194370790967548
ACH-000584,-0.23211734451163396
ACH-000585,-0.2642597826070695
ACH-000588,-0.13193560526221226
ACH-000589,-0.2983634377303642
ACH-000591,-0.2411492898877439
ACH-000593,-0.13689924058214198
ACH-000600,-0.2105776871924743
ACH-000601,-0.19703456724055585
ACH-000605,-0.3191567081389874
ACH-000606,-0.2477849060353143
ACH-000608,-0.23780735479179
ACH-000614,-0.14639733400270374
ACH-000616,0.07238252513981686
ACH-000618,-0.1732636982093899
ACH-000619,-0.3235333591538648
ACH-000620,-0.0982528493686061
ACH-000621,-0.053620223033901016
ACH-000622,-0.06801319945473153
ACH-000623,-0.270538821992564
ACH-000624,-0.2241301121102152
ACH-000627,-0.2793138930658136
ACH-000630,-0.21247897020825185
ACH-000631,-0.03368354203632644
ACH-000632,-0.1920762029924584
ACH-000633,-0.07566878516680035
ACH-000637,-0.4225799744536395
ACH-000638,-0.21299642579922268
ACH-000646,-0.03994585548473841
ACH-000647,-0.17330234923233356
ACH-000648,-0.2169814374915813
ACH-000649,-0.08644225460468291
