,PSMB10 (5699)
ACH-000004,0.045387631791416264
ACH-000005,0.16796099336701134
ACH-000007,0.05760629218951335
ACH-000009,-0.061526357660548224
ACH-000011,-0.2901764997563025
ACH-000012,-0.3797792345512149
ACH-000013,-0.16437087747951715
ACH-000014,-0.11545838428425262
ACH-000015,-0.05788348285154776
ACH-000017,-0.2318153459356651
ACH-000018,-0.15227667504244502
ACH-000019,-0.2014301257295519
ACH-000021,-0.13408653445133764
ACH-000022,0.043869171852229216
ACH-000025,-0.3364455547201925
ACH-000028,-0.20107129242483796
ACH-000030,-0.15801469740999188
ACH-000035,-0.1900514263902198
ACH-000036,-0.3683543371474548
ACH-000037,-0.416826826212744
ACH-000039,-0.1271858534222937
ACH-000040,-0.1720481192356322
ACH-000041,-0.030950070858995718
ACH-000042,-0.2253404254238771
ACH-000045,-0.20829105309107096
ACH-000047,-0.34207776034297244
ACH-000052,-0.11084332644187588
ACH-000053,-0.11488278767212383
ACH-000054,-0.14266140881316902
ACH-000055,-0.32137410549402073
ACH-000060,-0.3454821732858641
ACH-000067,-0.11173343292033534
ACH-000070,-0.2875737790914138
ACH-000075,0.0048617544967363615
ACH-000078,-0.21789974199191686
ACH-000082,-0.2392897016807699
ACH-000085,-0.2908263295892738
ACH-000086,-0.20191900124567885
ACH-000087,-0.08248902725507701
ACH-000092,-0.12091829776428745
ACH-000095,-0.1951806148313285
ACH-000097,-0.19770010874441046
ACH-000098,-0.1358856365775589
ACH-000099,-0.2283528991669048
ACH-000108,-0.2080626026050316
ACH-000113,-0.023744508532224776
ACH-000116,-0.2931085647608125
ACH-000118,-0.21269319776621148
ACH-000120,-0.3219555310079124
ACH-000123,-0.14926726359080952
ACH-000127,-0.2324768918761534
ACH-000128,-0.08091682147709632
ACH-000132,-0.2963577989203423
ACH-000133,-0.2144056545330276
ACH-000137,-0.12480288615450033
ACH-000138,0.0007947312067897668
ACH-000142,-0.17603913096331975
ACH-000143,-0.10151914421290878
ACH-000146,-0.0791265898815371
ACH-000148,-0.19180868465601444
ACH-000150,-0.27811430780248303
ACH-000152,-0.05703616607485944
ACH-000153,0.0704733526943043
ACH-000159,-0.09680191286963233
ACH-000160,0.0530266477050142
ACH-000163,-0.14942912869972624
ACH-000167,2.5224771400003005
ACH-000168,-0.3567884002658007
ACH-000169,-0.2371101711214248
ACH-000178,-0.1430366711462542
ACH-000183,-0.2033548669450032
ACH-000188,-0.1741412597255784
ACH-000189,-0.2975193646966489
ACH-000190,-0.36847427281067335
ACH-000198,-0.07782166494634214
ACH-000203,-0.3211534533635037
ACH-000204,-0.3781983639435951
ACH-000206,-0.458756977199956
ACH-000207,0.005999209781662521
ACH-000208,-0.23279012288714065
ACH-000210,-0.16242859905893464
ACH-000211,-0.16140477198002928
ACH-000215,-0.15832289247936054
ACH-000221,-0.046861220046328
ACH-000222,-0.2242808836925485
ACH-000223,-0.002414169039983319
ACH-000226,-0.10882885776750756
ACH-000227,-0.06545734718461163
ACH-000228,-0.17864883183766475
ACH-000231,-0.1462805100890061
ACH-000232,-0.19529568605841516
ACH-000233,-0.1408235308300175
ACH-000234,-0.18910045358907407
ACH-000235,-0.1507425965042126
ACH-000237,-0.09887431796767036
ACH-000238,-0.13607601014396842
ACH-000242,0.1752223152455653
ACH-000243,-0.11772002967773912
ACH-000244,-0.08095269968374559
ACH-000246,-0.059473913982904976
ACH-000248,0.01895994373360624
ACH-000250,-0.2431925256981622
ACH-000251,-0.014475192188209697
ACH-000252,-0.21484442262597445
ACH-000253,-0.24593553966902096
ACH-000255,-0.11073585294691034
ACH-000256,-0.11136179580464048
ACH-000257,-0.1914631546560375
ACH-000258,-0.329619529478178
ACH-000259,-0.16626456871463488
