,BTF3 (689)
ACH-000004,-0.24143147411432944
ACH-000005,-0.3664406225061864
ACH-000007,-0.39323485713067785
ACH-000009,-0.3802552942531545
ACH-000011,-0.5470516259490862
ACH-000012,-0.3952538943191533
ACH-000013,-0.2397960639884164
ACH-000014,-0.28688083895637845
ACH-000015,-0.25649632251572435
ACH-000017,0.033666437633332165
ACH-000018,-0.48155454025022
ACH-000019,-0.3631809103731276
ACH-000021,-0.20825003477939494
ACH-000022,-0.3243297545149111
ACH-000025,-0.3892083566567768
ACH-000028,-0.13406240176463638
ACH-000030,-0.5391953400029647
ACH-000035,-0.3975305956093941
ACH-000036,-0.08766965575037013
ACH-000037,-0.6251008326740435
ACH-000039,-0.4618646605877251
ACH-000040,-0.7544762892336659
ACH-000041,-0.4092007280286273
ACH-000042,-0.2758023659315148
ACH-000045,-0.14246509876456304
ACH-000047,-0.3236734599125381
ACH-000052,-0.09351043218074268
ACH-000053,-0.41083286912814143
ACH-000054,-0.2224294154570695
ACH-000055,-0.3635909237353345
ACH-000060,-0.37040662132777796
ACH-000067,-0.2496699279866348
ACH-000070,-0.22269529228716467
ACH-000075,-0.3855294449598798
ACH-000078,-0.21906380020605376
ACH-000082,-0.08331308629672192
ACH-000085,-0.29375941696835844
ACH-000086,-0.4988674301259313
ACH-000087,-0.37386019621754496
ACH-000092,-0.4626300646339865
ACH-000095,-0.36540630095114857
ACH-000097,-0.517736157612528
ACH-000098,-0.4358495509687438
ACH-000099,-0.17491617073219173
ACH-000108,-0.33024592344465137
ACH-000113,-0.3653816908814924
ACH-000116,-0.4166913134137208
ACH-000118,-0.36759685664563424
ACH-000120,-0.3990737645778765
ACH-000123,-0.2958130151344811
ACH-000127,-0.3269248994063424
ACH-000128,-0.24484700510091914
ACH-000132,-0.2990479560277983
ACH-000133,-0.4225578518199972
ACH-000137,-0.1339488412569401
ACH-000138,-0.24545755201314196
ACH-000142,-0.3717583462439645
ACH-000143,-0.09088676982459623
ACH-000146,-0.05766832634392668
ACH-000148,-0.1297012515192419
ACH-000150,-0.42875767025157735
ACH-000152,-0.2765934436712714
ACH-000153,-0.5857218050989391
ACH-000159,-0.39185107954144827
ACH-000160,-0.3899709791198577
ACH-000163,-0.4100822654625384
ACH-000167,-0.5262766734688719
ACH-000168,-0.4759753541182126
ACH-000169,-0.3583548358798487
ACH-000178,-0.4114577534192304
ACH-000183,-0.2629364570770106
ACH-000188,-0.5312539147081343
ACH-000189,-0.4907443811806002
ACH-000190,-0.2570099357010757
ACH-000198,-0.3385216241386299
ACH-000203,-0.4010255164713377
ACH-000204,-0.7300871150278514
ACH-000206,-0.2260219469890165
ACH-000207,-0.12870263703255613
ACH-000208,-0.2684937774361965
ACH-000210,-0.3266475756718727
ACH-000211,-0.21035278765681548
ACH-000215,-0.3789150909037619
ACH-000221,-0.4306479123345871
ACH-000222,-0.3467334977403431
ACH-000223,-0.3714652299669264
ACH-000226,-0.20966027443309646
ACH-000227,-0.5313083538952159
ACH-000228,-0.3430406472632699
ACH-000231,-0.4243890522871889
ACH-000232,-0.2659601852281188
ACH-000233,-0.05451619781276566
ACH-000234,-0.4511787392391569
ACH-000235,-0.5799933072024019
ACH-000237,-0.33267375127257365
ACH-000238,-0.4505766503106787
ACH-000242,-0.11507827374552874
ACH-000243,-0.5291600441690606
ACH-000244,-0.7256705237895691
ACH-000246,-0.18647386525615775
ACH-000248,-0.2507748706660734
ACH-000250,-0.4564112031052875
ACH-000251,-0.3300468063912467
ACH-000252,-0.4094194827630229
ACH-000253,-0.4306045058378489
ACH-000255,-0.5238605302002775
ACH-000256,-0.2351004934865669
ACH-000257,-0.10540724512951898
ACH-000258,-0.30887690758983377
ACH-000259,-0.39023257899830144
ACH-000260,-0.6155300484304003
ACH-000261,-0.2155874147329717
ACH-000262,-0.24741950502115506
ACH-000263,-0.2572196928853943
ACH-000264,-0.5695574001908307
ACH-000265,-0.4360757594727497
ACH-000266,-0.2417689284603031
ACH-000272,-0.4685020277461796
ACH-000274,-0.42657991322743055
ACH-000277,0.0587929382285931
ACH-000278,-0.4324465327468245
ACH-000279,-0.472930499545568
ACH-000280,-0.24687828566211176
ACH-000281,-0.331768587064094
ACH-000288,-0.3928067217267641
ACH-000291,-0.367932240325651
ACH-000293,-0.10812675882082462
ACH-000294,-0.2625117167187062
ACH-000295,-0.31375148350085197
ACH-000296,-0.4636597759922946
ACH-000302,-0.3186030293156565
ACH-000304,-0.2338689462782612
ACH-000307,-0.4967433330924939
ACH-000308,-0.2035408892679913
ACH-000310,-0.2266965430104961
ACH-000311,-0.3953085108190792
ACH-000312,-0.3158549189535848
ACH-000315,-0.35696360967129986
ACH-000316,-0.28909665144449825
ACH-000317,-0.5899493086315406
ACH-000318,-0.456667278163209
ACH-000319,-0.4257490629329189
ACH-000320,-0.15241897058855278
ACH-000322,-0.3951131182724237
ACH-000323,-0.5355870291920599
ACH-000324,-0.4190135927821976
