,MPHOSPH9 (10198)
ACH-000004,-0.16389972546153111
ACH-000005,-0.08045893625437321
ACH-000007,-0.034461231745908615
ACH-000009,-0.15578237166866266
ACH-000011,-0.05405215332306941
ACH-000012,-0.038947106008767586
ACH-000013,-0.1519329153663686
ACH-000014,-0.0022134663626085732
ACH-000015,-0.054148662125184106
ACH-000017,-0.07978446455283217
ACH-000018,0.1691759333792922
ACH-000019,-0.050894102417928584
ACH-000021,-0.2388148504140969
ACH-000022,-0.004570465782313011
ACH-000025,0.03289681287500547
ACH-000028,0.020295332985754963
ACH-000030,-0.0018714180460261073
ACH-000035,0.0077078302960148625
ACH-000036,-0.1759929463773706
ACH-000037,-0.03605317742656327
ACH-000039,-0.06985108369658545
ACH-000040,0.026117738627035317
ACH-000041,-0.09034289666105837
ACH-000042,-0.10790186087785134
ACH-000045,-0.11384101769932885
ACH-000047,-0.05984724524212692
ACH-000052,-0.0009551991998153488
ACH-000053,-0.05875437315174055
ACH-000054,-0.05645856329540842
ACH-000055,0.014918675866292159
ACH-000060,-0.014260808685328391
ACH-000067,-0.12688567356699898
ACH-000070,-0.14104315476521745
ACH-000075,0.019356687883955104
ACH-000078,-0.01620833690012459
ACH-000082,-0.08369199461309856
ACH-000085,-0.08547539937355796
ACH-000086,-0.03421173703869833
ACH-000087,-0.3295262588890164
ACH-000092,-0.1700752978590202
ACH-000095,-0.009562108848015343
ACH-000097,-0.005179120364065707
ACH-000098,-0.06929521839729794
ACH-000099,-0.05834588200853132
ACH-000108,0.06187931622704625
ACH-000113,-0.10666925910305752
ACH-000116,-0.0972157324602652
ACH-000118,-0.10791495735871763
ACH-000120,0.058933856871915824
ACH-000123,-0.04627419366319088
ACH-000127,-0.06180598320893755
ACH-000128,-0.11594729092502486
ACH-000132,-0.07069318541779765
ACH-000133,-0.09053639562204764
ACH-000137,-0.00714906597718568
ACH-000138,-0.003316008091098841
ACH-000142,-0.08252240745019852
ACH-000143,-0.0990359837919214
ACH-000146,-0.05827411354210585
ACH-000148,-0.1373959835953298
ACH-000150,-0.12200266279515465
ACH-000152,-0.06718080451046793
ACH-000153,-0.15966509663771286
ACH-000159,-0.019249239962827715
ACH-000160,-0.11553402583536768
ACH-000163,-0.11793838191695814
ACH-000167,-0.18348758113632865
ACH-000168,-0.0273813378274692
ACH-000169,-0.06586192631033351
ACH-000178,0.05820622629284888
ACH-000183,-0.010369552063744505
ACH-000188,0.0016432440706425572
ACH-000189,-0.058796112156142326
ACH-000190,-0.14396769402558676
ACH-000198,-0.05167232441309571
ACH-000203,0.014765783444794012
ACH-000204,-0.08658444883762254
ACH-000206,-0.027485373704579697
ACH-000207,-0.10725349018300437
ACH-000208,0.0005051065068365354
ACH-000210,-0.0097009088868702
