,C3orf67 (200844)
ACH-000253,0.25720866047377144
ACH-000255,0.16847778425909976
ACH-000256,0.16715411685433554
ACH-000257,0.007421527854796653
ACH-000258,0.26461314160716976
ACH-000259,0.22937112794670736
ACH-000260,0.19146979404765804
ACH-000261,0.16696332245353449
ACH-000262,0.1061905464322798
ACH-000263,0.21345581889191406
ACH-000264,0.10916323373476428
ACH-000265,0.2261484699448572
ACH-000266,0.15053769775905382
ACH-000272,0.12549721450885545
ACH-000274,0.22376734555073854
ACH-000277,0.4247817340142392
ACH-000278,0.2841439056762125
ACH-000279,0.16653413851081514
ACH-000280,0.2514062374151612
ACH-000281,0.38915962579838864
ACH-000288,0.18778851259343807
ACH-000291,-0.0009098061297819801
ACH-000293,0.125752321795297
ACH-000294,0.30185298628641216
ACH-000295,-0.14339331378623324
ACH-000296,0.21394176531628772
ACH-000302,0.22958887302314504
ACH-000304,0.10401173457347697
ACH-000307,0.18565415112078848
ACH-000308,0.17193782016791828
ACH-000310,0.13664342063544976
ACH-000311,0.1823306256900436
ACH-000312,0.17053996296564852
ACH-000315,0.30381170563026594
ACH-000316,0.05360048630707555
ACH-000317,0.20046891484027465
ACH-000318,0.23705846640219336
ACH-000319,0.267900486902326
ACH-000320,0.2549205347949886
ACH-000322,0.3221214310225168
ACH-000323,0.06413880337659922
ACH-000324,0.2531048211642353
ACH-000329,0.23087229714671556
ACH-000330,0.08413339996623025
ACH-000331,0.16472854672849968
ACH-000332,0.14452751444387998
ACH-000334,0.19050630354527295
ACH-000335,0.11198288951822497
ACH-000336,0.20660888295809116
ACH-000337,0.28441130943716897
ACH-000338,0.22078297452190174
ACH-000339,0.08815457605351781
ACH-000341,0.20910577058505908
ACH-000348,0.058456000644477014
ACH-000350,0.252458335245104
ACH-000352,0.3551037092196545
ACH-000356,0.037379013198129175
ACH-000361,0.16563633254469698
ACH-000362,0.319337202759082
ACH-000363,0.24594212593488246
ACH-000364,0.18121566382914966
ACH-000365,0.24491855668632725
ACH-000366,0.1996650673337524
ACH-000368,0.20246307831207896
ACH-000374,0.1860400115133525
ACH-000375,0.2062552850496005
ACH-000376,0.09225759424028664
ACH-000381,0.2901287774100031
ACH-000383,0.18764628364025704
ACH-000387,0.24581922564654604
ACH-000389,0.1654833065872627
ACH-000390,0.09637794492202502
ACH-000393,0.08527820754644083
ACH-000395,0.4972076531190306
ACH-000396,0.3827234709066385
ACH-000397,0.1220951573301748
ACH-000401,0.2450240819222708
ACH-000402,-0.12398318408908825
ACH-000403,0.11575581088727127
ACH-000404,-0.11149349308009132
ACH-000406,0.20470016683445075
ACH-000407,0.2877418153149846
ACH-000408,0.09792214858679113
ACH-000410,0.12351694283112293
ACH-000411,0.0770677811052266
ACH-000414,0.17554453666327186
ACH-000415,0.14958148969842036
ACH-000416,0.12560481279111038
ACH-000420,0.12873234219442856
ACH-000421,0.21610822707918229
ACH-000424,-0.057454456563580274
ACH-000425,0.1667513873206546
ACH-000426,0.03119816421103305
ACH-000427,0.2436794096854328
ACH-000433,0.3955740656764995
ACH-000435,0.17740660915038467
ACH-000436,0.11974191242566808
ACH-000444,0.11628861809649407
ACH-000445,0.03025054928199448
ACH-000448,0.20802621856726475
ACH-000450,0.04455091426646575
ACH-000452,0.16511194690530004
ACH-000454,-0.0888273623585314
ACH-000458,0.298147458757254
ACH-000459,0.15730908298017554
ACH-000460,0.1698509898347439
ACH-000461,0.15230160695551556
ACH-000463,0.10379528397463428
ACH-000464,0.03281538078588661
ACH-000466,0.21233423566248974
ACH-000467,-0.004974898535806096
ACH-000468,0.18214673801101916
ACH-000469,0.19341817665686692
ACH-000470,0.07566866734617292
ACH-000471,0.19876001933723514
ACH-000472,0.1464134207407762
ACH-000473,-0.016982853914570186
ACH-000475,0.1569214909374914
ACH-000476,0.16994343008349372
ACH-000477,0.347253789893876
ACH-000479,-0.009589788271897864
ACH-000480,0.2512716156479102
ACH-000481,0.04023565214934033
ACH-000483,0.06304168331195383
ACH-000484,0.07656290663260208
ACH-000485,0.3722876676893941
ACH-000486,0.10089022498637654
ACH-000487,0.09397056502523328
ACH-000488,0.28879297928342385
ACH-000490,0.10216142565564433
ACH-000491,0.06743877601531692
ACH-000495,0.19860096666851207
ACH-000496,0.11378894367405128
ACH-000499,0.08956244260934314
ACH-000500,0.26730835038092665
ACH-000502,0.14117855168993154
ACH-000503,0.07574649665097279
ACH-000505,0.1522686701953186
ACH-000507,0.17866548196326296
ACH-000510,0.09940030758538236
ACH-000511,0.2832666322057737
ACH-000512,0.20904127811261725
ACH-000516,0.09926332062131288
ACH-000517,0.2636681652143156
ACH-000518,0.2159822981144788
ACH-000520,0.04217335587503422
ACH-000521,0.3125087605872824
ACH-000522,0.21323716208841728
ACH-000524,0.1196399661128066
ACH-000527,0.08293530936726856
ACH-000528,0.15803784982781005
ACH-000537,0.10758763244697968
ACH-000541,0.057149959133888976
ACH-000542,0.2892732838218001
ACH-000544,0.007985101431244033
ACH-000545,0.2943661025973752
ACH-000547,-0.04655792395721856
ACH-000548,0.03236142530222785
ACH-000549,0.250353223145969
ACH-000550,0.276132939381341
ACH-000552,0.22519958872941254
ACH-000556,0.2124339815557696
ACH-000557,0.1953159715007172
ACH-000569,0.08381379541381064
ACH-000570,0.19190553620815512
ACH-000571,0.09362674285136156
ACH-000573,0.07651148420367168
ACH-000576,0.1364485178485273
ACH-000579,-0.2432950524390152
ACH-000580,0.04693275831427197
ACH-000584,0.08529118972036294
ACH-000585,0.24376945259101715
ACH-000588,0.1789660383136748
ACH-000589,0.2183124921785846
ACH-000591,0.31409917119356995
ACH-000593,0.3177549038418248
ACH-000600,0.11650946127537265
ACH-000601,0.15198938630211886
ACH-000605,-0.013718625655663444
ACH-000606,0.09252986948331116
ACH-000608,0.2745640544705276
ACH-000614,0.022575731563585243
ACH-000616,0.25813259569976826
ACH-000618,0.15698829190388108
ACH-000619,0.05776371320842307
ACH-000620,0.09853710547947676
ACH-000621,0.18962278372575075
ACH-000622,0.22036399389763608
ACH-000623,0.3407735107938315
ACH-000624,0.2220921717105524
ACH-000627,0.18012603902912652
ACH-000630,0.17710308234777378
ACH-000631,0.23620354818005615
ACH-000632,0.17981470290718227
ACH-000633,0.16091131499278524
ACH-000637,0.22098387345094564
ACH-000638,0.014821776389820731
ACH-000646,0.12008149419028068
ACH-000647,0.14524793649260745
ACH-000648,0.2813017311057033
ACH-000649,0.20013517789486165
ACH-000651,0.17311248018049916
ACH-000652,0.13479913841637894
ACH-000653,0.09440132984333163
ACH-000657,0.2207529274296913
ACH-000658,0.20065328720101355
ACH-000661,0.3365636378801567
ACH-000662,-0.08474076039167054
ACH-000663,0.21530373431870653
ACH-000665,0.15929824300726153
ACH-000671,0.14506621046397836
ACH-000672,0.2706804431580995
ACH-000673,0.1858266780362487
ACH-000676,0.2388651637460991
ACH-000677,0.2289722261117409
ACH-000681,0.0739073879532438
ACH-000683,0.07657170492449218
ACH-000684,0.4897873053046128
ACH-000688,0.2858467951311673
ACH-000693,0.17278851779952528
ACH-000694,0.15392120242713286
ACH-000695,0.3685632931211327
ACH-000696,0.16904430427397502
ACH-000697,0.27626215612311644
ACH-000699,0.15996240972398454
ACH-000701,0.31587651494607644
ACH-000706,0.0594616526898794
ACH-000711,0.234367542281858
ACH-000713,0.10321873080159638
ACH-000714,0.08826083466653888
ACH-000718,0.08710281884386085
ACH-000720,0.1390592876426535
ACH-000721,0.217490920352976
ACH-000724,0.3542181979682063
ACH-000725,0.26594387894674043
ACH-000732,0.3803097110585049
ACH-000734,0.09635912711766877
ACH-000735,0.13118053257762524
ACH-000736,0.19594821796577053
ACH-000738,0.1956159856657072
ACH-000746,0.16497687268598704
ACH-000747,0.1710184965627916
ACH-000748,0.11353600210666932
ACH-000753,0.18540513810355516
ACH-000756,0.3206866562367117
ACH-000757,0.15786425400083368
ACH-000758,0.1364239530444435
ACH-000760,0.1886380091000399
ACH-000762,0.031270574399513765
ACH-000763,0.26083999276808617
ACH-000764,0.2958970524143147
ACH-000765,0.20093289008693224
ACH-000766,0.1224932941450589
ACH-000767,0.3066435787445763
ACH-000768,0.1095056392841576
ACH-000769,0.04634954025545257
ACH-000770,0.2775166305779612
ACH-000771,0.2616031543038338
ACH-000773,0.1832587305662476
ACH-000776,0.2248268784178038
ACH-000777,0.18865965427784054
ACH-000778,0.04212645596273977
ACH-000781,0.17484207743700395
ACH-000782,0.4012599098365493
ACH-000783,0.05300013045023683
ACH-000784,0.17976274657653446
ACH-000785,0.04402041799354561
ACH-000787,0.2516841099202929
ACH-000788,0.08511021336862568
ACH-000791,0.1588159634924721
ACH-000792,0.13420121469230964
ACH-000794,0.0986214432370208
