,HCAR1 (27198)
ACH-000004,-0.0057702530884906926
ACH-000005,-0.11935383794472723
ACH-000007,0.05574122173717398
ACH-000009,-0.223856150058708
ACH-000011,-0.11043280672664656
ACH-000012,-0.2142261716859868
ACH-000013,-0.026241428694531062
ACH-000014,-0.21787288348367884
ACH-000015,-0.058538893302150785
ACH-000017,-0.12070024735488033
ACH-000018,-0.12113227611894335
ACH-000019,-0.36400480497822396
ACH-000021,-0.2247082890658096
ACH-000022,-0.08424334312396109
ACH-000025,-0.2232217488130865
ACH-000028,-0.05807616050724426
ACH-000030,-0.06390410442021592
ACH-000035,-0.16909341235237152
ACH-000036,-0.07112705824211744
ACH-000037,-0.14448543643297046
ACH-000039,-0.10180435100688354
ACH-000040,-0.0188199231226422
ACH-000041,-0.012377876262610702
ACH-000042,-0.16356613600884473
ACH-000045,-0.2777314434769302
ACH-000047,-0.010692186225990444
ACH-000052,-0.1122933840446856
ACH-000053,-0.1376978628675894
ACH-000054,-0.12459996576989538
ACH-000055,-0.19367915234032465
ACH-000060,-0.3129014138188788
ACH-000067,-0.05802696225940239
ACH-000070,-0.14216098941469268
ACH-000075,-0.1455917065575879
ACH-000078,-0.09826950817745787
ACH-000082,-0.12845100860174571
ACH-000085,-0.0898619615240274
ACH-000086,-0.15066047288690754
ACH-000087,-0.18509600412916696
ACH-000092,-0.17315185949619974
ACH-000095,-0.19716293168784532
ACH-000097,-0.09711403362382323
ACH-000098,-0.1967546041267632
ACH-000099,-0.24886058324576216
ACH-000108,-0.1506364171190806
ACH-000113,-0.13727225020711598
ACH-000116,-0.13030783955433906
ACH-000118,-0.11255181453042963
ACH-000120,-0.2288278936930052
ACH-000123,-0.316847150109401
ACH-000127,-0.09113980076843936
ACH-000128,-0.030509298821731205
ACH-000132,-0.14494012882534268
ACH-000133,-0.2315860725908689
ACH-000137,-0.2659348636588648
ACH-000138,-0.24511884708202386
ACH-000142,-0.1317727910594439
ACH-000143,-0.17070672105469245
ACH-000146,-0.08866252128248267
ACH-000148,-0.14505797161118858
ACH-000150,-0.2160129794411341
ACH-000152,-0.25128984194873194
ACH-000153,-0.1586170976126676
ACH-000159,-0.01875909786869728
ACH-000160,-0.1285330505069622
ACH-000163,-0.1478228258496241
ACH-000167,0.26851542401281703
ACH-000168,-0.21094673292073626
ACH-000169,-0.2798420380069569
ACH-000178,-0.04533051978743652
ACH-000183,-0.13078459170363912
ACH-000188,-0.17468795209496446
ACH-000189,-0.04790944858983372
ACH-000190,-0.3213726751887067
ACH-000198,-0.13383278226255876
ACH-000203,-0.035657197583923224
ACH-000204,-0.07350369282313908
ACH-000206,-0.18626283449616607
ACH-000207,0.01110865534282988
ACH-000208,-0.0795682213537203
ACH-000210,-0.2116626064651008
ACH-000211,-0.21443937141382666
ACH-000215,-0.190262111905948
ACH-000221,-0.07712852426445768
ACH-000222,-0.15020876984880438
ACH-000223,-0.1517070525101218
ACH-000226,-0.051798141552575734
ACH-000227,-0.2686109600745677
ACH-000228,-0.08233590819722994
ACH-000231,-0.13418282889246552
ACH-000232,-0.2565570544748941
ACH-000233,-0.08874864319353899
ACH-000234,-0.1827901702361704
ACH-000235,-0.207829815310614
ACH-000237,-0.10868770427873004
ACH-000238,-0.08320304445336123
ACH-000242,-0.057112223254096886
ACH-000243,-0.08333158172798266
ACH-000244,-0.2828310668573431
ACH-000246,-0.10336271836288292
ACH-000248,-0.10043681842819292
ACH-000250,-0.09432027007998607
ACH-000251,-0.2134079665648058
ACH-000252,-0.059891036587377475
ACH-000253,-0.1155799139154318
ACH-000255,-0.029495833144636045
ACH-000256,-0.13337298767566574
ACH-000257,-0.08255043460547706
ACH-000258,-0.13277913387839366
ACH-000259,-0.1796564389316016
ACH-000260,-0.11055548629236203
ACH-000261,-0.09006766585019622
ACH-000262,-0.35836610101265426
ACH-000263,-0.19129189662101395
ACH-000264,-0.04580022284295519
ACH-000265,-0.0992340428702332
ACH-000266,-0.17157057097985642
ACH-000272,0.004063528100863488
ACH-000274,-0.2806579677819935
ACH-000277,-0.1640328790816107
ACH-000278,-0.11842852219860855
ACH-000279,-0.23543368180492025
ACH-000280,-0.19587064923328987
ACH-000281,-0.25654857417533394
ACH-000288,-0.18616104257152316
ACH-000291,-0.17808763431919125
ACH-000293,-0.07861318715212791
ACH-000294,-0.10229673074511578
ACH-000295,-0.2061334322585666
ACH-000296,-0.21596617873068305
ACH-000302,-0.07065450664422801
ACH-000304,-0.1510349695508405
ACH-000307,-0.037781961017505084
ACH-000308,-0.15789175905205405
ACH-000310,-0.16639826948973785
ACH-000311,-0.06383386304672656
ACH-000312,-0.2323753521616335
ACH-000315,-0.182377985591202
ACH-000316,-0.11364767467902386
ACH-000317,0.033149217304824334
ACH-000318,-0.2906378355971636
ACH-000319,-0.06291151932504528
ACH-000320,-0.24106396225103985
ACH-000322,-0.24945117902642835
ACH-000323,-0.1647341613981696
ACH-000324,-0.2302063220414789
ACH-000329,-0.15809670242294904
ACH-000330,-0.1400637932498881
ACH-000331,-0.06652467573100304
ACH-000332,-0.1198762850762726
ACH-000334,-0.04612145728625781
ACH-000335,-0.11521426453767808
ACH-000336,0.07926365743967517
ACH-000337,-0.1814007607188758
ACH-000338,-0.33498997473263153
ACH-000339,-0.1262279914583707
ACH-000341,-0.2597492812754474
ACH-000348,-0.1870300930762998
ACH-000350,-0.2904761871677207
ACH-000352,-0.14133772006575285
ACH-000356,-0.11182778446362852
ACH-000361,-0.06757075648096875
ACH-000362,-0.12037493612910508
ACH-000363,-0.22875926891072296
ACH-000364,-0.10176761029409956
ACH-000365,-0.2818942813127924
ACH-000366,-0.23337549156867896
ACH-000368,-0.27683638061725346
ACH-000374,-0.0003896237468449852
ACH-000375,-0.26246628536687605
ACH-000376,-0.16327780883051346
ACH-000381,-0.24168262337183705
ACH-000383,-0.17057108788393927
ACH-000387,-0.19773579313927606
ACH-000389,-0.005899908658979246
ACH-000390,-0.06383065471056015
ACH-000393,-0.13741475979388632
ACH-000395,-0.15575309634602028
ACH-000396,-0.143930496172595
ACH-000397,-0.16576987776242433
ACH-000401,0.10396595091918988
ACH-000402,0.0006538810359937996
ACH-000403,-0.19152303474874224
ACH-000404,0.07311407852643828
ACH-000406,-0.0971726227682058
ACH-000407,-0.10749929358237144
ACH-000408,-0.09362660498746013
ACH-000410,-0.2452307142554776
ACH-000411,-0.16943425938417275
ACH-000414,-0.025252773391469474
ACH-000415,-0.0747284330367156
ACH-000416,-0.20967458723398305
ACH-000420,0.0665670665832925
ACH-000421,-0.220327751759251
ACH-000424,-0.341032752063075
ACH-000425,-0.13374120616303425
ACH-000426,-0.2250651248887296
ACH-000427,-0.17357553183600052
ACH-000433,-0.108947619758252
ACH-000435,-0.008446659849450894
ACH-000436,-0.19517461784711704
ACH-000444,-0.24579970368441298
ACH-000445,-0.3531220964058562
ACH-000448,-0.095896781427908
ACH-000450,-0.11377737123618065
ACH-000452,-0.2006155940727353
ACH-000454,-0.21204210697268505
ACH-000458,-0.17369262464324595
ACH-000459,0.1845177578980849
ACH-000460,-0.05705068139157497
ACH-000461,-0.18182305717872627
ACH-000463,-0.08690842078999762
ACH-000464,-0.12542735414293849
ACH-000466,-0.14276605448491433
ACH-000467,-0.12392513478284835
ACH-000468,-0.2289540941125267
ACH-000469,-0.18453639491245144
ACH-000470,-0.2480112146650017
ACH-000471,-0.23607394669005616
ACH-000472,-0.1329402914989111
ACH-000473,-0.14248397582963274
ACH-000475,-0.1403894701723814
ACH-000476,-0.1753369109851787
ACH-000477,-0.17669969885933662
ACH-000479,-0.07760901086075636
ACH-000480,-0.13322934578547385
ACH-000481,-0.2502490692376137
ACH-000483,-0.18663597554461245
ACH-000484,-0.1564381568568828
ACH-000485,-0.3809093022213073
ACH-000486,-0.06262207862594903
ACH-000487,-0.08110339320664894
ACH-000488,-0.1606502788098211
ACH-000490,-0.10817282763317176
ACH-000491,-0.0960670772076108
ACH-000495,-0.18282754105686813
ACH-000496,-0.1979381565832448
ACH-000499,-0.011242509193647764
ACH-000500,-0.11710637162791727
ACH-000502,-0.18613387817485705
ACH-000503,-0.4348345744814659
ACH-000505,-0.1654565523812518
ACH-000507,-0.2726029046765375
ACH-000510,-0.08695931940153354
ACH-000511,-0.17766303635531994
ACH-000512,-0.224179086965456
ACH-000516,-0.06977684271729508
ACH-000517,-0.2317264936044501
ACH-000518,-0.11558544994987972
ACH-000520,-0.15500647700623826
ACH-000521,-0.02695606747823352
ACH-000522,-0.2050815614121065
ACH-000524,-0.14708612600196344
ACH-000527,-0.14732846699590052
ACH-000528,-0.156794109578707
ACH-000537,0.05019097251938137
ACH-000541,-0.15851090439311488
ACH-000542,-0.17894172838168493
ACH-000544,-0.04225141837105922
ACH-000545,-0.04847909301295701
ACH-000547,-0.054319479110893895
ACH-000548,-0.04338543114360323
ACH-000549,-0.31238605811031306
ACH-000550,-0.26144500773785584
ACH-000552,-0.2392157789263576
ACH-000556,-0.2048942785987136
ACH-000557,-0.12219326261509306
ACH-000569,-0.14282371581353615
ACH-000570,-0.12423111324215055
ACH-000571,-0.1815592759811321
ACH-000573,-0.059867647992957476
ACH-000576,-0.17328625987120286
ACH-000579,-0.09586752827716974
ACH-000580,-0.17778734076988215
ACH-000584,-0.13235518419208214
ACH-000585,-0.14852899673923056
