,SYVN1 (84447)
ACH-000004,-0.5769716838720628
ACH-000005,-0.5169950104684706
ACH-000007,-0.0923270665910031
ACH-000009,-0.13728980153738227
ACH-000011,-0.31580503652498426
ACH-000012,-0.5293050747196204
ACH-000013,-0.21979269499154105
ACH-000014,-0.28983405256799194
ACH-000015,-0.2760725963351361
ACH-000017,-0.26159520936689346
ACH-000018,-0.4275828975267868
ACH-000019,-0.20555732456571024
ACH-000021,-0.2878188882456135
ACH-000022,-0.29366890101080384
ACH-000025,-0.3453097469620716
ACH-000028,-0.3727124821919549
ACH-000030,-0.2390345635625881
ACH-000035,-0.4144165780201097
ACH-000036,-0.43102232950201297
ACH-000037,-0.42420440149019867
ACH-000039,-0.6151636009194325
ACH-000040,-0.3359667489695727
ACH-000041,-0.13171382304496052
ACH-000042,-0.1985435111411094
ACH-000045,-0.463475307821697
ACH-000047,-0.05176868063503215
ACH-000052,-0.3874533638166238
ACH-000053,-0.3689123054397085
ACH-000054,-0.14456578435504114
ACH-000055,-0.23658590960997225
ACH-000060,-0.35643120628084657
ACH-000067,-0.3380316416776202
ACH-000070,-0.5413805975870826
ACH-000075,-0.475755417427943
ACH-000078,-0.21406058470245248
ACH-000082,-0.6703223965468691
ACH-000085,-0.2523725750488884
ACH-000086,-0.3649837211722313
ACH-000087,-0.3560807948427716
ACH-000092,-0.8742945862238172
ACH-000095,-0.2523164366840224
ACH-000097,-0.3401017430770558
ACH-000098,-0.2942730959762809
ACH-000099,-0.18273583242152253
ACH-000108,-0.2853325611964553
ACH-000113,-0.3649583906131613
ACH-000116,-0.36323083056857897
ACH-000118,-0.6398472600301148
ACH-000120,-0.30459256767142656
ACH-000123,-0.4496652996733888
ACH-000127,-0.2284485858671573
ACH-000128,-0.2607227203946383
ACH-000132,-0.3751881054491218
ACH-000133,-0.6237004557751187
ACH-000137,-0.1895599376299523
ACH-000138,-0.2915534315714061
ACH-000142,-0.4726332744825435
ACH-000143,-0.1499811582917419
ACH-000146,-0.3422286720528276
ACH-000148,-0.2509840153484713
ACH-000150,-0.10539741044116817
ACH-000152,-0.2822206344841985
ACH-000153,-0.5261560315963576
ACH-000159,-0.4883330538599792
ACH-000160,-0.2732175710641479
ACH-000163,-0.3995789017513803
