,ANHX (647589)
ACH-000004,0.1234318574168453
ACH-000005,0.19569663790607889
ACH-000007,-0.01931151307657096
ACH-000009,-0.15451713842057552
ACH-000011,-0.15108458976240854
ACH-000012,-0.10382944447935437
ACH-000013,-0.010361888339108605
ACH-000014,-0.004816963238123732
ACH-000015,-0.03358332636907466
ACH-000017,-0.05095782408487108
ACH-000018,-0.045788416705738806
ACH-000019,-0.36334813271684746
ACH-000021,-0.2110729699861761
ACH-000022,-0.16447661009182135
ACH-000025,-0.22033318607968053
ACH-000028,-0.30952282701330835
ACH-000030,-0.040085431973448785
ACH-000035,-0.030098224476376462
ACH-000036,-0.18301611196036496
ACH-000037,-0.3147576044230997
ACH-000039,-0.1346134294371254
ACH-000040,-0.2713552781911422
ACH-000041,-0.09822471382904062
ACH-000042,-0.16267677235322034
ACH-000045,-0.0890814343241774
ACH-000047,-0.10217163430818683
ACH-000052,-0.2622160221222645
ACH-000053,-0.09655015673365656
ACH-000054,-0.09430488242556784
ACH-000055,-0.09537042500511927
ACH-000060,-0.02929855488860213
ACH-000067,0.003713871920196558
ACH-000070,-0.19468557136332354
ACH-000075,0.05792702509805914
ACH-000078,-0.306077585933121
ACH-000082,-0.0002339532652554297
ACH-000085,-0.03102478389087588
ACH-000086,-0.09033034566686778
ACH-000087,-0.3963820881368863
ACH-000092,-0.12144888596702892
ACH-000095,-0.05876942584017149
ACH-000097,-0.11076961216100896
ACH-000098,-0.035540864638336465
ACH-000099,-0.3501032741632977
ACH-000108,-0.2265278042648635
ACH-000113,-0.034402449213516165
ACH-000116,-0.09460473650585152
ACH-000118,-0.1306199345097105
ACH-000120,-0.02819739515096937
ACH-000123,-0.17817144772238233
ACH-000127,0.034670627188581826
ACH-000128,-0.19623876663039908
ACH-000132,-0.00605853555074724
ACH-000133,0.056340864462536513
ACH-000137,-0.13329496447094624
ACH-000138,-0.20079202315894545
ACH-000142,-0.29957948008871776
ACH-000143,-0.019283919833422137
ACH-000146,-0.0023508377671773452
ACH-000148,-0.1361578842993191
ACH-000150,-0.12473749656656515
ACH-000152,-0.08373336278340891
ACH-000153,0.014489159585956632
ACH-000159,-0.15173611080550625
ACH-000160,-0.023841542248277413
ACH-000163,-0.020130459348795475
ACH-000167,0.023893789668922097
ACH-000168,0.02982842050593298
ACH-000169,-0.27694732897217833
ACH-000178,-0.062164291469972266
ACH-000183,0.11121493794036263
ACH-000188,-0.12149827278717396
ACH-000189,-0.15015247138041432
ACH-000190,-0.1939687857281372
ACH-000198,-0.07333231702149884
ACH-000203,0.29633658391343903
ACH-000204,-0.1822766617857932
ACH-000206,0.006901493870485805
ACH-000207,-0.016051511901768914
ACH-000208,-0.3021823680315304
ACH-000210,-0.04927128275847198
ACH-000211,-0.17822235490974855
ACH-000215,-0.10454381605214567
ACH-000221,-0.08915002195772963
ACH-000222,-0.12707268007344455
ACH-000223,-0.2287174755225315
ACH-000226,0.02221284528993404
ACH-000227,-0.1382352636274508
ACH-000228,-0.008718585722110147
ACH-000231,-0.0527967508613233
ACH-000232,-0.06346147011727593
ACH-000233,0.011360896481418357
ACH-000234,-0.055772161523506704
ACH-000235,-0.05479530539894649
ACH-000237,-0.1466139186467202
ACH-000238,-0.2720881411258742
ACH-000242,-0.16482632390506896
ACH-000243,-0.09027996864186982
ACH-000244,-0.2205090550335595
ACH-000246,-0.014971291531058369
ACH-000248,-0.19354687613290988
ACH-000250,-0.20618167472006596
ACH-000251,0.02868738792156368
