,BCAN (63827)
ACH-000004,-0.2736276510647196
ACH-000005,-0.5236888652635627
ACH-000007,-0.2001166822053013
ACH-000009,-0.32770568967963765
ACH-000011,-0.24388661510922344
ACH-000012,-0.3870283661210453
ACH-000013,-0.4223907701302058
ACH-000014,-0.3542889994501027
ACH-000015,-0.3871124837642094
ACH-000017,-0.24012928901835745
ACH-000018,-0.15435390884445122
ACH-000019,-0.5395085815400449
ACH-000021,-0.1874429800454082
ACH-000022,-0.2582854927871439
ACH-000025,-0.3897765838796277
ACH-000028,-0.2556022495098772
ACH-000030,-0.3171449784717605
ACH-000035,-0.39925223376857055
ACH-000036,-0.37993931792831015
ACH-000037,-0.2944786102891885
ACH-000039,-0.3527031038988732
ACH-000040,-0.35572845380545226
ACH-000041,-0.29107280576517386
ACH-000042,-0.2100308907126495
ACH-000045,-0.2804340955685819
ACH-000047,-0.30109802874585856
ACH-000052,-0.12866077544039112
ACH-000053,-0.3637865819633261
ACH-000054,-0.22056202004388165
ACH-000055,-0.5601678878794712
ACH-000060,-0.4156958394333123
ACH-000067,-0.1968203117654474
ACH-000070,-0.4192924616192949
ACH-000075,-0.12877608523509196
ACH-000078,-0.4194669314504341
ACH-000082,-0.2193148375707721
ACH-000085,-0.21715941794057464
ACH-000086,-0.35102145746116825
ACH-000087,-0.04924083248585274
ACH-000092,-0.3331521412954204
ACH-000095,-0.34502523133943824
ACH-000097,-0.3193761011695481
ACH-000098,-0.4045212975144457
ACH-000099,-0.13861820151352705
ACH-000108,-0.2825658743532396
ACH-000113,-0.2969137278695439
ACH-000116,-0.35973873149860003
ACH-000118,-0.3511374398435373
ACH-000120,-0.34614809891356946
ACH-000123,-0.3271178953878517
ACH-000127,-0.364406931887717
ACH-000128,-0.3030384371695461
ACH-000132,-0.10074212679927026
ACH-000133,-0.2919254808457473
ACH-000137,-0.4624768883550126
ACH-000138,-0.24487402477481815
ACH-000142,-0.3942084755896915
ACH-000143,-0.3825186251891661
ACH-000146,-0.2605744179736436
ACH-000148,-0.23836967127373698
