,MRPS12 (6183)
ACH-000004,-0.3375441562260741
ACH-000005,-0.6350479176180037
ACH-000007,-0.6173664964346435
ACH-000009,-0.4114113907235045
ACH-000011,-0.4231284800569772
ACH-000012,-0.8606987935511042
ACH-000013,-0.9269947990633908
ACH-000014,-0.6196311973386889
ACH-000015,-0.8657222570852662
ACH-000017,-0.4216330274869128
ACH-000018,-0.8629564837394225
ACH-000019,-0.7506191868821703
ACH-000021,-0.5579694788467732
ACH-000022,-0.4618321694704461
ACH-000025,-0.7652628871943032
ACH-000028,-0.7242191464951993
ACH-000030,-0.5549440157854416
ACH-000035,-0.7855145807421863
ACH-000036,-0.2760070195430179
ACH-000037,-0.5245601185102942
ACH-000039,-0.5384109141032188
ACH-000040,-0.3370178209208878
ACH-000041,-0.7479992834562126
ACH-000042,-0.5306085734405115
ACH-000045,-0.4841656861576286
ACH-000047,-0.7416681525655435
ACH-000052,-0.16272442361408695
ACH-000053,-0.4678299763090517
ACH-000054,-0.7417742666750876
ACH-000055,-0.6216679434815819
ACH-000060,-0.5416622848488654
ACH-000067,-0.533539088517249
ACH-000070,-0.4811334527982181
ACH-000075,-0.5315592788495899
ACH-000078,-0.4516961991338716
ACH-000082,-0.3900965307815001
ACH-000085,-0.5279152140691542
ACH-000086,-0.7082034858451812
ACH-000087,-0.6853105291107631
ACH-000092,-0.584205314521439
ACH-000095,-0.33139882944940363
ACH-000097,-0.5325249271520551
ACH-000098,-0.6534951123504125
ACH-000099,-0.5602439507020126
ACH-000108,-0.6464218538116749
ACH-000113,-0.6857570358392382
ACH-000116,-0.6555879006423768
ACH-000118,-0.9136678441425136
ACH-000120,-0.4776614204891507
ACH-000123,-0.646630908778437
ACH-000127,-0.7568178587728894
ACH-000128,-0.6750921066077331
ACH-000132,-0.4214654663207484
ACH-000133,-0.5544258898287296
ACH-000137,-0.6093775002149288
ACH-000138,-0.4801639380675513
ACH-000142,-0.5899220688794841
ACH-000143,-0.6217614723406815
ACH-000146,-0.5033558353684949
ACH-000148,-0.5241993832574288
ACH-000150,-0.8075387413845816
ACH-000152,-0.5945217080418344
ACH-000153,-0.6645648400647872
ACH-000159,-0.4946050546160291
ACH-000160,-0.9276192266736624
ACH-000163,-0.5855819199235353
ACH-000167,0.9347955125004488
ACH-000168,-0.32982278142123955
ACH-000169,-0.5253525663991293
ACH-000178,-0.5666454292401922
ACH-000183,-0.7348155672969796
ACH-000188,-0.5321044811879088
ACH-000189,-0.7292141874840298
ACH-000190,-0.9507805888453984
ACH-000198,-0.3947612876614613
ACH-000203,-0.1650653025438016
ACH-000204,-0.8287244202073244
ACH-000206,-0.6500576560129226
ACH-000207,-0.5302500144219686
ACH-000208,-0.471658346641177
ACH-000210,-0.9008380402561028
ACH-000211,-0.5071856732491937
ACH-000215,-0.7000258084113224
ACH-000221,-1.0537008610393148
ACH-000222,-0.4420715307443641
ACH-000223,-0.6540531101994099
ACH-000226,-0.7895835906586286
ACH-000227,-0.5713318148266773
ACH-000228,-0.5825688542703451
ACH-000231,-0.4683336510981409
ACH-000232,-0.5921037831158541
