,ACIN1 (22985)
ACH-000004,-0.814189961110242
ACH-000005,-0.4703881141459894
ACH-000007,-0.803119916740978
ACH-000009,-0.7521742432234519
ACH-000011,-0.7051418344447736
ACH-000012,-0.5775973889881154
ACH-000013,-0.6442143931630634
ACH-000014,-0.8986727787745372
ACH-000015,-0.4319012422528563
ACH-000017,-0.79384653186036
ACH-000018,-0.5420844915729828
ACH-000019,-0.4911211511000718
ACH-000021,-0.6854364198554999
ACH-000022,-0.4958904590064945
ACH-000025,-0.6417698853815018
ACH-000028,-0.4392365530222824
ACH-000030,-0.8655275358164495
ACH-000035,-1.0887465166354109
ACH-000036,-0.8389074187676541
ACH-000037,-0.5614330385015939
ACH-000039,-0.4599776858455522
ACH-000040,-0.7358243026809322
ACH-000041,-0.8185676431862908
ACH-000042,-0.5972953453179529
ACH-000045,-0.7237679676408733
ACH-000047,-0.942572625523922
ACH-000052,-0.8645676285977819
ACH-000053,-0.5507939308452011
ACH-000054,-0.5290015090854051
ACH-000055,-0.7323698547820066
ACH-000060,-1.0185496505686715
ACH-000067,-0.6828077856578149
ACH-000070,-0.530233579407777
ACH-000075,-0.64160845723349
ACH-000078,-0.8088871379748873
ACH-000082,-0.5068918871126448
ACH-000085,-0.7616968010639448
ACH-000086,-0.8052400378457389
ACH-000087,-1.138124098211836
ACH-000092,-0.6251386682118972
ACH-000095,-0.5380852384319571
ACH-000097,-0.5392494470860109
ACH-000098,-0.30109778613058186
ACH-000099,-0.7516335242764163
ACH-000108,-0.7840626141058338
ACH-000113,-0.7705949910565574
ACH-000116,-0.287089941702976
ACH-000118,-0.7771686505833393
ACH-000120,-0.8784119763190256
ACH-000123,-0.5760693437535721
ACH-000127,-0.32411047870969617
ACH-000128,-0.491327818785899
ACH-000132,-0.3988726486752383
ACH-000133,-0.4772203979015586
ACH-000137,-0.5026263887849337
ACH-000138,-0.5009772424184115
ACH-000142,-0.4737838243239725
ACH-000143,-0.7626461234025876
ACH-000146,-0.5064949911206333
ACH-000148,-0.6847997837909335
ACH-000150,-0.33298230317493177
ACH-000152,-0.7012343590496113
ACH-000153,-0.6470633544476386
ACH-000159,-0.6520093300487445
ACH-000160,-0.526791613086091
ACH-000163,-0.6975805358479952
ACH-000167,0.9229990759649979
ACH-000168,-0.4713977174047762
ACH-000169,-0.5823713986873525
ACH-000178,-0.7187410062817171
ACH-000183,-0.6214102322344176
ACH-000188,-0.4843290824654714
ACH-000189,-0.8161445950374736
ACH-000190,-0.7747984254275488
ACH-000198,-0.7954463148627092
ACH-000203,-0.5781038357509789
ACH-000204,-0.703437935705997
ACH-000206,-0.30495616743519577
ACH-000207,-0.5324950672046352
ACH-000208,-0.7323692694667832
ACH-000210,-0.5688557101699577
ACH-000211,-0.6459722808529688
ACH-000215,-0.6827544785588338
ACH-000221,-0.7409059739072587
ACH-000222,-0.4835642027630208
ACH-000223,-0.4823328318349479
ACH-000226,-0.7847835595221131
ACH-000227,-0.4589412866614615
ACH-000228,-0.6250926103894068
ACH-000231,-0.7526674386206296
ACH-000232,-0.64062440979684
ACH-000233,-0.5921129884452235
ACH-000234,-0.3146939284604461
ACH-000235,-0.5632868617093572
ACH-000237,-0.3086771781372584
ACH-000238,-0.7827540003199149
ACH-000242,-0.5445776984916143
ACH-000243,-0.6905086029399561
ACH-000244,-0.9084689342114026
