,HSPH1 (10808)
ACH-000004,0.05114257074879374
ACH-000005,-0.14098241313575247
ACH-000007,-0.2274684629485625
ACH-000009,-0.1019334469673418
ACH-000011,0.061187406025240386
ACH-000012,0.006687495215450859
ACH-000013,0.012275112994432172
ACH-000014,-0.226189203915142
ACH-000015,-0.0268931782598638
ACH-000017,-0.25398536024692303
ACH-000018,-0.03610229974142039
ACH-000019,0.013335462055779013
ACH-000021,0.0055198716544935175
ACH-000022,0.0017836343259898233
ACH-000025,0.09359957730647986
ACH-000028,-0.07104445114973376
ACH-000030,-0.04163238830061125
ACH-000035,-0.041551629465365635
ACH-000036,-0.12050688367418125
ACH-000037,-0.07413036775853306
ACH-000039,-0.06511953390496858
ACH-000040,-0.12510530075065476
ACH-000041,-0.14296522914929916
ACH-000042,-0.07514780581214109
ACH-000045,0.12852510760387487
ACH-000047,0.11899916507772446
ACH-000052,-0.2556053337916595
ACH-000053,-0.063853319359175
ACH-000054,0.028500426256811314
ACH-000055,0.03148998051561176
ACH-000060,-0.04636162306217728
ACH-000067,-0.2027660935342729
ACH-000070,-0.06959763652507597
ACH-000075,-0.14298009216054414
ACH-000078,-0.2018685768635388
ACH-000082,0.0933790817207363
ACH-000085,0.004062938606312792
ACH-000086,-0.0247141449163118
ACH-000087,0.08933691402372733
ACH-000092,-0.05330901800777572
ACH-000095,-0.03735898941959369
ACH-000097,-0.18849993342334728
ACH-000098,-0.07585995739339736
ACH-000099,-0.16090375852250882
ACH-000108,0.0875877066901392
ACH-000113,-0.10674443933777253
ACH-000116,-0.04039741078153858
ACH-000118,0.02119820188355281
ACH-000120,0.12194363688485035
ACH-000123,-0.045606624320463564
ACH-000127,-0.0930319787764676
ACH-000128,-0.007699325667687205
ACH-000132,-0.08280609738037173
ACH-000133,-0.054874656387457005
ACH-000137,-0.033010554935278304
ACH-000138,-0.025839972848095603
ACH-000142,-0.17672534358556954
ACH-000143,-0.06383575515503913
ACH-000146,-0.051514669862714316
ACH-000148,0.0470086959174803
ACH-000150,-0.07963316778383155
ACH-000152,-0.1195030370498817
ACH-000153,0.028587911578353574
ACH-000159,-0.06467875919327641
ACH-000160,0.011547084662154115
ACH-000163,-0.2871374882667655
ACH-000167,0.11357750300870025
ACH-000168,0.027013584418148485
ACH-000169,0.06954729200837867
ACH-000178,0.20170490734302046
ACH-000183,0.12349487154438687
ACH-000188,-0.2315269156321988
ACH-000189,0.0439929752724172
ACH-000190,-0.16604139825426312
ACH-000198,-0.0016097489762010595
ACH-000203,0.2230229188307771
ACH-000204,0.16112508585076962
ACH-000206,0.038944347463278066
ACH-000207,-0.11271445628788684
ACH-000208,0.1264042355783554
ACH-000210,0.11206269414848133
ACH-000211,-0.03601428223929288
ACH-000215,-0.004186109876619073
ACH-000221,-0.010668545746141362
ACH-000222,-0.04289299795140483
ACH-000223,0.01383952749592145
ACH-000226,-0.10817278253799792
ACH-000227,-0.200213417693008
ACH-000228,-0.15991705246611118
ACH-000231,0.029197192295260445
ACH-000232,-0.11794856539065475
ACH-000233,-0.06152350191076179
ACH-000234,-0.018356799846919698
ACH-000235,-0.02856668220005127
ACH-000237,-0.09046530017199844
ACH-000238,0.10407237915876018
ACH-000242,0.13604287641455853
ACH-000243,-0.043882603159816236
ACH-000244,-0.1717461759875254
ACH-000246,0.13174902961732404
ACH-000248,-0.09577492409643693
ACH-000250,0.010840530430803552
ACH-000251,0.059879554757318126
ACH-000252,-0.02853023026325635
ACH-000253,0.010637143684106095
ACH-000255,-0.3115733859970771
ACH-000256,-0.03864230994799295
ACH-000257,0.02280468498284742
ACH-000258,-0.057810970239005666
ACH-000259,-0.0681916271174688
ACH-000260,-0.051945814563796114
ACH-000261,-0.02356851336344465
ACH-000262,0.10108485429565588
ACH-000263,-0.045391087310570406
ACH-000264,-0.10273941075435043
ACH-000265,-0.07086927136196065
ACH-000266,-0.04532978101273278
ACH-000272,-0.031408097415767486
ACH-000274,-0.10455813222955357
ACH-000277,0.0567148199192054
ACH-000278,-0.05455697224555618
ACH-000279,-0.13408220983046587
ACH-000280,-0.12913528069710825
ACH-000281,-0.06969791666232414
ACH-000288,-0.13411965029810494
ACH-000291,-0.11448575453016105
ACH-000293,-0.098246328865426
ACH-000294,0.020903059064071368
ACH-000295,-0.07134812996041508
ACH-000296,-0.18186237650043507
ACH-000302,0.05191254381643419
