,SPHKAP (80309)
ACH-000004,0.21176553978574705
ACH-000005,0.02682993081709281
ACH-000007,0.04803211218770713
ACH-000009,0.14061885991672993
ACH-000011,0.1516687388214298
ACH-000012,0.04848786795632567
ACH-000013,0.1180365965533966
ACH-000014,0.1274852278050513
ACH-000015,0.09641487713560436
ACH-000017,0.0614613696960065
ACH-000018,0.006355842065851523
ACH-000019,0.05912614533839064
ACH-000021,0.12856916308146313
ACH-000022,0.16571495228137245
ACH-000025,0.18091356471595707
ACH-000028,0.19598832509549308
ACH-000030,0.07804221019988886
ACH-000035,0.1812662151804478
ACH-000036,0.14266363516114533
ACH-000037,0.1006858065761439
ACH-000039,0.020298599530220715
ACH-000040,0.06509913857499809
ACH-000041,-0.06949570674335777
ACH-000042,0.10966067681051048
ACH-000045,0.13470105133301832
ACH-000047,-0.005200427415179097
ACH-000052,-0.06793002212726254
ACH-000053,0.07316591438738843
ACH-000054,0.008564795373983452
ACH-000055,0.33419285490692713
ACH-000060,0.17927643080963904
ACH-000067,0.03631537312603707
ACH-000070,-0.07769872994377222
ACH-000075,0.06937393157783826
ACH-000078,0.15154943421594996
ACH-000082,0.012559422600909228
ACH-000085,-0.030789106991313375
ACH-000086,0.0736818227213809
ACH-000087,0.09644648105311876
ACH-000092,0.11052027317431624
ACH-000095,0.08410053305326896
ACH-000097,0.13153651300403807
ACH-000098,0.05264584554042953
ACH-000099,0.08983998140229253
ACH-000108,-0.05284924391738687
ACH-000113,0.12338924062407396
ACH-000116,0.131844433382802
ACH-000118,0.13888517702628786
ACH-000120,0.1157138450343904
ACH-000123,0.16928742477620054
ACH-000127,-0.0496913297206282
ACH-000128,0.2179589628681073
ACH-000132,0.07450475991486649
ACH-000133,0.06290704252816783
ACH-000137,0.06573265903600158
ACH-000138,0.028741115689205905
ACH-000142,0.1362050308051721
ACH-000143,0.1242737567419863
ACH-000146,-0.06113717198797754
ACH-000148,0.03917545929190082
ACH-000150,-0.003684686073913492
ACH-000152,0.07154080771740079
ACH-000153,0.02446196466149271
ACH-000159,0.021326962688774025
ACH-000160,0.128865830760713
ACH-000163,0.0813948375610631
ACH-000167,0.10414514877035193
ACH-000168,0.05822201385047461
ACH-000169,0.19435479535794312
ACH-000178,0.07255587429021182
ACH-000183,0.1209158242811552
ACH-000188,0.10223396960528217
ACH-000189,0.27104740456508
ACH-000190,0.1925453374583496
ACH-000198,0.09963060086007347
ACH-000203,0.14242613393636913
ACH-000204,-0.10228192486452384
ACH-000206,0.09776433834523024
ACH-000207,0.07200302209000674
ACH-000208,0.1226897274317716
ACH-000210,0.017509892288712286
