,LCN10 (414332)
ACH-000004,-0.2924620247257876
ACH-000005,-0.4466164501998129
ACH-000007,-0.4637703249232258
ACH-000009,-0.4165816581231464
ACH-000011,-0.4623297085527496
ACH-000012,-0.42160475603116615
ACH-000013,-0.4504042911436643
ACH-000014,-0.2123604523909554
ACH-000015,-0.26003410580610953
ACH-000017,-0.2787887112194684
ACH-000018,-0.2638946746148316
ACH-000019,-0.40137257173608376
ACH-000021,-0.29866908518877383
ACH-000022,-0.4038123572139857
ACH-000025,-0.2461924598544845
ACH-000028,-0.1738605671105117
ACH-000030,-0.3441271596493967
ACH-000035,-0.2927735165368992
ACH-000036,-0.3111904689635551
ACH-000037,-0.2981459648891614
ACH-000039,-0.4296159667131341
ACH-000040,-0.4317305402111726
ACH-000041,-0.5150545148188651
ACH-000042,-0.29601241187052385
ACH-000045,-0.3488762656618206
ACH-000047,-0.4704382820882797
ACH-000052,-0.31507929517592226
ACH-000053,-0.3776231748104497
ACH-000054,-0.28709662963073146
ACH-000055,-0.5255571668855601
ACH-000060,-0.4753330452825085
ACH-000067,-0.3665813457332403
ACH-000070,-0.20329391869747307
ACH-000075,-0.4895344218019928
ACH-000078,-0.4027150776774235
ACH-000082,-0.28093338098102777
ACH-000085,-0.299416985632419
ACH-000086,-0.2557966760320918
ACH-000087,-0.2785607047303061
ACH-000092,-0.4074588776080771
ACH-000095,-0.4440365248568339
ACH-000097,-0.3535133327824556
ACH-000098,-0.17042034967798098
ACH-000099,-0.447857676398104
ACH-000108,-0.3443363140589954
ACH-000113,-0.1991086153599983
ACH-000116,-0.4030111153308614
ACH-000118,-0.3038911374044381
ACH-000120,-0.3013454574478676
ACH-000123,-0.2361255126348537
ACH-000127,-0.2635866793078052
ACH-000128,-0.4153644466467023
ACH-000132,-0.21496184748202066
ACH-000133,-0.3390323447475014
ACH-000137,-0.2646476304483104
ACH-000138,-0.4068024388153647
ACH-000142,-0.20328545682245652
ACH-000143,-0.2826153600327037
ACH-000146,-0.3138904399238116
ACH-000148,-0.38197930644029016
ACH-000150,-0.3028592633340514
ACH-000152,-0.3200110163308313
ACH-000153,-0.08742345000746041
ACH-000159,-0.2635396010705579
ACH-000160,-0.2862318042187528
ACH-000163,-0.14375404919395945
ACH-000167,-0.3048405370943943
ACH-000168,-0.4581153352367676
ACH-000169,-0.5398446042126198
ACH-000178,-0.29909191379564204
ACH-000183,-0.18830961805431126
ACH-000188,-0.35027626238028803
ACH-000189,-0.17393246612105567
ACH-000190,-0.2274814598748765
ACH-000198,-0.27336972459538184
ACH-000203,-0.381792031459529
ACH-000204,-0.15943503492623307
ACH-000206,-0.42001003655733293
ACH-000207,-0.5023748507162684
ACH-000208,-0.5078474225603979
ACH-000210,-0.2164980843965836
ACH-000211,-0.4664379636788944
ACH-000215,-0.4125843112369797
ACH-000221,-0.05938537599773181
ACH-000222,-0.3850667084639205
ACH-000223,-0.3740932268198904
ACH-000226,-0.2915568934458182
ACH-000227,-0.3334959516010416
ACH-000228,-0.3739883552483171
ACH-000231,-0.3526623132774928
ACH-000232,-0.3837565750478544
ACH-000233,-0.2612323854429464
ACH-000234,-0.4183298648034584
ACH-000235,-0.2843980353483229
ACH-000237,-0.37746850190641257
ACH-000238,-0.5871255353259534
ACH-000242,0.008708672273122256
