,TASP1 (55617)
ACH-000004,-0.308129789401834
ACH-000005,-0.2830822061641917
ACH-000007,-0.13343518173518787
ACH-000009,-0.06635930434312315
ACH-000011,-0.07607982519222607
ACH-000012,-0.1618382280550338
ACH-000013,-0.04370677813698688
ACH-000014,-0.07812489149536077
ACH-000015,-0.0777977860528496
ACH-000017,-0.05000659179413435
ACH-000018,-0.07454138180189522
ACH-000019,-0.22988811796734476
ACH-000021,-0.1323085555712819
ACH-000022,-0.15936804250130274
ACH-000025,0.02372669148934919
ACH-000028,-0.10589575027103676
ACH-000030,-0.07445672614869278
ACH-000035,-0.2985742732616244
ACH-000036,-0.14383812536036913
ACH-000037,-0.22248306866829531
ACH-000039,-0.2495243264127812
ACH-000040,-0.016362477869057108
ACH-000041,-0.0724083619586783
ACH-000042,-0.19201677961133254
ACH-000045,-0.1320418487354067
ACH-000047,-0.19174486083891806
ACH-000052,-0.3479062441038321
ACH-000053,-0.10630181023507664
ACH-000054,-0.13131095263501402
ACH-000055,-0.28041171392289155
ACH-000060,-0.050260294248498254
ACH-000067,-0.22039420756863798
ACH-000070,-0.2483098704936569
ACH-000075,-0.3304361679426775
ACH-000078,-0.15899927188706028
ACH-000082,-0.1136789013528674
ACH-000085,-0.12329672388891183
ACH-000086,-0.03664248149950443
ACH-000087,-0.18701582728683427
ACH-000092,-0.15393061440842926
ACH-000095,-0.18128794562404704
ACH-000097,-0.11152970462511937
ACH-000098,-0.2022968932888147
ACH-000099,-0.10099475309938157
ACH-000108,-0.13645546842239106
ACH-000113,-0.08368174264640392
ACH-000116,-0.10786652835188107
ACH-000118,-0.10972220202952343
ACH-000120,-0.052076892388543725
ACH-000123,-0.2459939037168304
ACH-000127,-0.17442798801238016
ACH-000128,-0.0885000888345844
ACH-000132,-0.23976382110756575
ACH-000133,-0.1450706892929797
ACH-000137,-0.07272901049599527
ACH-000138,-0.009321032656046996
ACH-000142,0.05150930132688177
ACH-000143,-0.15095152756986607
ACH-000146,-0.1954867512826837
ACH-000148,-0.1459190477278833
ACH-000150,-0.029535280168865224
ACH-000152,-0.2058135112157287
ACH-000153,-0.19677482547623987
ACH-000159,-0.09220900099247313
ACH-000160,-0.0480461096081508
ACH-000163,-0.12686942232164394
ACH-000167,-0.1036153564057976
ACH-000168,-0.0590094564774847
ACH-000169,-0.18460852216085527
ACH-000178,-0.20289959353350687
ACH-000183,-0.28268147063916066
ACH-000188,-0.09043365548938452
ACH-000189,-0.09711735314816124
ACH-000190,-0.06841008781481257
ACH-000198,-0.10255971607834873
ACH-000203,0.030969881296605595
ACH-000204,-0.016045981703134864
ACH-000206,-0.199880272023925
ACH-000207,-0.09631868817363824
ACH-000208,-0.12712903385886848
ACH-000210,-0.03592469685322774
ACH-000211,-0.15378709690131284
ACH-000215,-0.153867059761819
ACH-000221,-0.1396379480221088
ACH-000222,-0.12195371800267828
ACH-000223,-0.15990579273779673
ACH-000226,-0.15374906240623418
ACH-000227,-0.34221173317543896
ACH-000228,-0.1725909471438237
ACH-000231,-0.16119074982858364
ACH-000232,-0.2140337480015467
ACH-000233,-0.07614477223902942
ACH-000234,-0.2065338122622191
ACH-000235,-0.1354755553895915
ACH-000237,-0.02172008961463431
ACH-000238,-0.04488773534239407
ACH-000242,-0.09207686142114307
ACH-000243,-0.1394556011040411
ACH-000244,-0.16195888243096024
ACH-000246,-0.05435104086637376
ACH-000248,0.0673171560462206
ACH-000250,-0.12041264635020647
ACH-000251,-0.033579092856758384
ACH-000252,-0.04405638769276418
ACH-000253,-0.19292426346730152
ACH-000255,-0.1618443735443341
ACH-000256,-0.06749409613755514
ACH-000257,-0.1807336327530242
ACH-000258,0.0153038090320531
ACH-000259,-0.01140503340571574
ACH-000260,-0.18457618972986345
ACH-000261,-0.1886259772434426
ACH-000262,-0.2053894552747564
ACH-000263,-0.012928784791019114
ACH-000264,-0.1984788643831039
ACH-000265,-0.30546244992023885
ACH-000266,-0.2201268438041308
ACH-000272,-0.18937961721504676
ACH-000274,-0.2767384181614284
ACH-000277,-0.17787314010421196
ACH-000278,-0.19257617462726195
ACH-000279,-0.14575977266272153
ACH-000280,-0.1674059264554378
ACH-000281,-0.2752594457875108
ACH-000288,-0.1657408585589571
ACH-000291,-0.04992360721100927
ACH-000293,-0.16241628611528522
ACH-000294,-0.08242781241111159
ACH-000295,-0.015406125077039768
ACH-000296,-0.2550090011615063
ACH-000302,-0.11804136452666693
ACH-000304,-0.15688165878116755
ACH-000307,-0.16008197480246728
ACH-000308,-0.06964096259478136
ACH-000310,-0.1518943983257039
ACH-000311,-0.04081169777668129
ACH-000312,-0.1365024168935721
ACH-000315,-0.1268429639914178
ACH-000316,0.020896332467659727
ACH-000317,-0.023916448152371917
ACH-000318,-0.015530160344070522
ACH-000319,-0.19807494549137852
ACH-000320,-0.3215374629675439
ACH-000322,-0.053243214180459165
ACH-000323,-0.08854110067610764
ACH-000324,-0.03609029948749698
ACH-000329,-0.22052078634657493
ACH-000330,-0.2859170039788945
ACH-000331,-0.2090429711046121
ACH-000332,-0.17733457553467186
ACH-000334,-0.05724334030624961
ACH-000335,-0.08346561096232961
ACH-000336,-0.20088117587255616
ACH-000337,0.10257027629972856
ACH-000338,0.06817825409515217
ACH-000339,-0.10403006279695684
ACH-000341,-0.2517350393091902
ACH-000348,-0.16975285064263254
ACH-000350,-0.2199308044460662
ACH-000352,-0.054258794723095694
ACH-000356,0.018729302648752257
ACH-000361,0.018595730297943702
ACH-000362,-0.1460100396508418
ACH-000363,-0.17401687419039155
ACH-000364,-0.07741702962457513
ACH-000365,-0.21016131408370053
ACH-000366,-0.2016226800179684
ACH-000368,-0.14191997229514053
ACH-000374,-0.015378990534741243
ACH-000375,-0.1468430880292871
ACH-000376,-0.1290644349234407
ACH-000381,-0.06531974099393976
ACH-000383,-0.0893308796459478
ACH-000387,-0.2250100546650304
ACH-000389,-0.01257337791703259
ACH-000390,-0.08296907297437123
ACH-000393,-0.2714691848426577
ACH-000395,-0.17989098288127134
ACH-000396,-0.4025884748318197
ACH-000397,-0.06654841210017168
ACH-000401,0.029055921144419624
ACH-000402,-0.3386094788840561
ACH-000403,-0.2327138431093159
ACH-000404,-0.1626647242797334
ACH-000406,0.05623688631198695
ACH-000407,-0.14508142381240094
ACH-000408,-0.1446548883877714
ACH-000410,-0.39520876172399855
ACH-000411,-0.05404575256127562
ACH-000414,-0.13603853412713562
ACH-000415,-0.135828109893694
ACH-000416,-0.12007532688046214
ACH-000420,-0.1944654743828145
ACH-000421,-0.17400133269252108
ACH-000424,-0.09212539246983124
ACH-000425,-0.03471498607972299
ACH-000426,-0.08390042156491095
ACH-000427,-0.19255687812876066
ACH-000433,-0.1520804351634031
ACH-000435,-0.09695589118840868
ACH-000436,-0.07513165053166893
ACH-000444,-0.07435492131331438
ACH-000445,0.15185368312110595
ACH-000448,-0.08061486388227775
ACH-000450,0.10252386318056747
ACH-000452,-0.087883721004241
ACH-000454,-0.13754040671848008
ACH-000458,-0.14861260412010807
ACH-000459,-0.0981886867977103
ACH-000460,-0.03669421364672303
ACH-000461,-0.12430927175952634
ACH-000463,-0.1041466191696709
ACH-000464,-0.19826410645274986
ACH-000466,-0.19199514517028554
ACH-000467,-0.11602221071700003
ACH-000468,-0.12136779789319838
ACH-000469,-0.10776278940529264
ACH-000470,-0.1334139709083074
ACH-000471,-0.15480744587282452
ACH-000472,-0.08704159747315711
ACH-000473,-0.1182253245357
ACH-000475,-0.04542910962957929
ACH-000476,-0.07078955614251628
ACH-000477,-0.08357229652430022
ACH-000479,-0.4082281985522753
ACH-000480,-0.07757166434604436
ACH-000481,-0.15164161895936287
ACH-000483,-0.10619866550808503
ACH-000484,-0.1869555940796284
ACH-000485,-0.06194863588528515
ACH-000486,-0.0931032127096201
ACH-000487,-0.06201494870481455
ACH-000488,-0.08576384135015531
ACH-000490,-0.18108476900591952
ACH-000491,-0.17897774948117612
ACH-000495,-0.006989369411657825
ACH-000496,-0.12395583525748055
ACH-000499,-0.011875141064721664
ACH-000500,-0.4154233121807632
ACH-000502,-0.12923962399767006
ACH-000503,-0.00311290531112492
