,PARD6B (84612)
ACH-000004,-0.1536348091061474
ACH-000005,-0.013261838817748136
ACH-000007,0.023200083453422785
ACH-000009,-0.7319325937831772
ACH-000011,-0.7136431163639174
ACH-000012,0.11257989630689097
ACH-000013,-0.7435457027098291
ACH-000014,-0.2386316078181593
ACH-000015,-0.0799646109759489
ACH-000017,-0.0543691333293226
ACH-000018,-0.2562167905591395
ACH-000019,-0.8010383484937792
ACH-000021,-0.4131501631594693
ACH-000022,0.023149941585816063
ACH-000025,0.03627738302316163
ACH-000028,-0.6122827626453647
ACH-000030,-0.28092740699714003
ACH-000035,-0.04021231433759387
ACH-000036,-0.3464382733670745
ACH-000037,-0.034599227171505875
ACH-000039,-0.1472850278224212
ACH-000040,0.021582065981032933
ACH-000041,-0.09875545720231108
ACH-000042,-0.12431185016556212
ACH-000045,-0.28005258977934394
ACH-000047,-0.9937829230542764
ACH-000052,-0.16974247200312584
ACH-000053,-0.14561024205770026
ACH-000054,-0.08614223432822403
ACH-000055,0.10956806587002603
ACH-000060,-0.7104028540741425
ACH-000067,-0.1337852299592184
ACH-000070,-0.3079366953633265
ACH-000075,-0.14229790069038226
ACH-000078,-0.18854535909125392
ACH-000082,-0.229764282580977
ACH-000085,-0.2072922296180244
ACH-000086,-0.2422748191676045
ACH-000087,-0.05018460206486616
ACH-000092,-0.10014722870609608
ACH-000095,-0.3335443236433345
ACH-000097,-0.4952545319140725
ACH-000098,-0.08113236082365474
ACH-000099,-0.18349608865044667
ACH-000108,-0.8412174721019671
ACH-000113,-0.15574205778872913
ACH-000116,-0.51213089206836
ACH-000118,-0.6710676750507141
ACH-000120,-0.1258897388081926
ACH-000123,-0.2441148642432488
ACH-000127,-0.2979888111715632
ACH-000128,-0.2770441914487072
ACH-000132,-0.4352510842720408
ACH-000133,-0.2781598067653318
ACH-000137,-0.15645337627768016
ACH-000138,-0.4813722238224421
ACH-000142,-0.18633500008571105
ACH-000143,-0.1693343392484481
ACH-000146,-0.07635265046786771
ACH-000148,-0.1718189811690089
ACH-000150,-0.13528930166247227
ACH-000152,-0.13565445986631486
ACH-000153,-0.10194109036435507
ACH-000159,-0.4591596663078016
ACH-000160,-0.18673016848696067
ACH-000163,-0.22015554544973
ACH-000167,-0.33639047184199306
ACH-000168,-0.4396970670199321
ACH-000169,-0.24412062355294184
ACH-000178,-0.291321738734252
ACH-000183,-0.09570179711500992
ACH-000188,-0.07171653229227604
ACH-000189,-0.5903859609043897
ACH-000190,-0.11439993464040313
ACH-000198,-0.0929445460820062
ACH-000203,-0.09088160809623937
ACH-000204,-0.3892992819538335
ACH-000206,-0.4120276347085951
ACH-000207,-0.14731455596413914
ACH-000208,-0.16815303793348885
ACH-000210,-0.4641033119632665
ACH-000211,-0.13472155638824818
ACH-000215,-0.0742760424571679
ACH-000221,-0.13407081082343633
ACH-000222,-0.14179436323636296
ACH-000223,-0.051327320586171565
ACH-000226,-0.11896237550021538
ACH-000227,-0.09718576054210007
ACH-000228,-0.319693926668816
ACH-000231,-0.3367950245702895
ACH-000232,-0.1063322312984488
ACH-000233,-0.1677459060681211
ACH-000234,-0.6433907803294949
ACH-000235,-0.5590013501150155
ACH-000237,-0.3225445705062016
ACH-000238,-0.27750468963596225
ACH-000242,-0.24334684310600302
ACH-000243,-0.14171200239848275
ACH-000244,-0.453392142687777
ACH-000246,-0.93746187311228
ACH-000248,-0.12631808231993644
ACH-000250,-0.43865414290065297
ACH-000251,-0.10839957490369552
ACH-000252,0.014421981418375113
ACH-000253,-0.16213859439290482
ACH-000255,-0.15405707268108804
ACH-000256,-0.6614117568469818
ACH-000257,-0.024421322363115738
ACH-000258,-0.08955121060457638
ACH-000259,-0.16715188925000407
ACH-000260,-0.18318632535005397
ACH-000261,-0.3221171900570435
ACH-000262,-0.6624759899784399
ACH-000263,-0.16410599745339252
ACH-000264,-0.10135115512298247
ACH-000265,0.04272603112527636
ACH-000266,-0.05265687145891312
ACH-000272,-0.8066908211344217
ACH-000274,-0.2804517950275011
ACH-000277,-0.4846717504760803
ACH-000278,-0.2619656036165668
ACH-000279,-0.07181654473253067
ACH-000280,-0.4848742118430756
ACH-000281,-0.09926912445383083
ACH-000288,-0.21778338045054965
ACH-000291,-0.4884024309125546
ACH-000293,-0.4390549645583016
ACH-000294,-0.10511142509004028
ACH-000295,-0.1953399008164179
ACH-000296,-0.6173893237903549
ACH-000302,-0.8918814643886144
ACH-000304,0.1016518062010886
ACH-000307,-0.1011681266331296
ACH-000308,-0.2817845399873837
ACH-000310,-0.18161770332715604
ACH-000311,0.02462955119256777
ACH-000312,-0.09040202565798047
ACH-000315,-0.04091646290333897
ACH-000316,-0.24468248306652216
ACH-000317,-0.7658915363209945
ACH-000318,-0.3144727084079215
ACH-000319,-0.21774033760377615
ACH-000320,-0.3747942292136106
ACH-000322,-0.4545234875006205
ACH-000323,-0.037338828766335416
ACH-000324,-0.7715053917096839
ACH-000329,-0.1887162195239601
ACH-000330,-0.01780035679159593
ACH-000331,-0.2870228023029126
ACH-000332,-0.3613548315436283
ACH-000334,-0.057066738744501064
ACH-000335,-0.18838429373623766
ACH-000336,-0.2838786221632636
ACH-000337,0.12625372974795332
ACH-000338,0.36574788082101856
ACH-000339,-0.06276208969662404
ACH-000341,-0.2754483411648255
ACH-000348,-0.11735739709883257
ACH-000350,-0.1703691346705828
ACH-000352,-0.19455516872893988
ACH-000356,0.023067192971818036
ACH-000361,-0.11140861057992828
ACH-000362,-0.0920684159666934
ACH-000363,-0.14413805898502205
ACH-000364,-0.4323649100022157
ACH-000365,-0.05337699862340473
ACH-000366,-0.1815045647328546
ACH-000368,-0.14169530985418005
ACH-000374,-0.1523257907500808
ACH-000375,-0.5721407602662301
ACH-000376,-0.25091635998053674
ACH-000381,-0.2091701284314831
ACH-000383,-0.604868419524814
ACH-000387,-0.09227370227374676
ACH-000389,-0.3101575274246271
ACH-000390,-0.05189320207520942
ACH-000393,-0.10530627860901548
ACH-000395,-0.8610683351978392
ACH-000396,-0.7223112130129239
ACH-000397,-0.8885334306592714
ACH-000401,-0.18555578265523948
ACH-000402,-0.06013911897326823
ACH-000403,-0.5639355496061719
ACH-000404,-0.15061483093646374
ACH-000406,-0.04939090240710912
