,VENTX (27287)
ACH-000004,-0.1337513817324403
ACH-000005,-0.06883846799474334
ACH-000007,-0.13343358732915056
ACH-000009,-0.17115042208273393
ACH-000011,-0.12302251217607366
ACH-000012,-0.3659442978775061
ACH-000013,-0.06646181931496087
ACH-000014,-0.22240157038100647
ACH-000015,-0.09931377473948703
ACH-000017,-0.29946078294435075
ACH-000018,-0.16820894743324233
ACH-000019,-0.058126328397968725
ACH-000021,-0.0415748775608929
ACH-000022,-0.2057165359056652
ACH-000025,-0.3247960185577208
ACH-000028,0.08822199698342452
ACH-000030,-0.1670088475202592
ACH-000035,-0.15653393715508282
ACH-000036,-0.3577689749212167
ACH-000037,-0.2497451867495448
ACH-000039,-0.4145101217064777
ACH-000040,-0.2673173009182052
ACH-000041,-0.15648130965822982
ACH-000042,-0.2200643213670768
ACH-000045,-0.2967088338870679
ACH-000047,-0.09929629455900332
ACH-000052,-0.3117698530796996
ACH-000053,-0.10044615562608464
ACH-000054,-0.2225644783087739
ACH-000055,-0.30380366718703233
ACH-000060,-0.3857488477257744
ACH-000067,-0.4882279260619966
ACH-000070,-0.03210365794287246
ACH-000075,-0.2397311904103208
ACH-000078,-0.35782331990785315
ACH-000082,-0.14991292988981
ACH-000085,-0.2169864361917446
ACH-000086,-0.08139951727066508
ACH-000087,-0.33226101552138104
ACH-000092,-0.1622403525419819
ACH-000095,-0.22316388639240675
ACH-000097,-0.14733226411208228
ACH-000098,-0.22150122601976852
ACH-000099,-0.22445119996953175
ACH-000108,-0.21438399270413025
ACH-000113,-0.1439874036350754
ACH-000116,-0.15554479457784667
ACH-000118,-0.1822806406526848
ACH-000120,-0.3234651244858744
ACH-000123,-0.14651869410812932
ACH-000127,-0.040422600724065866
ACH-000128,-0.005887541069641907
ACH-000132,-0.1291104518917119
ACH-000133,-0.2687924775220735
ACH-000137,-0.10141245655588477
ACH-000138,-0.12366951895853237
ACH-000142,-0.3823468602759623
ACH-000143,-0.07984244626938394
ACH-000146,-0.16892244545187618
ACH-000148,-0.29222899080659154
ACH-000150,-0.15861083392912076
ACH-000152,-0.1921411082246461
ACH-000153,-0.3872810203489036
ACH-000159,-0.10077520324553904
ACH-000160,-0.06353803989949648
ACH-000163,-0.20931620848926608
ACH-000167,0.09953862611113078
ACH-000168,-0.2534255508202761
