,NIF3L1 (60491)
ACH-000004,-0.24201122862704205
ACH-000005,-0.1359548414801053
ACH-000007,0.0666668196026613
ACH-000009,-0.04148261979962632
ACH-000011,-0.05179213956132666
ACH-000012,-0.11302906484567307
ACH-000013,-0.11661583481684455
ACH-000014,-0.05241462500620744
ACH-000015,-0.05793151317233194
ACH-000017,0.008414997953082953
ACH-000018,-0.3865590830476105
ACH-000019,-0.017175749094939616
ACH-000021,-0.12110378310978052
ACH-000022,-0.006348892478597811
ACH-000025,-0.12757093699399302
ACH-000028,-0.10375980433475908
ACH-000030,-0.14437087466661222
ACH-000035,0.06612040971932638
ACH-000036,-0.0559591896361742
ACH-000037,-0.2453042887809584
ACH-000039,-0.20250338698420653
ACH-000040,-0.18127328097874612
ACH-000041,-0.08115366015188355
ACH-000042,-0.0844796030272232
ACH-000045,-0.06888430226455236
ACH-000047,-0.25339222518614074
ACH-000052,-0.12787183380995684
ACH-000053,-0.0616443301604303
ACH-000054,-0.18288940735210066
ACH-000055,-0.034077994393822836
ACH-000060,-0.1301982253998499
ACH-000067,-0.07516400673347838
ACH-000070,-0.045612395214614035
ACH-000075,-0.04991318274712477
ACH-000078,-0.0984066614264412
ACH-000082,-0.14698896276725848
ACH-000085,-0.30454000021591016
ACH-000086,-0.0449035676814356
ACH-000087,0.009857594740432312
ACH-000092,-0.2647945085159848
ACH-000095,-0.1082836783403352
ACH-000097,0.0395680207239639
ACH-000098,-0.14973149262521826
ACH-000099,-0.07108069399728087
ACH-000108,-0.14170321655210955
ACH-000113,-0.06473940235502121
ACH-000116,0.04187159252740322
ACH-000118,-0.12295718371093503
ACH-000120,-0.17844030457995638
ACH-000123,-0.05861926852555462
ACH-000127,0.07553190573592715
ACH-000128,-0.016455006483790106
ACH-000132,0.01817871636236356
ACH-000133,0.0019415734791379668
ACH-000137,-0.1130776626597651
ACH-000138,-0.1172713630469002
ACH-000142,0.10040420055886186
ACH-000143,-0.2225069889314557
ACH-000146,-0.1194228489917213
ACH-000148,-0.2268400420071961
ACH-000150,-0.08124902249937628
ACH-000152,-0.1688163295083668
ACH-000153,-0.05725228757234663
ACH-000159,-0.1640894622363966
ACH-000160,-0.06200806356492361
ACH-000163,-0.09981717921685744
ACH-000167,-0.19353242498356024
ACH-000168,-0.23500501872124024
ACH-000169,-0.10335555656762796
ACH-000178,-0.1912415176000288
ACH-000183,-0.011915427000554582
ACH-000188,-0.1873886209279512
ACH-000189,-0.191342431443158
ACH-000190,-0.1296133067869357
ACH-000198,-0.2326302200917137
ACH-000203,-0.0978408578293816
ACH-000204,-0.2849503348214005
ACH-000206,0.17072062984482872
ACH-000207,-0.0843298390268447
ACH-000208,-0.08162744253001747
ACH-000210,0.07643478578733658
ACH-000211,-0.14116864222099446
ACH-000215,-0.07555482269905056
ACH-000221,-0.2724150048760717
ACH-000222,-0.10144885748460254
ACH-000223,-0.18199043122442704
ACH-000226,-0.043740615241824696
ACH-000227,-0.06367706522506696
ACH-000228,-0.1031506697314878
ACH-000231,-0.07962075596392784
ACH-000232,-0.04096772952571005
ACH-000233,-0.10932162870704733
ACH-000234,-0.4428433105145138
ACH-000235,-0.10466021794385708
ACH-000237,-0.1448941692470013
ACH-000238,-0.15702126667987132
ACH-000242,-0.1143931798313925
ACH-000243,-0.11049294268761987
ACH-000244,-0.3580060328998877
ACH-000246,-0.0422555655334352
ACH-000248,-0.09460670237745143
ACH-000250,-0.22304434056312689
ACH-000251,0.16543888754042324
ACH-000252,-0.10802166425746923
ACH-000253,0.027004564677389462
ACH-000255,0.06783233980427028
ACH-000256,-0.17157322776808168
ACH-000257,0.03197092134772585
ACH-000258,-0.050303760123794984
ACH-000259,-0.1654778895004816
ACH-000260,-0.02668011420400494
ACH-000261,-0.11427993386010335
ACH-000262,-0.21118708474522307
ACH-000263,-0.05869200129290127
ACH-000264,-0.186127758563412
ACH-000265,-0.04551267882400657
ACH-000266,-0.08835927479882831
ACH-000272,-0.15649360218589786
ACH-000274,-0.1884165042768616
ACH-000277,-0.007830952010702483
ACH-000278,-0.01337579245674163
ACH-000279,-0.21554935324490027
ACH-000280,-0.05264679756056583
ACH-000281,-0.03303139097761787
ACH-000288,-0.2492301568957361
ACH-000291,0.07565631083852135
ACH-000293,0.0451125712592212
ACH-000294,0.037313760780346164
ACH-000295,-0.16745914152043512
ACH-000296,-0.16446611758335525
ACH-000302,-0.0572241595059887
ACH-000304,-0.3247678577338422
ACH-000307,-0.16313456418453476
ACH-000308,-0.07897721382337486
ACH-000310,-0.11819655978286482
ACH-000311,-0.006260595420254176
ACH-000312,-0.20153388861466406
ACH-000315,0.1768405714378293
ACH-000316,-0.1655650485857816
ACH-000317,-0.12963716137047104
ACH-000318,-0.04370258133358335
ACH-000319,-0.12344943445643325
ACH-000320,-0.2141731459945694
ACH-000322,-0.08519279653061068
ACH-000323,-0.17215371579322675
ACH-000324,-0.18016547341810465
ACH-000329,-0.12955958857789332
ACH-000330,-0.07105812588018398
