,KXD1 (79036)
ACH-000004,-0.3179873775344108
ACH-000005,-0.4451735510355522
ACH-000007,-0.4493269271211192
ACH-000009,-0.16264974064249768
ACH-000011,-0.2266334879075846
ACH-000012,-0.1615342495014879
ACH-000013,-0.3160050469823475
ACH-000014,-0.3799309587719056
ACH-000015,-0.4223449797897773
ACH-000017,-0.5787267834272142
ACH-000018,-0.08594853715336324
ACH-000019,-0.2419371029610573
ACH-000021,-0.3924870513958094
ACH-000022,-0.3901318818710163
ACH-000025,-0.2363125146086784
ACH-000028,-0.2773157608840751
ACH-000030,-0.30725280827642715
ACH-000035,-0.2943474524641066
ACH-000036,-0.35466355233576324
ACH-000037,-0.31775410103527435
ACH-000039,-0.2603527939160054
ACH-000040,-0.4179059491733083
ACH-000041,-0.26748552769944856
ACH-000042,-0.3132708904890427
ACH-000045,-0.4228394652763449
ACH-000047,-0.27612452892587896
ACH-000052,-0.3172241863425397
ACH-000053,-0.3933050562666512
ACH-000054,-0.3306120474018264
ACH-000055,-0.24171549854592256
ACH-000060,-0.2930863703513622
ACH-000067,-0.19049315421749266
ACH-000070,-0.36589764764198696
ACH-000075,-0.2565558945560619
ACH-000078,-0.1795158580647398
ACH-000082,-0.31841285174159345
ACH-000085,-0.7204678027278135
ACH-000086,-0.21688638743684086
ACH-000087,-0.19425767881374567
ACH-000092,-0.3877408087588254
ACH-000095,-0.2733276657435165
ACH-000097,-0.3559785971565199
ACH-000098,-0.17507519057888454
ACH-000099,-0.3605341730275557
ACH-000108,-0.35364946518059714
ACH-000113,-0.5078987348088669
ACH-000116,-0.1768941059782456
ACH-000118,-0.2565965131463343
ACH-000120,-0.29611464019453954
ACH-000123,-0.3133161496887245
ACH-000127,-0.3517478976996051
ACH-000128,-0.2086527364821084
ACH-000132,-0.3175702121411598
ACH-000133,-0.15113499108361614
ACH-000137,-0.3153861933051062
ACH-000138,-0.3639035323874565
ACH-000142,-0.3240147188151316
ACH-000143,-0.39269497138241705
ACH-000146,-0.3529860232552223
ACH-000148,-0.3372152979360462
ACH-000150,-0.4045652311782241
ACH-000152,-0.3907010822062126
ACH-000153,-0.3416795113691861
ACH-000159,-0.3427458131705066
ACH-000160,-0.3682639031494767
ACH-000163,-0.4410114333245942
ACH-000167,-0.03816384884679819
ACH-000168,-0.4666153810388022
ACH-000169,-0.4142098718808431
ACH-000178,-0.4331938961950687
ACH-000183,-0.4549445918195084
ACH-000188,-0.3262113039227849
ACH-000189,-0.4167929036778071
ACH-000190,-0.12174486138732755
ACH-000198,-0.3868055653300523
ACH-000203,-0.4538755513053487
ACH-000204,-0.42866810340270667
ACH-000206,-0.1890702981324172
ACH-000207,-0.35328808718565635
ACH-000208,-0.28461019143169264
ACH-000210,-0.06732997279383787
ACH-000211,-0.3104842709457615
ACH-000215,-0.2548689967383169
ACH-000221,-0.4825276621928991
ACH-000222,-0.2836494720458191
ACH-000223,-0.33896985371587346
ACH-000226,-0.2351634442827993
ACH-000227,-0.2528782537890534
ACH-000228,-0.2976843699502036
ACH-000231,-0.1954480316598288
ACH-000232,-0.4420062770648151
ACH-000233,-0.435957885275992
ACH-000234,-0.4017207956035449
ACH-000235,-0.3055435392022796
ACH-000237,-0.3246217140166762
ACH-000238,-0.2610429897780171
ACH-000242,-0.033320088978386626
ACH-000243,-0.41447890909212826
ACH-000244,-0.12920554191941488
ACH-000246,-0.1682551690018391
ACH-000248,-0.5805606916605692
ACH-000250,-0.4090060498611773
ACH-000251,-0.3740647516783928
ACH-000252,-0.27534067981560045
ACH-000253,-0.2826168535310797
ACH-000255,-0.3526653242080637
ACH-000256,-0.2854781721141934
ACH-000257,-0.4850749818622636
ACH-000258,-0.1581607467260338
ACH-000259,-0.14077738437710466
ACH-000260,-0.3283625130658374
ACH-000261,-0.2986091917064469
ACH-000262,-0.2800143680999325
ACH-000263,-0.3673491133375609
ACH-000264,-0.2984416807868881
ACH-000265,-0.24040382578335864
ACH-000266,-0.2558145074450949
ACH-000272,-0.4764304356030178
ACH-000274,-0.14589967000554338
ACH-000277,-0.3104047600549492
ACH-000278,-0.32966239408833103
ACH-000279,-0.16850610564992688
ACH-000280,-0.33142561517579705
ACH-000281,-0.3406964875651741
ACH-000288,-0.20020275027803933
ACH-000291,-0.28722397554447626
ACH-000293,-0.1255916314294058
ACH-000294,-0.5623475652950217
ACH-000295,-0.8663426337152993
ACH-000296,-0.5478476043002434
ACH-000302,-0.4656428471112965
ACH-000304,-0.25602670694805896
ACH-000307,-0.2270422320491147
ACH-000308,-0.2186227510427893
ACH-000310,-0.07139465091766327
ACH-000311,-0.3177506775938792
ACH-000312,-0.3749246683410589
ACH-000315,-0.5302537384904039
ACH-000316,-0.34994493968712714
ACH-000317,-0.2834824165603897
ACH-000318,-0.4967878181740493
ACH-000319,-0.358393787266246
ACH-000320,-0.32067472355164056
ACH-000322,-0.26313644258936586
