,CYP4F11 (57834)
ACH-000004,-0.4420654646525531
ACH-000005,-0.6191311347284453
ACH-000007,-0.45024726623981776
ACH-000009,-0.4505190147858401
ACH-000011,-0.2344751173601091
ACH-000012,-0.3991158010365866
ACH-000013,-0.3282136843915933
ACH-000014,-0.4142901657141981
ACH-000015,-0.4865679334602053
ACH-000017,-0.31541428544543626
ACH-000018,-0.3562000818383485
ACH-000019,-0.5229386117980663
ACH-000021,-0.3072395973630567
ACH-000022,-0.3345579876416474
ACH-000025,-0.4032847299645824
ACH-000028,-0.4095076725669261
ACH-000030,-0.3430641078083084
ACH-000035,-0.4543554072568786
ACH-000036,-0.41077580396998137
ACH-000037,-0.4380585221976781
ACH-000039,-0.6273410198130697
ACH-000040,-0.3114082348040329
ACH-000041,-0.3449574410338454
ACH-000042,-0.4161906299831069
ACH-000045,-0.3347783338478678
ACH-000047,-0.2428750468035083
ACH-000052,-0.4625240895995893
ACH-000053,-0.3737390363765518
ACH-000054,-0.5219181778135488
ACH-000055,-0.31158928940692066
ACH-000060,-0.3685027927776938
ACH-000067,-0.2876040942086183
ACH-000070,-0.4799294572529149
ACH-000075,-0.3505412384198452
ACH-000078,-0.38747561666077823
ACH-000082,-0.26521277655210845
ACH-000085,-0.1967014456888712
ACH-000086,-0.4255915256555735
ACH-000087,-0.4419704303070189
ACH-000092,-0.3377664139837058
ACH-000095,-0.5308306472573282
ACH-000097,-0.4518035459092807
ACH-000098,-0.41877587745805583
ACH-000099,-0.452552686109203
ACH-000108,-0.3733820444683766
ACH-000113,-0.27896668731387425
ACH-000116,-0.4816105308330012
ACH-000118,-0.2953174434803451
ACH-000120,-0.35390034209171783
ACH-000123,-0.4758719855658151
ACH-000127,-0.4841393159016679
ACH-000128,-0.5645584072477323
ACH-000132,-0.3577769209730501
ACH-000133,-0.3228426890502854
ACH-000137,-0.2538260470089227
ACH-000138,-0.4828773952621499
ACH-000142,-0.2918328200022112
ACH-000143,-0.4428895876317052
ACH-000146,-0.4134819242054986
ACH-000148,-0.3063545514917297
ACH-000150,-0.30369202070020984
ACH-000152,-0.3360908396123155
ACH-000153,-0.2384807025162004
ACH-000159,-0.4926653757768865
ACH-000160,-0.3533306526264696
ACH-000163,-0.6207099830497795
ACH-000167,-0.4124213072497525
ACH-000168,-0.4014689808551778
ACH-000169,-0.5586808821448674
ACH-000178,-0.36407292720170903
ACH-000183,-0.25198907082710553
ACH-000188,-0.40948992936914297
ACH-000189,-0.32788327379922044
ACH-000190,-0.30774835693115304
ACH-000198,-0.417749292579626
ACH-000203,-0.31631512073326823
ACH-000204,-0.3703154323038685
ACH-000206,-0.4038905040980317
ACH-000207,-0.3651152644478524
ACH-000208,-0.2642546838493335
ACH-000210,-0.052903441679212494
ACH-000211,-0.392034047441027
ACH-000215,-0.3429899955986627
ACH-000221,-0.5128738340438352
ACH-000222,-0.3133299190481432
ACH-000223,-0.38067950643428816
ACH-000226,-0.33981570556388896
ACH-000227,-0.4918561018619164
ACH-000228,-0.5381953819104927
ACH-000231,-0.3178563429367922
ACH-000232,-0.2975837439615315
ACH-000233,-0.5074687411286477
ACH-000234,-0.7904848550768708
ACH-000235,-0.34486864972347153
ACH-000237,-0.28856300252314904
ACH-000238,-0.2549401684671792
ACH-000242,-0.18923621274257169
ACH-000243,-0.3843312765417053
ACH-000244,-0.29263903602014657
ACH-000246,-0.3237152576683589
ACH-000248,-0.3805854567692611
ACH-000250,-0.3619583814303803
ACH-000251,-0.36756984774287416
ACH-000252,-0.5193094232439288
ACH-000253,-0.3211420051514614
ACH-000255,-0.4272797727074638
ACH-000256,-0.4708609695148771
ACH-000257,-0.3870106895368451
ACH-000258,-0.6645793602526153
ACH-000259,-0.31845311429819023
ACH-000260,-0.4692030784670826
