,HMHA1 (23526)
ACH-000004,-0.223195485382596
ACH-000005,-0.4098711439518545
ACH-000007,-0.4735676212157278
ACH-000009,-0.13037688290626395
ACH-000011,0.02723330393795661
ACH-000012,-0.014572300502716816
ACH-000013,0.0007916272876631082
ACH-000014,-0.12235962197173647
ACH-000015,-0.05200812367686683
ACH-000017,-0.19749795746961613
ACH-000018,0.19272997630022415
ACH-000019,-0.11155347480931424
ACH-000021,-0.2383364256678956
ACH-000022,-0.15942388833880836
ACH-000025,-0.19415460614674573
ACH-000028,0.026393208943576742
ACH-000030,-0.03942634999121188
ACH-000035,-0.12956089835248652
ACH-000036,-0.005219039905926481
ACH-000037,-0.20395891737498265
ACH-000039,0.07574212213352549
ACH-000040,-0.15564446427357048
ACH-000041,-0.09125872001868196
ACH-000042,-0.21128586580877248
ACH-000045,-0.4877597528749881
ACH-000047,0.021446576002998968
ACH-000052,0.06566411730292449
ACH-000053,-0.08982126678691886
ACH-000054,-0.10010396628990037
ACH-000055,-0.16872147017822173
ACH-000060,0.11416850076265872
ACH-000067,-0.06590378775308661
ACH-000070,-0.3697181336750614
ACH-000075,0.0673046315405806
ACH-000078,-0.053694809161274525
ACH-000082,-0.10461997647852228
ACH-000085,-0.2069677034092497
ACH-000086,-0.04805652399345766
ACH-000087,-0.17510933043124433
ACH-000092,-0.10223298521022307
ACH-000095,-0.052550635402425716
ACH-000097,-0.14051553361768854
ACH-000098,-0.14587219600659895
ACH-000099,-0.07651273686703458
ACH-000108,-0.18073882504659425
ACH-000113,-0.27872813940587704
ACH-000116,-0.06658450366038315
ACH-000118,-0.0615328746285951
ACH-000120,0.08260529003909799
ACH-000123,-0.08455459064458191
ACH-000127,-0.10331327650498964
ACH-000128,-0.20934678586721572
ACH-000132,-0.07473785053511697
ACH-000133,-0.015807941600699402
ACH-000137,-0.2217935024761896
ACH-000138,-0.2047978923216758
ACH-000142,0.09608234463760047
ACH-000143,0.0222952061353302
ACH-000146,-0.2146542272925135
ACH-000148,-0.10752883039115092
ACH-000150,0.0449146344100064
ACH-000152,-0.08844706763259967
ACH-000153,-0.16013430338155826
ACH-000159,-0.22407892504998692
ACH-000160,-0.09111821058571044
ACH-000163,-0.011024707538929429
ACH-000167,-0.1937567185329965
ACH-000168,-0.17991874342075706
