,GNAQ (2776)
ACH-000004,0.02218106665951036
ACH-000005,0.10895934655004566
ACH-000007,-0.23039913164767856
ACH-000009,-0.2701439512880234
ACH-000011,-0.19061517572614609
ACH-000012,-0.1553585045968737
ACH-000013,-0.2787154742570598
ACH-000014,-0.41119553751353016
ACH-000015,-0.3288238637098712
ACH-000017,-0.2495583253284913
ACH-000018,-0.29550459873990464
ACH-000019,-0.25917572545905765
ACH-000021,-0.2024628451434593
ACH-000022,-0.1915672858936106
ACH-000025,-0.2667032318164886
ACH-000028,-0.14457695109367286
ACH-000030,-0.2058577315648802
ACH-000035,-0.3906243139186321
ACH-000036,-0.20686804618018007
ACH-000037,-0.23019861930530885
ACH-000039,-0.2515321973402335
ACH-000040,-0.3617245643407631
ACH-000041,-0.15657288406294476
ACH-000042,-0.2718991056746069
ACH-000045,-0.2594499726476024
ACH-000047,-0.2988048249661278
ACH-000052,-0.0581280836160287
ACH-000053,-0.24146215297062956
ACH-000054,-0.3984312699179224
ACH-000055,-0.2336222236584859
ACH-000060,-0.2000283309974636
ACH-000067,-0.11774583216965805
ACH-000070,-0.2389896492684469
ACH-000075,-0.11127502320510747
ACH-000078,0.03970204011691511
ACH-000082,-0.28131705780016464
ACH-000085,-0.16801364720518325
ACH-000086,-0.33363663804787497
ACH-000087,-0.30025876930545664
ACH-000092,-0.27823240869848154
ACH-000095,-0.1732897171569908
ACH-000097,-0.35225686793357164
ACH-000098,-0.232258525295364
ACH-000099,-0.2835969391673482
ACH-000108,-0.24049629837761086
ACH-000113,-0.13654394892927346
ACH-000116,-0.24242270803130214
ACH-000118,-0.18278369519145932
ACH-000120,-0.5833482964835272
ACH-000123,-0.16630347671248288
ACH-000127,-0.3775696586744322
ACH-000128,-0.3196085958912117
ACH-000132,-0.17514605126511038
ACH-000133,-0.23663145517783635
ACH-000137,-0.3214584313220375
ACH-000138,-0.1963173334647369
ACH-000142,-0.19599530817620486
ACH-000143,-0.4168438004883414
ACH-000146,-0.2504989448231574
ACH-000148,-0.3551580428768176
ACH-000150,-0.2695185560617788
ACH-000152,-0.2031050590441286
ACH-000153,-0.4076026760247298
ACH-000159,-0.3086540729995442
ACH-000160,-0.4002486885617508
ACH-000163,-0.2905206893861019
ACH-000167,-0.38757385791552
ACH-000168,0.017778258289183575
ACH-000169,-0.3006456384221796
ACH-000178,-0.35292823881226143
ACH-000183,-0.18556806917521415
ACH-000188,-0.1481692482397552
ACH-000189,-0.6631046458227907
ACH-000190,-0.3959533513158399
ACH-000198,-0.1660798688790991
ACH-000203,-0.5570441702670522
ACH-000204,-0.43036263092394056
ACH-000206,-0.1275925027077285
ACH-000207,-0.17307835342156797
ACH-000208,-0.3384054176782409
ACH-000210,-0.3871163639664022
ACH-000211,-0.21316650579059346
ACH-000215,-0.2418269510171099
ACH-000221,-0.2751821321902451
ACH-000222,-0.3570722565236898
ACH-000223,-0.2316613295860467
ACH-000226,-0.2327049931480384
ACH-000227,-0.21423325105133945
ACH-000228,-0.07501853540817048
ACH-000231,-0.26230036920349226
ACH-000232,-0.33537244543227696
ACH-000233,-0.13038936797687478
ACH-000234,-0.19877874509192656
ACH-000235,-0.2434848010580903
ACH-000237,-0.3620706018802912
ACH-000238,-0.224685543888399
ACH-000242,-0.10850735407928999
ACH-000243,-0.38139320671217203
ACH-000244,-0.17940255302697494
ACH-000246,-0.1752688151003222
ACH-000248,-0.03950462267796135
ACH-000250,-0.2490892842298897
ACH-000251,-0.3495741721591747
ACH-000252,-0.0288273839328575
ACH-000253,-0.12403158167400193
ACH-000255,-0.16094778765644466
ACH-000256,-0.1321976672891216
ACH-000257,-0.1936239958829684
ACH-000258,-0.2980962053394527
ACH-000259,-0.30030539488808183
ACH-000260,-0.2360864359597943
ACH-000261,-0.3115942844217405
ACH-000262,-0.3635108975388289
ACH-000263,-0.544294498823886
ACH-000264,-0.05485026047757675
ACH-000265,-0.2674927724369475
ACH-000266,-0.3185471018171843
ACH-000272,-0.1832703048076964
ACH-000274,-0.20467582113755795
ACH-000277,0.03622464757434877
ACH-000278,-0.0545841782062412
ACH-000279,-0.09503354638499104
ACH-000280,-0.007850925116796732
ACH-000281,-0.2677548935607549
ACH-000288,-0.20521968485063985
ACH-000291,-0.2358042740839197
ACH-000293,-0.32100615784790465
ACH-000294,-0.11869366921954
ACH-000295,-0.02294822904379435
ACH-000296,-0.11287919911524975
ACH-000302,-0.25871530197541825
ACH-000304,-0.2168863117609384
ACH-000307,-0.19666972667977686
ACH-000308,-0.25139862853088146
ACH-000310,-0.07705093138152815
ACH-000311,-0.4136741103076209
ACH-000312,-0.2316030727804195
ACH-000315,0.026437280777921245
ACH-000316,-0.2295927968357803
ACH-000317,-0.1218469167185361
ACH-000318,-0.3888406490341406
ACH-000319,-0.27083902229961937
ACH-000320,-0.2211175179548008
ACH-000322,-0.2740227786126314
ACH-000323,-0.21495183640860024
ACH-000324,-0.33949530987820736
ACH-000329,-0.11724460168557076
ACH-000330,-0.18790440672378086
ACH-000331,-0.17642503463890175
ACH-000332,-0.16977822350594027
ACH-000334,0.0955409567273435
ACH-000335,-0.3388819895425308
ACH-000336,0.0810018674367673
ACH-000337,-0.4495796564211419
ACH-000338,-0.29971672299941265
ACH-000339,-0.3784540183688503
ACH-000341,-0.3836123246224615
ACH-000348,-0.3024565067295323
ACH-000350,-0.08335229521146585
ACH-000352,-0.11308026686721186
ACH-000356,-0.07346213453864381
ACH-000361,-0.4043195387082014
ACH-000362,-0.1926152409916491
ACH-000363,-0.23067882722237926
ACH-000364,-0.2852262510582942
ACH-000365,-0.24837983951070164
ACH-000366,-0.2751521270150162
ACH-000368,-0.401033722347803
ACH-000374,-0.4146051441002264
ACH-000375,-0.24267645459076165
ACH-000376,-0.2653116043416158
ACH-000381,-0.09556934880502437
ACH-000383,-0.24276803715477824
ACH-000387,-0.30943271027553354
ACH-000389,-0.06714188039398207
ACH-000390,-0.29937168953011833
ACH-000393,-0.3979141634689928
ACH-000395,-0.08739341908833331
ACH-000396,-0.5151484394035059
ACH-000397,-0.12800272584915826
ACH-000401,-0.16167911745949656
ACH-000402,-0.10054650615107903
ACH-000403,-0.18030815821216992
ACH-000404,-0.20753028874628354
ACH-000406,-0.2498167083121516
ACH-000407,-0.2441484701569501
ACH-000408,-0.4280343046654466
ACH-000410,-0.2984426429435747
ACH-000411,-0.14385235514881067
ACH-000414,-0.18923247666958887
ACH-000415,-0.2976993614875701
ACH-000416,-0.1891252206576118
ACH-000420,-0.35124992871653465
ACH-000421,-0.2381265258846189
ACH-000424,-0.5276193667202612
ACH-000425,-0.2189919660089606
ACH-000426,0.01371590917978004
ACH-000427,-0.28282255825301506
ACH-000433,0.01981324346610546
ACH-000435,-0.10789173593786916
ACH-000436,-0.05992102740531172
ACH-000444,-0.21134743482667045
ACH-000445,-0.21759729955934845
ACH-000448,-0.25767762167737684
ACH-000450,-0.2576112804761589
ACH-000452,-0.2489308967184444
ACH-000454,-0.3559555618669597
ACH-000458,-0.3639765549626589
ACH-000459,-0.18526432173340407
ACH-000460,-0.3568492488769925
ACH-000461,-0.21237834886517032
ACH-000463,-0.3125296602267459
ACH-000464,-0.21253733458690974
ACH-000466,-0.3363962306487268
ACH-000467,-0.1959884380227844
ACH-000468,-0.35197042946112883
ACH-000469,-0.23478084831700696
ACH-000470,-0.3515205040883683
ACH-000471,-0.269028639339028
ACH-000472,-0.24162203638013746
ACH-000473,-0.15399726409231576
ACH-000475,-0.07250802587585208
