,YAE1D1 (57002)
ACH-000004,-0.6109631837499823
ACH-000005,-0.6956210449307065
ACH-000007,-0.3640028828945869
ACH-000009,-0.6800570499993307
ACH-000011,-0.33533033681516994
ACH-000012,-0.5349458274032505
ACH-000013,-0.6937101908252932
ACH-000014,-0.5972966227046463
ACH-000015,-0.6453952473694725
ACH-000017,-0.5816771909194778
ACH-000018,-0.6200737099423825
ACH-000019,-0.4124038199814755
ACH-000021,-0.5896198137627215
ACH-000022,-0.4847142895374406
ACH-000025,-0.5196671042343379
ACH-000028,-0.4926788882898368
ACH-000030,-0.5044311608896945
ACH-000035,-0.7587827775850183
ACH-000036,-0.4424403097417005
ACH-000037,-0.5127746234278229
ACH-000039,-0.4576789322119294
ACH-000040,-0.6115785127258314
ACH-000041,-0.6570071434094293
ACH-000042,-0.5991115461574908
ACH-000045,-0.4847802777135953
ACH-000047,-0.4728667683703906
ACH-000052,-0.6235158759181986
ACH-000053,-0.7681914940271913
ACH-000054,-0.6982837844834028
ACH-000055,-0.5402264265436022
ACH-000060,-0.37864690017635205
ACH-000067,-0.6645207380434788
ACH-000070,-0.5617981715658107
ACH-000075,-0.924637450741664
ACH-000078,-0.5626510899331194
ACH-000082,-0.6817913355611223
ACH-000085,-0.8575319162568741
ACH-000086,-0.5216079542017696
ACH-000087,-0.27575291218972897
ACH-000092,-0.6643443751972241
ACH-000095,-0.6480336706311848
ACH-000097,-0.4509355922454164
ACH-000098,-0.6635820505878665
ACH-000099,-0.6115459631018325
ACH-000108,-0.5264576554587141
ACH-000113,-0.7690577297117269
ACH-000116,-0.6776623677919399
ACH-000118,-0.5380372556161414
ACH-000120,-0.4467217346180061
ACH-000123,-0.6651986099543098
ACH-000127,-0.5882241676523857
ACH-000128,-0.6265598763669847
ACH-000132,-0.5816641062109855
ACH-000133,-0.6597971025575062
ACH-000137,-0.8023724677701777
ACH-000138,-0.6083937188741465
ACH-000142,-0.4378444635073875
ACH-000143,-0.6899079663689551
ACH-000146,-0.6054869506507574
ACH-000148,-0.597747700410421
ACH-000150,-0.4822582744195961
ACH-000152,-0.7010648903906008
ACH-000153,-0.5455857501372827
ACH-000159,-0.6906671292417741
ACH-000160,-0.5108735224727131
ACH-000163,-0.5859072531143515
ACH-000167,-1.1562135457061895
ACH-000168,-0.6769972561608522
ACH-000169,-0.6642563732811795
ACH-000178,-0.6245339180663306
ACH-000183,-0.4817056763316901
ACH-000188,-0.4468314449883424
ACH-000189,-0.5738469478737952
ACH-000190,-0.8070482578945573
ACH-000198,-0.6051881604690089
ACH-000203,0.10841216407053386
ACH-000204,-0.5662416027678807
ACH-000206,-0.9105885910326618
ACH-000207,-0.2292648834244448
ACH-000208,-0.8600372023121517
ACH-000210,-0.4948218272189092
ACH-000211,-0.5870124438837829
ACH-000215,-0.6183969873017592
ACH-000221,-0.7112670929426071
ACH-000222,-0.3853615079823845
ACH-000223,-0.7633808027031463
ACH-000226,-0.6565811826098706
ACH-000227,-0.7072012912467803
ACH-000228,-0.5711860050504485
ACH-000231,-0.6991243452446864
ACH-000232,-0.7488665236781491
ACH-000233,-0.6340398627003621
ACH-000234,-0.6606770277272184
ACH-000235,-0.5389957887096211
ACH-000237,-0.7980261756592137
ACH-000238,-0.5708650717956721
ACH-000242,-0.6522359391247111
ACH-000243,-0.623382808132986
ACH-000244,-0.4536742261763005
ACH-000246,-0.5752439444031424
ACH-000248,-0.5772140684357332
ACH-000250,-0.6854837129545874
ACH-000251,-0.3011513677435655
ACH-000252,-0.9599189622710508
ACH-000253,-0.5996592775698412
ACH-000255,-0.5215617669834105
ACH-000256,-0.5940443251878493
ACH-000257,-0.32766031465639944
ACH-000258,-0.4667630905154893
ACH-000259,-0.5651012322135395
ACH-000260,-0.4370246821295735
ACH-000261,-0.6937210251371663
ACH-000262,-0.6950132972655271
ACH-000263,-0.5124494302958937
ACH-000264,-0.7035059934937599
ACH-000265,-0.4892855015887717
ACH-000266,-0.7016003042970984
ACH-000272,-0.6593871131191394
ACH-000274,-0.5461278731865589
ACH-000277,-0.4672695058956514
ACH-000278,-0.7408365913579091
ACH-000279,-0.7070907126005301
ACH-000280,-0.7112531106776218
ACH-000281,-0.7608355766201129
ACH-000288,-0.5829756053891061
ACH-000291,-0.6662039794356449
ACH-000293,-0.7220273091919772
ACH-000294,-0.4615831732103932
ACH-000295,-0.644995996509624
ACH-000296,-0.5557769294629976
ACH-000302,-0.6545180471877233
ACH-000304,-0.4450794755087011
ACH-000307,-0.7149617772346327
ACH-000308,-0.8531172343853309
ACH-000310,-0.8418756003573019
ACH-000311,-0.6926482027877215
ACH-000312,-0.5874888166508663
ACH-000315,-0.5066255711551203
